name=GeneralizedHyperLogLog;numRegisters=1024;q=62;base=2.00000000000000000e+00;a=9.76562500000000000e-04;seed=14662929af74678a;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;7.38659860935147663e+02; 5.45618390156742418e+05; 0.00000000000000000e+00; 0.00000000000000000e+00; 7.09782712893370558e+02; 5.03791499522283673e+05; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;7.39141758729974185e+02; 5.44853273191259941e+05; 1.00048227783325872e+00; 2.32591966213003142e-07; 7.10259226799988710e+02; 5.03048668566994369e+05; 1.00048994775451949e+00; 3.10974109331211125e-07; 
2;7.39622514743921101e+02; 5.44087007167539676e+05; 2.00094162601337233e+00; 1.00280727104721992e-03; 7.10734582362178799e+02; 5.02304742206747818e+05; 2.00095397189386137e+00; 1.00313754701793320e-03; 
3;7.40107795171269800e+02; 5.43327952330007916e+05; 3.00140025704075386e+00; 3.00771208728799243e-03; 7.11214522919556771e+02; 5.01567862720812613e+05; 3.00141630883501920e+00; 3.00420569842553900e-03; 
4;7.40594024641941246e+02; 5.42570827566958731e+05; 4.00479795871744848e+00; 3.03436908485520043e-03; 7.11695394908828234e+02; 5.00832844662036456e+05; 4.00487365630696779e+00; 3.02984860121580752e-03; 
5;7.41074437391412175e+02; 5.41805665828723111e+05; 5.00225059834680508e+00; 9.99401428845748431e-03; 7.12170431888018015e+02; 5.00090110977617733e+05; 5.00226294352463441e+00; 9.97443081987043484e-03; 
6;7.41552108103422825e+02; 5.41037010990204406e+05; 5.99754824152660682e+00; 1.98163928636149178e-02; 7.12642736127674311e+02; 4.99344067111554090e+05; 5.99758211875795677e+00; 1.97682016588623007e-02; 
7;7.42041157074800822e+02; 5.40285630202837987e+05; 6.99780585698408242e+00; 2.56490882047291022e-02; 7.13126478792052126e+02; 4.98614735615262529e+05; 6.99801143758742938e+00; 2.55799249687879773e-02; 
8;7.42528276813467755e+02; 5.39531935380274430e+05; 8.00416646575594193e+00; 2.66776409870800035e-02; 7.13608248625531928e+02; 4.97883150990589289e+05; 8.00440193442667436e+00; 2.65986798587849356e-02; 
9;7.43016525696451936e+02; 5.38780427746225731e+05; 9.00755125761374664e+00; 3.15580007365246495e-02; 7.14091197656178792e+02; 4.97153769969976856e+05; 9.00779764845801090e+00; 3.14678903284521805e-02; 
10;7.43495696283373604e+02; 5.38016121400850243e+05; 1.00098798184045119e+01; 3.82849129569178964e-02; 7.14564939833060066e+02; 4.96411945096161624e+05; 1.00099952188226542e+01; 3.81612013575472545e-02; 
11;7.43984670756100400e+02; 5.37266733295535902e+05; 1.10050405628305210e+01; 5.42091552150808786e-02; 7.15048771393193761e+02; 4.95684884367994266e+05; 1.10053674303545854e+01; 5.41906775897441975e-02; 
