name=GeneralizedHyperLogLog;numRegisters=1024;q=65534;base=1.00099999999999989e+00;a=9.76562500000000000e-04;seed=01cd2ba5e72869c4;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;1.02348842628300793e+03; 1.04752855873528018e+06; 0.00000000000000000e+00; 0.00000000000000000e+00; 1.02348834107755590e+03; 1.04752838432166527e+06; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.02398705348183478e+03; 1.04650259542515757e+06; 1.00048859767434251e+00; 2.38727763771115508e-07; 1.02398696826883349e+03; 1.04650242108157044e+06; 1.00048693900678121e+00; 3.17219567332960388e-07; 
2;1.02448207313003172e+03; 1.04546975723942579e+06; 2.00095417580818635e+00; 1.00284306776728832e-03; 1.02448198790490301e+03; 1.04546958295710222e+06; 2.00093986152322412e+00; 1.00272190560508553e-03; 
3;1.02497982089774337e+03; 1.04444302499605145e+06; 3.00139569490576319e+00; 3.00759412091514827e-03; 1.02497973565936559e+03; 1.04444285077225545e+06; 3.00136483434543244e+00; 3.00355957086288804e-03; 
4;1.02546142327654525e+03; 1.04338378694518388e+06; 4.00181186265952249e+00; 6.00822641815336022e-03; 1.02546133802567442e+03; 1.04338361278423923e+06; 4.00169631638040624e+00; 6.00104660367992496e-03; 
5;1.02596944611782396e+03; 1.04237904318967462e+06; 4.99918899553668794e+00; 1.29450442417707017e-02; 1.02596936085361153e+03; 1.04237886908537440e+06; 4.99908490132319017e+00; 1.29216692243962605e-02; 
6;1.02648951920833792e+03; 1.04139935272141360e+06; 6.00055512035294658e+00; 1.68919094617692722e-02; 1.02648943393026866e+03; 1.04139917867067305e+06; 6.00053541331587414e+00; 1.68335872487654810e-02; 
7;1.02699189908142307e+03; 1.04038404903294949e+06; 6.99485008582489254e+00; 2.85458640324936959e-02; 1.02699181378977460e+03; 1.04038387503937969e+06; 6.99485599456660179e+00; 2.84740022391350468e-02; 
8;1.02749909267362568e+03; 1.03937905924899387e+06; 7.99212738635457498e+00; 4.01211311775503537e-02; 1.02749900736771019e+03; 1.03937888531039516e+06; 7.99219339064915602e+00; 4.00643754440080518e-02; 
9;1.02798852312202894e+03; 1.03833834681380645e+06; 8.98634227200772706e+00; 5.52797821372377762e-02; 1.02798843780329048e+03; 1.03833817293617886e+06; 8.98633840194277766e+00; 5.52186841394196187e-02; 
10;1.02848317726234404e+03; 1.03730881070650625e+06; 9.98152321026496026e+00; 7.01275495555445938e-02; 1.02848309192961415e+03; 1.03730863688661717e+06; 9.98146978551091735e+00; 6.99492406641823716e-02; 
11;1.02897021908120200e+03; 1.03626428521648853e+06; 1.09837328179679048e+01; 7.92321013995037626e-02; 1.02897013373453547e+03; 1.03626411145577021e+06; 1.09835052896315251e+01; 7.89858807850194189e-02; 
12;1.02948557697375190e+03; 1.03527789838338050e+06; 1.19879386192325672e+01; 8.73459053418057102e-02; 1.02948549161405617e+03; 1.03527772467887180e+06; 1.19878226882606320e+01; 8.70814607330349932e-02; 
13;1.02998977904063963e+03; 1.03426930233106168e+06; 1.29870541404493789e+01; 9.85053661535277569e-02; 1.02998969366724577e+03; 1.03426912868332595e+06; 1.29869644888042721e+01; 9.82823554625210510e-02; 
14;1.03049520268727042e+03; 1.03326370132830460e+06; 1.39891718976515822e+01; 1.07673250045820248e-01; 1.03049511729931578e+03; 1.03326352773541911e+06; 1.39891021317931354e+01; 1.07370686203090357e-01; 
15;1.03100919927072255e+03; 1.03227601931382832e+06; 1.49973444700475458e+01; 1.12604709516859483e-01; 1.03100911386970506e+03; 1.03227584577739274e+06; 1.49973834984128143e+01; 1.12440585390475328e-01; 
16;1.03150380457387837e+03; 1.03124936307516822e+06; 1.59943259464246221e+01; 1.33090897185040635e-01; 1.03150371915876553e+03; 1.03124918959642551e+06; 1.59942648869648263e+01; 1.32768586853739518e-01; 
17;1.03200489314604715e+03; 1.03023640604830091e+06; 1.69902485859375929e+01; 1.56541167731040209e-01; 1.03200480771797584e+03; 1.03023623262848228e+06; 1.69901911530221952e+01; 1.56204399680425154e-01; 
18;1.03252385721971245e+03; 1.02926020417235431e+06; 1.79993484665563912e+01; 1.62486991440847856e-01; 1.03252377177717335e+03; 1.02926003080537322e+06; 1.79994877867756884e+01; 1.62205423090369255e-01; 
19;1.03300179775770152e+03; 1.02820130954883818e+06; 1.89992519954790815e+01; 1.83522227992388542e-01; 1.03300171230268211e+03; 1.02820113624575839e+06; 1.89989452648809873e+01; 1.83169030883870071e-01; 
20;1.03352468813571613e+03; 1.02723405069542094e+06; 2.00083002600619899e+01; 1.96809466664917915e-01; 1.03352460266606977e+03; 1.02723387744423375e+06; 2.00082685291107545e+01; 1.96547551777105672e-01; 
21;1.03403222571741071e+03; 1.02623610077851394e+06; 2.10030399318547403e+01; 2.29461582786779639e-01; 1.03403214023578926e+03; 1.02623592758724780e+06; 2.10031417553592448e+01; 2.29154741106465221e-01; 
22;1.03455560742256853e+03; 1.02527077905953128e+06; 2.20018143048815027e+01; 2.53084069343224083e-01; 1.03455552192671644e+03; 1.02527060592092946e+06; 2.20023488540012124e+01; 2.52843900410614109e-01; 
23;1.03506001872136790e+03; 1.02426750298371888e+06; 2.29964425583566481e+01; 2.76238147533461542e-01; 1.03505993321151004e+03; 1.02426732990150165e+06; 2.29970615319151648e+01; 2.75397085330780722e-01; 
24;1.03556195813401064e+03; 1.02325968624278228e+06; 2.39951090104486155e+01; 3.02883197151351091e-01; 1.03556187261077184e+03; 1.02325951321868296e+06; 2.39957248775924938e+01; 3.01945622425856874e-01; 
25;1.03606120506398111e+03; 1.02224695209309820e+06; 2.49957671656308626e+01; 3.17550098809917525e-01; 1.03606111952739502e+03; 1.02224677912765730e+06; 2.49962931064656253e+01; 3.16818771490415374e-01; 
26;1.03657437591253779e+03; 1.02126279640063748e+06; 2.59922915170115090e+01; 3.45564211875447558e-01; 1.03657429036217491e+03; 1.02126262349064066e+06; 2.59931031180796026e+01; 3.44901993562882869e-01; 
27;1.03707349459701641e+03; 1.02025077517946612e+06; 2.69908047148466999e+01; 3.75922200001195805e-01; 1.03707340903232534e+03; 1.02025060232621734e+06; 2.69915270571767465e+01; 3.74919730109378402e-01; 
28;1.03758109362813775e+03; 1.01925639162308339e+06; 2.79954268266089521e+01; 3.88847884235193009e-01; 1.03758100804953278e+03; 1.01925621882600873e+06; 2.79962052083587487e+01; 3.88339284708032251e-01; 
29;1.03807980354683559e+03; 1.01824457783752750e+06; 2.90051400965471444e+01; 4.00044844945023736e-01; 1.03807971795522099e+03; 1.01824440509998973e+06; 2.90056512486182605e+01; 3.99604245700230398e-01; 
30;1.03858371778263654e+03; 1.01724372749627626e+06; 3.00076265019509734e+01; 4.28836999405824260e-01; 1.03858363217669830e+03; 1.01724355481477559e+06; 3.00080904441727867e+01; 4.28160870146966077e-01; 
31;1.03907915067484350e+03; 1.01622626569858519e+06; 3.10049064746934100e+01; 4.63105310984721741e-01; 1.03907906505505480e+03; 1.01622609307554399e+06; 3.10051218503868533e+01; 4.60734634992418901e-01; 
32;1.03959498013040593e+03; 1.01525043432666326e+06; 3.20103919364523080e+01; 4.86845885715701865e-01; 1.03959489449752027e+03; 1.01525026176013984e+06; 3.20108562846754339e+01; 4.84761396899188679e-01; 
33;1.04008646296591724e+03; 1.01422601237790682e+06; 3.30168376787025935e+01; 5.03043438902155637e-01; 1.04008637731884664e+03; 1.01422583986990515e+06; 3.30167961127071834e+01; 5.01226859498545063e-01; 
34;1.04059304200764700e+03; 1.01323250944209320e+06; 3.40118957082986668e+01; 5.37881530461280510e-01; 1.04059295634832438e+03; 1.01323233699394751e+06; 3.40119452501927029e+01; 5.34537182059815708e-01; 
35;1.04109452126593533e+03; 1.01222922203382675e+06; 3.50058541073994007e+01; 5.84587881580237445e-01; 1.04109443559346687e+03; 1.01222904964463564e+06; 3.50058664226969611e+01; 5.80841726607369102e-01; 
36;1.04159690954879375e+03; 1.01122827184113732e+06; 3.60069785556060538e+01; 6.08501865325776548e-01; 1.04159682386273039e+03; 1.01122809950986679e+06; 3.60068619941173083e+01; 6.04844650876005807e-01; 
37;1.04210615560144902e+03; 1.01024162613667815e+06; 3.70101273170556127e+01; 6.34844525654446379e-01; 1.04210606990189399e+03; 1.01024145386239095e+06; 3.70100693690872262e+01; 6.31417723608993953e-01; 
