name=GeneralizedHyperLogLog;numRegisters=16384;q=62;base=2.00000000000000000e+00;a=6.10351562500000000e-05;seed=ee135ccdbaf83684;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;1.18185577749623626e+04; 1.39678307880126059e+08; 0.00000000000000000e+00; 0.00000000000000000e+00; 1.13565234062939289e+04; 1.28970623877704620e+08; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.18190300640357309e+04; 1.39665834610674262e+08; 1.00002416746197098e+00; 5.84066218481806502e-10; 1.13569901378486975e+04; 1.28958512027646422e+08; 1.00002942350157653e+00; 1.12705753465732959e-09; 
2;1.18195151525567599e+04; 1.39653664413586199e+08; 2.00010938132951699e+00; 1.19642752709139148e-08; 1.13574698587888724e+04; 1.28946695747578710e+08; 2.00012093691539050e+00; 1.67310395556046925e-08; 
3;1.18199983571864414e+04; 1.39641450222515315e+08; 2.99927934637113358e+00; 9.99859303839379515e-04; 1.13579476653296806e+04; 1.28934836532685727e+08; 2.99927385200803576e+00; 9.99868414654259173e-04; 
4;1.18204712973460610e+04; 1.39628993986481547e+08; 3.99846261037576456e+00; 1.99909600905804090e-03; 1.13584150590032459e+04; 1.28922741399660394e+08; 3.99848313484770967e+00; 1.99915151338166683e-03; 
5;1.18209496728748563e+04; 1.39616666754414499e+08; 4.99881035326472745e+00; 1.99880499383240815e-03; 1.13588879551837490e+04; 1.28910771783967197e+08; 4.99875481933547761e+00; 1.99861898508349586e-03; 
6;1.18214355302144431e+04; 1.39604516866649926e+08; 5.99810760899918538e+00; 2.99636063979239571e-03; 1.13593684414158597e+04; 1.28898975067640454e+08; 5.99809254854037555e+00; 2.99627125696697938e-03; 
7;1.18219118246555900e+04; 1.39592141537457436e+08; 6.99842947682905958e+00; 2.99539231135452890e-03; 1.13598392437588336e+04; 1.28886959011296585e+08; 6.99848397396537081e+00; 2.99456478429096931e-03; 
8;1.18223919849838567e+04; 1.39579858101412803e+08; 7.99790116106655180e+00; 3.99217135379194201e-03; 1.13603139747611058e+04; 1.28875032712107390e+08; 7.99793923923599959e+00; 3.99097691139536827e-03; 
9;1.18228795437699264e+04; 1.39567750019707143e+08; 8.99850276770052204e+00; 3.99104053653366164e-03; 1.13607962059007386e+04; 1.28863277249927640e+08; 8.99846369925472978e+00; 3.98997303821058743e-03; 
10;1.18233619198290980e+04; 1.39555520009966850e+08; 9.99914638283984480e+00; 3.98985991243226614e-03; 1.13612731683814181e+04; 1.28851402709408790e+08; 9.99904423815284993e+00; 3.98969363488615482e-03; 
11;1.18238434330318523e+04; 1.39543270145912498e+08; 1.09977789428395987e+01; 5.97649549337511514e-03; 1.13617492818773881e+04; 1.28839509438046470e+08; 1.09976849381606030e+01; 5.97768217203342982e-03; 
12;1.18243251347209625e+04; 1.39531025277629048e+08; 1.19984118900103223e+01; 5.97407476438623509e-03; 1.13622255372969648e+04; 1.28827619942715794e+08; 1.19983869560794307e+01; 5.97630084159485320e-03; 
13;1.18248080188827316e+04; 1.39518808882260323e+08; 1.29980866514765552e+01; 6.96405865067513223e-03; 1.13627030256061098e+04; 1.28815758983257115e+08; 1.29981520893435700e+01; 6.96722609237092338e-03; 
14;1.18252836596102461e+04; 1.39506421916228682e+08; 1.39978479463949412e+01; 7.95274008837799744e-03; 1.13631731732377812e+04; 1.28803731951788798e+08; 1.39979656359815170e+01; 7.95255640160258404e-03; 
15;1.18257691682400800e+04; 1.39494268596592337e+08; 1.49977207127059362e+01; 8.93980108930142459e-03; 1.13636533142076314e+04; 1.28791932305104971e+08; 1.49978576684151186e+01; 8.93935857597181679e-03; 
16;1.18262467572247006e+04; 1.39481928737407833e+08; 1.59947035763912364e+01; 1.28844148118801623e-02; 1.13641254891352910e+04; 1.28779952396477565e+08; 1.59947958189563675e+01; 1.28838212694995496e-02; 
17;1.18267248773863630e+04; 1.39469601968602270e+08; 1.69917831264513275e+01; 1.68148052419938299e-02; 1.13645981595044505e+04; 1.28767984287661493e+08; 1.69917951243270124e+01; 1.68137438630712871e-02; 
18;1.18272043088177088e+04; 1.39457306705531538e+08; 1.79919392035260159e+01; 1.77819573390500703e-02; 1.13650721557966444e+04; 1.28756046816254392e+08; 1.79918575657977762e+01; 1.77841030996659724e-02; 
19;1.18276909832668371e+04; 1.39445183055731863e+08; 1.89911442631563290e+01; 2.17304570100936428e-02; 1.13655534924887088e+04; 1.28744276485203847e+08; 1.89909979011290631e+01; 2.17313104720323336e-02; 
