name=GeneralizedHyperLogLog;numRegisters=16384;q=65534;base=1.00099999999999989e+00;a=6.10351562500000000e-05;seed=c2950eb3d4a4c77e;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;1.63758148205281268e+04; 2.68167311036231726e+08; 0.00000000000000000e+00; 0.00000000000000000e+00; 1.63758134572408944e+04; 2.68167266386346310e+08; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.63763169250782466e+04; 2.68151004479945242e+08; 1.00003051885289795e+00; 9.31400383321694655e-10; 1.63763155618556611e+04; 2.68150959833543837e+08; 1.00003064616040627e+00; 1.24972168125425990e-09; 
2;1.63768274481195967e+04; 2.68134974114387631e+08; 2.00012208042210338e+00; 1.49036294965228487e-08; 1.63768260848822574e+04; 2.68134929468836963e+08; 2.00012361330758548e+00; 1.76497450111428746e-08; 
3;1.63773293139614780e+04; 2.68118660716211677e+08; 2.99927453961852652e+00; 9.99831243213231960e-04; 1.63773279507065799e+04; 2.68118616071443617e+08; 2.99927727095048180e+00; 9.99909514752197895e-04; 
4;1.63778385199658878e+04; 2.68102588199644566e+08; 3.99948814851352319e+00; 9.99688936601850642e-04; 1.63778371566994883e+04; 2.68102543555837959e+08; 3.99949396832605863e+00; 9.99634560241747638e-04; 
5;1.63783297291692106e+04; 2.68085926816332519e+08; 4.99976282133773431e+00; 9.99605190572596097e-04; 1.63783283658890141e+04; 2.68085882173462272e+08; 4.99976734115569688e+00; 9.99404627394681307e-04; 
6;1.63788327968724843e+04; 2.68069654253925443e+08; 6.00009856765778959e+00; 9.99680670757581392e-04; 1.63788314335825362e+04; 2.68069609612091899e+08; 6.00010503601572687e+00; 9.99417981012573533e-04; 
7;1.63793214269139935e+04; 2.68052909454181552e+08; 7.00049539156917700e+00; 1.00003845260776178e-03; 1.63793200635976045e+04; 2.68052864812875271e+08; 7.00049798101284537e+00; 9.99877570890554809e-04; 
8;1.63798254437040450e+04; 2.68036668981414676e+08; 7.99895238963384703e+00; 2.99483744300759001e-03; 1.63798240803737026e+04; 2.68036624341003984e+08; 7.99895762871536231e+00; 2.99433867678281689e-03; 
9;1.63803245581439442e+04; 2.68020268487192005e+08; 8.99847075618117032e+00; 3.99047541945954289e-03; 1.63803231948032499e+04; 2.68020223847806722e+08; 8.99847627578681752e+00; 3.99030043405254262e-03; 
10;1.63808224837408197e+04; 2.68003829584174275e+08; 9.99905068225237059e+00; 3.98952518834791783e-03; 1.63808211203810079e+04; 2.68003784945532918e+08; 9.99905532265960240e+00; 3.98952151259532577e-03; 
11;1.63813100565727909e+04; 2.67987052213598400e+08; 1.09996917130385423e+01; 3.98920619854123762e-03; 1.63813086932070219e+04; 2.67987007576159120e+08; 1.09996881888275411e+01; 3.98926890477444267e-03; 
12;1.63818194393500180e+04; 2.67970989415428936e+08; 1.20003938705226627e+01; 3.98975344423488539e-03; 1.63818180759659281e+04; 2.67970944778726995e+08; 1.20003965482300892e+01; 3.98972247507219189e-03; 
13;1.63823454633606634e+04; 2.67955471922177613e+08; 1.29991556384337841e+01; 5.97382491943855478e-03; 1.63823440999634076e+04; 2.67955427286337316e+08; 1.29991796655019076e+01; 5.97604442479894755e-03; 
14;1.63828446902896940e+04; 2.67939077615783185e+08; 1.39999799280333086e+01; 5.97384133974235114e-03; 1.63828433268888366e+04; 2.67939032981192172e+08; 1.40000046191767904e+01; 5.97514457039171124e-03; 
15;1.63833496980038581e+04; 2.67922873010232180e+08; 1.50008653620071719e+01; 5.97531977345751222e-03; 1.63833483345964432e+04; 2.67922828376774997e+08; 1.50008958584868548e+01; 5.97690639569968367e-03; 
16;1.63838478096751551e+04; 2.67906443198355258e+08; 1.60008109914599608e+01; 6.96483276365269036e-03; 1.63838464462620723e+04; 2.67906398566081673e+08; 1.60008416866696592e+01; 6.97092252256202322e-03; 
17;1.63843597411589726e+04; 2.67890466255584687e+08; 1.70008176672765074e+01; 7.95268009583569371e-03; 1.63843583777332242e+04; 2.67890421624227047e+08; 1.70008623961371015e+01; 7.95719323518549043e-03; 
18;1.63848677907617566e+04; 2.67874362755083472e+08; 1.79988832440435722e+01; 1.09035265405863363e-02; 1.63848664273361537e+04; 2.67874318125070810e+08; 1.79989402552231397e+01; 1.09070762340383164e-02; 
19;1.63853573831752365e+04; 2.67857655512398213e+08; 1.89970096009469458e+01; 1.38441674791475317e-02; 1.63853560197475781e+04; 2.67857610883710712e+08; 1.89970584794838651e+01; 1.38444956410280189e-02; 
20;1.63858529424372391e+04; 2.67841144170251608e+08; 1.99982003467747766e+01; 1.38401531599828646e-02; 1.63858515789788107e+04; 2.67841099541933179e+08; 1.99982453848820896e+01; 1.38397822974528750e-02; 
21;1.63863576972863593e+04; 2.67824934317577899e+08; 2.09994522905122203e+01; 1.38388998651057110e-02; 1.63863563338310014e+04; 2.67824889690711707e+08; 2.09995044912382447e+01; 1.38344864195875140e-02; 
22;1.63868529857264293e+04; 2.67808415111415088e+08; 2.19997640979692086e+01; 1.48139069732579464e-02; 1.63868516222485014e+04; 2.67808370485184908e+08; 2.19998121026643680e+01; 1.48153811758829634e-02; 
23;1.63873510831485582e+04; 2.67791988288799077e+08; 2.29981342370314792e+01; 1.77281137683856747e-02; 1.63873497196729331e+04; 2.67791943664013505e+08; 2.29981823437575059e+01; 1.77196762965807844e-02; 
24;1.63878559488806641e+04; 2.67775783474493653e+08; 2.39985681008491056e+01; 1.86946117255256880e-02; 1.63878545853973555e+04; 2.67775738850806147e+08; 2.39986246798010363e+01; 1.86824356697619237e-02; 
25;1.63883547053327238e+04; 2.67759379282240152e+08; 2.50000645409883973e+01; 1.86948557047693920e-02; 1.63883533418453335e+04; 2.67759334659787059e+08; 2.50001201721056781e+01; 1.86874440283150943e-02; 
26;1.63888615455222498e+04; 2.67743240099465460e+08; 2.60006206645421614e+01; 1.96615169503461841e-02; 1.63888601820207623e+04; 2.67743195477896184e+08; 2.60006884831274263e+01; 1.96526609088657489e-02; 
27;1.63893744280457104e+04; 2.67727299137763530e+08; 2.70012379140491738e+01; 2.06271780716643233e-02; 1.63893730645339965e+04; 2.67727254517187685e+08; 2.70013286165788813e+01; 2.06196806132082078e-02; 
28;1.63898878749878422e+04; 2.67711377124688357e+08; 2.80019162844759606e+01; 2.15920567679211833e-02; 1.63898865114554283e+04; 2.67711332504761845e+08; 2.80020322145403817e+01; 2.15836215543578555e-02; 
29;1.63903960398897289e+04; 2.67695282784156799e+08; 2.90026557656637962e+01; 2.25564018632297449e-02; 1.63903946763516142e+04; 2.67695238165384144e+08; 2.90027890481891042e+01; 2.25455494358210752e-02; 
30;1.63908831276251585e+04; 2.67678499190727264e+08; 3.00034563089565651e+01; 2.35204851059318681e-02; 1.63908817640785601e+04; 2.67678454573076099e+08; 3.00035692462733010e+01; 2.35063402841001329e-02; 
31;1.63913867758607885e+04; 2.67662257960983843e+08; 3.10013124523833348e+01; 2.73192799862398625e-02; 1.63913854122978883e+04; 2.67662213344151556e+08; 3.10014373730036503e+01; 2.72982320222228160e-02; 
32;1.63918837756174980e+04; 2.67645799780564785e+08; 3.20002313344975562e+01; 3.21622802095972438e-02; 1.63918824120388126e+04; 2.67645755164589286e+08; 3.20003546439829307e+01; 3.21273727710706114e-02; 
33;1.63923795920124867e+04; 2.67629303316430032e+08; 3.30002130405882141e+01; 3.40455943403754555e-02; 1.63923782284306944e+04; 2.67629258701728404e+08; 3.30003307168079942e+01; 3.39817660943814645e-02; 
34;1.63928696703538953e+04; 2.67612619675229847e+08; 3.39982516643127965e+01; 3.77880070798632187e-02; 1.63928683067487000e+04; 2.67612575061152220e+08; 3.39983536062872602e+01; 3.77159087918285535e-02; 
