name=GeneralizedHyperLogLog;numRegisters=256;q=62;base=2.00000000000000000e+00;a=3.90625000000000000e-03;registerStateType=registers with lower bound;numExamples=10000;
true cardinality; simple mean; simple mse; simple standard deviation; simple kurtosis; ml mean; ml mse; ml standard deviation; ml kurtosis; 
0; 0.00000000000000000e+00; 0.00000000000000000e+00; 0.00000000000000000e+00; -nan; 0.00000000000000000e+00; 0.00000000000000000e+00; 0.00000000000000000e+00; -nan; 
1; 1.00195198512706307e+00; 3.81026031200026533e-06; 3.79152189318184542e-06; 1.56018020322012751e+00; 1.00195628181440832e+00; 4.93065570816935823e-06; 1.05053185149997529e-03; 1.56243792564723716e+00; 
2; 2.00271105414572803e+00; 5.14125736200975441e-03; 7.16512913172483307e-02; 1.94083523305727795e+02; 2.00271076979557749e+00; 5.14399629413393733e-03; 7.16704124534578157e-02; 1.93428700492899083e+02; 
3; 3.00267277278102496e+00; 1.51787186683613410e-02; 1.23172947330251456e-01; 6.95134357487690409e+01; 3.00264713043557308e+00; 1.51769408315860464e-02; 1.23166284071755630e-01; 6.92522638467444978e+01; 
4; 4.00458784906954257e+00; 2.70419652524898080e-02; 1.64380403009011300e-01; 3.83883972187607228e+01; 4.00457571333317475e+00; 2.70246423240126377e-02; 1.64328041342628184e-01; 3.82006110446677241e+01; 
5; 5.00819211867719627e+00; 4.14558150591006411e-02; 2.03442139810506128e-01; 2.56109966931011748e+01; 5.00802035319338312e+00; 4.13650962219052828e-02; 2.03225909166520474e-01; 2.54597024240418044e+01; 
6; 6.01328929861980210e+00; 5.86979916090379222e-02; 2.41911938835660562e-01; 1.91336891211805380e+01; 6.01321678719249508e+00; 5.86108395834508550e-02; 2.41735715440970361e-01; 1.90211666535913899e+01; 
7; 7.01349815898526252e+00; 8.50795911515084824e-02; 2.91371568371931178e-01; 1.46199764036753095e+01; 7.01351212190836648e+00; 8.48964218081041805e-02; 2.91056428153780078e-01; 1.45195932761595898e+01; 
8; 8.01472767174678680e+00; 1.13031507294034730e-01; 3.35878851639931142e-01; 1.08339774227807961e+01; 8.01474432485637145e+00; 1.12687826912849703e-01; 3.35366116054354790e-01; 1.07695010984328174e+01; 
9; 9.01633856822416391e+00; 1.45894237549160921e-01; 3.81611436853705521e-01; 8.91396141973186928e+00; 9.01647780353800421e+00; 1.45436283515881337e-01; 3.81004941577463674e-01; 8.83471993708691450e+00; 
10; 1.00165675187468288e+01; 1.85602156095630688e-01; 4.30497007443971180e-01; 7.74973998760693217e+00; 1.00167444048585814e+01; 1.84959787365951173e-01; 4.29743426095025194e-01; 7.70029376891519490e+00; 
11; 1.10189698233703908e+01; 2.26466817589163372e-01; 4.75507059243572838e-01; 6.99489155453071909e+00; 1.10189256817433492e+01; 2.25285493927235292e-01; 4.74265023481369896e-01; 6.97793225632400382e+00; 
12; 1.20192880606694832e+01; 2.72136164080772236e-01; 5.21310017932127390e-01; 6.22940015000753089e+00; 1.20190518770570982e+01; 2.70319000245357322e-01; 5.19572926763848697e-01; 6.22697890181534941e+00; 
13; 1.30205814942215081e+01; 3.23041503646060768e-01; 5.67994635310651752e-01; 5.81390487473564210e+00; 1.30202478550376419e+01; 3.20654538109795106e-01; 5.65901548395268739e-01; 5.82007279695609725e+00; 
14; 1.40243593501912436e+01; 3.74329774103574209e-01; 6.11339836884411847e-01; 5.26868278482545893e+00; 1.40240386676539401e+01; 3.71372372345192714e-01; 6.08928989950893396e-01; 5.25942351299840638e+00; 
15; 1.50248213865215163e+01; 4.32651827105028031e-01; 6.57294246039162533e-01; 4.85096524576595822e+00; 1.50242826556831623e+01; 4.28724863795828692e-01; 6.54320423362136583e-01; 4.83430007102533743e+00; 
16; 1.60243828249294609e+01; 4.96886702176554729e-01; 7.04480077805625382e-01; 4.57570089696872273e+00; 1.60238395564189950e+01; 4.91775608419289967e-01; 7.00861815174029568e-01; 4.55134957410823304e+00; 
17; 1.70301046088380872e+01; 5.58017726880507658e-01; 7.46398981381419357e-01; 4.29292114221580157e+00; 1.70290847234630434e+01; 5.52349470386882313e-01; 7.42632849561586927e-01; 4.27438106632968395e+00; 
18; 1.80284380487978417e+01; 6.23224748973225218e-01; 7.88933473972166510e-01; 4.06903980726009529e+00; 1.80270340870702128e+01; 6.16395611265705634e-01; 7.84643084084720943e-01; 4.06138756619406482e+00; 
19; 1.90296021544153824e+01; 6.91511037051849131e-01; 8.31044372765859962e-01; 3.94566336023610065e+00; 1.90279346152341446e+01; 6.84514895377255517e-01; 8.26882429761920390e-01; 3.93042617456697974e+00; 
20; 2.00359612228583366e+01; 7.68247698430231662e-01; 8.75759378414380674e-01; 3.77313713553249697e+00; 2.00338048188346569e+01; 7.61356174726889878e-01; 8.71902178544378681e-01; 3.76110126932472699e+00; 
21; 2.10392316911709045e+01; 8.47174813878541877e-01; 9.19584519381665855e-01; 3.65805055569280446e+00; 2.10370579830172453e+01; 8.39595114641692453e-01; 9.15544548635608302e-01; 3.65400669571250170e+00; 
22; 2.20403482425434021e+01; 9.37560171212251436e-01; 9.67435884457420903e-01; 3.55746014404034483e+00; 2.20384164431352971e+01; 9.28377917931507923e-01; 9.62757547271550718e-01; 3.55299103558959972e+00; 
23; 2.30481625313872698e+01; 1.02810699488507140e+00; 1.01281161400106812e+00; 3.46752169261400711e+00; 2.30459668094278882e+01; 1.01712156792500963e+00; 1.00747636218226799e+00; 3.46629289901402649e+00; 
24; 2.40539893773784073e+01; 1.10587282679505550e+00; 1.05021806017863129e+00; 3.40480783037420842e+00; 2.40516299653536549e+01; 1.09385588492512253e+00; 1.04460051292476774e+00; 3.39641710361347204e+00; 
25; 2.50534669403616448e+01; 1.19878688829866009e+00; 1.09358501022419241e+00; 3.30954909251989315e+00; 2.50512577826146128e+01; 1.18579571462982902e+00; 1.08773542479376895e+00; 3.31019440330865544e+00; 
26; 2.60599717463949858e+01; 1.29236042477560686e+00; 1.13523733836143847e+00; 3.22644040408307653e+00; 2.60569107469030641e+01; 1.27622760544593894e+00; 1.12826804099596645e+00; 3.22613828415886905e+00; 
27; 2.70569535736148872e+01; 1.40870775586293284e+00; 1.18552268907661773e+00; 3.28383005857770627e+00; 2.70541861751887538e+01; 1.39112322745501671e+00; 1.17821351455218926e+00; 3.28799067067565609e+00; 
28; 2.80592747180217401e+01; 1.51690092442255464e+00; 1.23019812722422794e+00; 3.27601091465188476e+00; 2.80566775925373122e+01; 1.49759722568780718e+00; 1.22245035735280383e+00; 3.28348100328546932e+00; 
29; 2.90661045151486412e+01; 1.62883454188343246e+00; 1.27454491288474459e+00; 3.28181194530733134e+00; 2.90634690606574821e+01; 1.60790699706525109e+00; 1.26644331709102875e+00; 3.28891385959215921e+00; 
30; 3.00660124591188023e+01; 1.74764360172471167e+00; 1.32033554711133361e+00; 3.26912362086198938e+00; 3.00630719815079175e+01; 1.72567601093884471e+00; 1.31213487724681954e+00; 3.27375885020313673e+00; 
31; 3.10640502040837880e+01; 1.88095222372602655e+00; 1.36998167691500927e+00; 3.20906543927077781e+00; 3.10610228723390733e+01; 1.85854118116019174e+00; 1.36191680737542620e+00; 3.21360252502225352e+00; 
32; 3.20665075408850484e+01; 2.01834206812420724e+00; 1.41912607443088978e+00; 3.20262039163526380e+00; 3.20637202947867621e+01; 1.99203179355637072e+00; 1.40995443812510257e+00; 3.20876177830917708e+00; 
33; 3.30683481962411889e+01; 2.16065704333646647e+00; 1.46832747280946152e+00; 3.14810409254439971e+00; 3.30655088453713546e+01; 2.13274348831888982e+00; 1.45892154672450580e+00; 3.16324749767688207e+00; 
34; 3.40726706502266694e+01; 2.28584568663961019e+00; 1.51015385416031167e+00; 3.17589899179368951e+00; 3.40694031126640766e+01; 2.25287671696515579e+00; 1.49935316884238445e+00; 3.18582620862617460e+00; 
35; 3.50720404160881642e+01; 2.42285863007455982e+00; 1.55488546476078926e+00; 3.18264175285902606e+00; 3.50692410283499001e+01; 2.38848646621734417e+00; 1.54392102978435264e+00; 3.20080763556108305e+00; 
36; 3.60716262359629525e+01; 2.57895099677002237e+00; 1.60431314870002195e+00; 3.11396536932402590e+00; 3.60689828665840508e+01; 2.53767367376704112e+00; 1.59151344257122473e+00; 3.13327979118275524e+00; 
37; 3.70673470401616640e+01; 2.75413692242184283e+00; 1.65819217782599249e+00; 3.09438618499320750e+00; 3.70643863921409960e+01; 2.70515878188567171e+00; 1.64347594274839670e+00; 3.10800660402932794e+00; 
38; 3.80637236862019108e+01; 2.91094872451203646e+00; 1.70495982836219695e+00; 3.06957240118360009e+00; 3.80608669172746801e+01; 2.85960734212793888e+00; 1.68994158493996971e+00; 3.08482142246983626e+00; 
39; 3.90728969239318644e+01; 3.06615888059426700e+00; 1.74952705582837442e+00; 3.05062368635705150e+00; 3.90706121584348693e+01; 3.01387645485900624e+00; 1.73461534005098228e+00; 3.06552792155891130e+00; 
40; 4.00789619039349887e+01; 3.22848933237027724e+00; 1.79506388468411604e+00; 3.07340912922049858e+00; 4.00775220097468790e+01; 3.17237771739995322e+00; 1.77942913750583998e+00; 3.08042417280256364e+00; 
41; 4.10733941619102154e+01; 3.40939249774518327e+00; 1.84499479531588562e+00; 3.03161994940126389e+00; 4.10719976116827965e+01; 3.34960227936559463e+00; 1.82877517023760983e+00; 3.04162764598242585e+00; 
42; 4.20797239694252525e+01; 3.54600397109265053e+00; 1.88139524284286574e+00; 2.98090246959705851e+00; 4.20784306781367334e+01; 3.47976225738058709e+00; 1.86376256162301845e+00; 2.99129168383894850e+00; 
43; 4.30806883034227042e+01; 3.71792780594850258e+00; 1.92650388103404757e+00; 2.98735209582587480e+00; 4.30799887821787379e+01; 3.64352630225352403e+00; 1.90712561122205804e+00; 2.99580147597543478e+00; 
44; 4.40780002999330662e+01; 3.91142577974116268e+00; 1.97619374883930665e+00; 3.00292645983407969e+00; 4.40771950219791293e+01; 3.82802254334285097e+00; 1.95500983934210582e+00; 3.01089761814231549e+00; 
45; 4.50865115352478369e+01; 4.12663785348710466e+00; 2.02956980854469737e+00; 2.98497004960925860e+00; 4.50856192580511816e+01; 4.03907288103268325e+00; 2.00791987481657364e+00; 2.99431439274865818e+00; 
46; 4.60778061514955866e+01; 4.32990647646312965e+00; 2.07938757312160627e+00; 2.99940308255668864e+00; 4.60769356652535649e+01; 4.23699351541335112e+00; 2.05695756369093719e+00; 3.00695756377957935e+00; 
47; 4.70738547475895217e+01; 4.52590926910978197e+00; 2.12613610697159006e+00; 2.98873498625961931e+00; 4.70728351479515723e+01; 4.43056612304363551e+00; 2.10363047236594047e+00; 2.99303692532450905e+00; 
48; 4.80753689375776929e+01; 4.72760399494374361e+00; 2.17299873865406346e+00; 2.99853837053259165e+00; 4.80742458448955645e+01; 4.63026511568821419e+00; 2.15052381298230610e+00; 3.00412613404802942e+00; 
49; 4.90768709358491435e+01; 4.95334865475228092e+00; 2.22428404525456314e+00; 2.98254068504106495e+00; 4.90764097154288237e+01; 4.84889955771409209e+00; 2.20069559755595812e+00; 2.98056181651466012e+00; 
50; 5.00765450061246824e+01; 5.19403550040647133e+00; 2.27775687079280464e+00; 2.99548967712477454e+00; 5.00763120239987529e+01; 5.08631096625396051e+00; 2.25399366486402908e+00; 2.98580407782807944e+00; 
51; 5.10849001463286783e+01; 5.39091931606364838e+00; 2.32028258650039243e+00; 2.99722617978574846e+00; 5.10847270499815664e+01; 5.27936001536630073e+00; 2.29612311132650992e+00; 2.98605080064604334e+00; 
52; 5.20824674454271701e+01; 5.62996691421460760e+00; 2.37132157976503377e+00; 2.97879715303598669e+00; 5.20828533148279647e+01; 5.51043683256753614e+00; 2.34596934353148567e+00; 2.97079004716663819e+00; 
53; 5.30818582394368477e+01; 5.83065916086889580e+00; 2.41328787953389634e+00; 2.98743426748704088e+00; 5.30825403942652727e+01; 5.70906688764817183e+00; 2.38793927288001262e+00; 2.98814589075006865e+00; 
54; 5.40899550429856859e+01; 6.04234803281082300e+00; 2.45647229234369791e+00; 2.96766068570057318e+00; 5.40907838455871328e+01; 5.90802172412195947e+00; 2.42894627719559431e+00; 2.96037442871137113e+00; 
55; 5.50908190040342376e+01; 6.25191075771438154e+00; 2.49873221178672100e+00; 2.94911738818034541e+00; 5.50914302429960472e+01; 6.11049909050069129e+00; 2.47025091866521151e+00; 2.94153084458280034e+00; 
56; 5.60938389342597432e+01; 6.48251731832442513e+00; 2.54434894869815231e+00; 2.88987389701309061e+00; 5.60949836694784025e+01; 6.33813574839243543e+00; 2.51577301259967134e+00; 2.88516915057934442e+00; 
57; 5.70889585663090671e+01; 6.70232231667250300e+00; 2.58735553995826706e+00; 2.92030387151929638e+00; 5.70902203648764655e+01; 6.55337543877836026e+00; 2.55836583086545488e+00; 2.92190182322182190e+00; 
58; 5.80806808533247576e+01; 6.94363745264814458e+00; 2.63384282988848328e+00; 2.89339790660677698e+00; 5.80823587464752151e+01; 6.78877989505139734e+00; 2.60422674357098227e+00; 2.89745506448385504e+00; 
59; 5.90749998245892201e+01; 7.23692342871556793e+00; 2.68910737142032641e+00; 2.89918279541785529e+00; 5.90772670462222891e+01; 7.06105093953393848e+00; 2.65614019643204058e+00; 2.90495681108752946e+00; 
60; 6.00708770958929179e+01; 7.51645403751322139e+00; 2.74069890261426918e+00; 2.90907179954995820e+00; 6.00730801023486762e+01; 7.32220535000593920e+00; 2.70497036003108304e+00; 2.91499820416861732e+00; 
61; 6.10796494215804131e+01; 7.78519635332121407e+00; 2.78905939753227550e+00; 2.94920351935756075e+00; 6.10812481266892533e+01; 7.57721276683488565e+00; 2.75147442451212676e+00; 2.94709467633580369e+00; 
62; 6.20904889011953145e+01; 8.01191422932870623e+00; 2.82908571593177616e+00; 2.95040418639891966e+00; 6.20916772874174043e+01; 7.80024148363812131e+00; 2.79138617153017199e+00; 2.95741350589940177e+00; 
63; 6.30938581454918221e+01; 8.26848253415181134e+00; 2.87396471493243277e+00; 2.92460532930329364e+00; 6.30945799132130460e+01; 8.04745519225693151e+00; 2.83522659275648747e+00; 2.93608935828115936e+00; 
