name=GeneralizedHyperLogLog;numRegisters=256;q=62;base=2.00000000000000000e+00;a=3.90625000000000000e-03;seed=d532d9748fd00ce0;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;1.84664965233786916e+02; 3.41011493847964011e+04; 0.00000000000000000e+00; 0.00000000000000000e+00; 1.77445678223342640e+02; 3.14869687201427296e+04; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.85146866351976342e+02; 3.39100851884311633e+04; 1.00195198210350500e+00; 3.81024853424973585e-06; 1.77922164037870402e+02; 3.13014694751234601e+04; 1.00195544650435875e+00; 4.92944856853640032e-06; 
2;1.85639143178612670e+02; 3.37233694699154294e+04; 2.00281281561039748e+00; 5.04168077331504632e-03; 1.78409235958195637e+02; 3.11202541727836433e+04; 2.00297316888830945e+00; 5.04952258475087432e-03; 
3;1.86129717814506989e+02; 3.35365481268547592e+04; 3.00459553886503583e+00; 1.31068371506471455e-02; 1.78894611094981997e+02; 3.09389704613769645e+04; 3.00497018312463648e+00; 1.31295764064117207e-02; 
4;1.86611285065263104e+02; 3.33469586213908333e+04; 4.00925617261178679e+00; 2.22002894016726238e-02; 1.79370831296404617e+02; 3.07550080089771400e+04; 4.00962126037555766e+00; 2.21974889414963787e-02; 
5;1.87095334871444891e+02; 3.31588065296300556e+04; 5.01186287325931179e+00; 3.70596507271127792e-02; 1.79849590849019563e+02; 3.05724778118916329e+04; 5.01214477494229627e+00; 3.69348243959456840e-02; 
6;1.87578552576865945e+02; 3.29708924976865892e+04; 6.01012495741985830e+00; 5.89952142951904110e-02; 1.80327599609978421e+02; 3.03902372113727324e+04; 6.01043597729946377e+00; 5.89315718889002749e-02; 
7;1.88064677134722132e+02; 3.27845618296661414e+04; 7.00918818924827214e+00; 8.28156410727166614e-02; 1.80808568703995661e+02; 3.02095671070697790e+04; 7.00960992415717765e+00; 8.27643664976007443e-02; 
8;1.88551481080654298e+02; 3.25990080483874735e+04; 8.00608550442196254e+00; 1.18897373216784188e-01; 1.81290339881145940e+02; 3.00297172635221614e+04; 8.00656327460204942e+00; 1.18570055893934864e-01; 
9;1.89038708577287082e+02; 3.24141274967502723e+04; 9.01312328553721542e+00; 1.44768311260398075e-01; 1.81772427610602591e+02; 2.98505078726270003e+04; 9.01323432107403200e+00; 1.44042161009964392e-01; 
10;1.89530824800366020e+02; 3.22315326376186858e+04; 1.00210120517051919e+01; 1.76110729485614348e-01; 1.82259467249461409e+02; 2.96735454286230524e+04; 1.00209903559730069e+01; 1.75088689508401757e-01; 
11;1.90019724858077041e+02; 3.20483043197689040e+04; 1.10265476491127963e+01; 2.12089623429244450e-01; 1.82743242454296137e+02; 2.94959902096811602e+04; 1.10261804349805050e+01; 2.10457684353352742e-01; 
12;1.90514164200550226e+02; 3.18675754201105774e+04; 1.20213621372054185e+01; 2.53103468698788636e-01; 1.83232832041129740e+02; 2.93209584443348685e+04; 1.20215186915901064e+01; 2.50523494080254205e-01; 
13;1.90999483727664341e+02; 3.16841152604425988e+04; 1.30147861619287539e+01; 3.13540471276882060e-01; 1.83713227629265532e+02; 2.91433125963901548e+04; 1.30146887042603048e+01; 3.10564493506395756e-01; 
14;1.91489289698247717e+02; 3.15027676785349831e+04; 1.40100035334047881e+01; 3.78012468419839931e-01; 1.84198185637687601e+02; 2.89677499001662145e+04; 1.40097947265956098e+01; 3.72757982576351621e-01; 
15;1.91985805835105737e+02; 3.13243294515417147e+04; 1.50176286159307679e+01; 4.35501304880447804e-01; 1.84689813282498108e+02; 2.87949949390036127e+04; 1.50173320606421576e+01; 4.31184033893698637e-01; 
16;1.92480547006155234e+02; 3.11457663481634809e+04; 1.60186156848916923e+01; 4.84733241227570000e-01; 1.85179788815066985e+02; 2.86221926676761359e+04; 1.60181832540542715e+01; 4.79520758670779534e-01; 
17;1.92970436135155495e+02; 3.09660059099348036e+04; 1.70171567591595263e+01; 5.58010625490144796e-01; 1.85664856062683640e+02; 2.84482545238658058e+04; 1.70159495320003487e+01; 5.50600905270621221e-01; 
18;1.93473229507574985e+02; 3.07913055583017449e+04; 1.80164606715242783e+01; 6.13533236264944160e-01; 1.86163069148967395e+02; 2.82792793307031206e+04; 1.80159714834965570e+01; 6.05965715892773815e-01; 
19;1.93972157400504727e+02; 3.06157457921709029e+04; 1.90282183717761981e+01; 6.81595766297115602e-01; 1.86657254670238814e+02; 2.81094558270405651e+04; 1.90270738350536988e+01; 6.74671943523489692e-01; 
20;1.94470596940875652e+02; 3.04405090491432566e+04; 2.00310288345753840e+01; 7.67995269857595142e-01; 1.87151042769141128e+02; 2.79400022406612661e+04; 2.00295373156733376e+01; 7.57571498970669999e-01; 
21;1.94982191047343946e+02; 3.02703639381280591e+04; 2.10518758594871116e+01; 8.40899646550055557e-01; 1.87658032942870108e+02; 2.77754730545272578e+04; 2.10506124820857750e+01; 8.30450600217004009e-01; 
