name=GeneralizedHyperLogLog;numRegisters=256;q=65534;base=1.00099999999999989e+00;a=3.90625000000000000e-03;seed=66f86268110b0bfc;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;2.55872106570751981e+02; 6.54705349209550113e+04; 0.00000000000000000e+00; 0.00000000000000000e+00; 2.55872085269388975e+02; 6.54705240201040797e+04; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;2.56361653562856418e+02; 6.52096557893013887e+04; 1.00195804174755132e+00; 3.83394654031093446e-06; 2.56361632249428851e+02; 6.52096449040382067e+04; 1.00191224723809080e+00; 4.90550052165815430e-06; 
2;2.56876617409382504e+02; 6.49622667398010672e+04; 2.00483572273990696e+00; 3.04973510593839828e-03; 2.56876596081996524e+02; 6.49622558680987422e+04; 2.00483949000294670e+00; 3.05581075934774609e-03; 
3;2.57379042934338031e+02; 6.47089672414896777e+04; 3.00357853263091634e+00; 1.40901084031305295e-02; 2.57379021593429968e+02; 6.47089563841319250e+04; 3.00359337168159524e+00; 1.40830143831592765e-02; 
4;2.57869452062909033e+02; 6.44500565269888903e+04; 3.99811926342787771e+00; 3.28036298342802915e-02; 2.57869430708230709e+02; 6.44500456843895445e+04; 3.99799050681626511e+00; 3.27432232539586129e-02; 
5;2.58362237618509880e+02; 6.41928992596663738e+04; 4.99653481645180086e+00; 5.10830079057405101e-02; 2.58362216250488189e+02; 6.41928884319684657e+04; 4.99619118691793318e+00; 5.09604104972037966e-02; 
6;2.58871183672001791e+02; 6.39444020425173512e+04; 6.00091007039066859e+00; 6.91570144461250425e-02; 2.58871162290432721e+02; 6.39443912289543732e+04; 6.00057966015272015e+00; 6.90882347679075692e-02; 
7;2.59383354116341707e+02; 6.36980173821859426e+04; 7.00513836518189681e+00; 9.04158179205529766e-02; 2.59383332721640272e+02; 6.36980065828554216e+04; 7.00490689462553728e+00; 9.03608305892839581e-02; 
8;2.59885103732177072e+02; 6.34468464007635848e+04; 7.99994794983624047e+00; 1.34217955445148779e-01; 2.59885082323994311e+02; 6.34468356159616669e+04; 7.99966090391676943e+00; 1.34108721368309841e-01; 
9;2.60395677726259066e+02; 6.32006500748373364e+04; 9.00172089287547550e+00; 1.63454707704206614e-01; 2.60395656304877491e+02; 6.32006393043546414e+04; 9.00153097851588235e+00; 1.63293680240682942e-01; 
