name=GeneralizedHyperLogLog;numRegisters=4096;q=62;base=2.00000000000000000e+00;a=2.44140625000000000e-04;seed=82a8545b35daf016;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;2.95463944374059065e+03; 8.72989424250787869e+06; 0.00000000000000000e+00; 0.00000000000000000e+00; 2.83913085157348223e+03; 8.06066399235653877e+06; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;2.95511654282377503e+03; 8.72680456528306752e+06; 1.00011574414999704e+00; 1.33967084777912929e-08; 2.83960247849169491e+03; 8.05766404812559206e+06; 1.00012011900179143e+00; 1.87314568594434760e-08; 
2;2.95559660309137780e+03; 8.72373292774206214e+06; 2.00047576202862221e+00; 2.26349514995995519e-07; 2.84007709740043765e+03; 8.05468164581197314e+06; 2.00048338638805356e+00; 2.68649997006403307e-07; 
3;2.95607652964111503e+03; 8.72066103932137601e+06; 3.00110391624486850e+00; 1.21863112817699591e-06; 2.84055156109861855e+03; 8.05169891286955867e+06; 3.00108945351640743e+00; 1.30144746403463471e-06; 
4;2.95655786817941180e+03; 8.71759803255142085e+06; 4.00092827050988475e+00; 1.00151143448856238e-03; 2.84102748968375954e+03; 8.04872504697204009e+06; 4.00094132485611631e+00; 1.00239835202324133e-03; 
5;2.95703709878760310e+03; 8.71452311700294726e+06; 4.99909755847143522e+00; 3.99416628593063198e-03; 2.84150129833913434e+03; 8.04573970252880361e+06; 4.99903175276277523e+00; 3.99275636193804559e-03; 
6;2.95752207662719002e+03; 8.71148266904594749e+06; 5.99940159860956435e+00; 4.98835768623499907e-03; 2.84198088621935221e+03; 8.04278769039489981e+06; 5.99938139756708555e+00; 4.98767549491751019e-03; 
7;2.95800321962521821e+03; 8.70842011827249639e+06; 7.00091515709815670e+00; 4.99091871034984275e-03; 2.84245657007231739e+03; 8.03981408044860512e+06; 7.00096490383578729e+00; 4.99278558867412205e-03; 
8;2.95848391251950807e+03; 8.70535544940563850e+06; 8.00075936730192616e+00; 6.97730848071699637e-03; 2.84293185711386423e+03; 8.03683876997036021e+06; 8.00078985658079844e+00; 6.97614762946086910e-03; 
9;2.95896096199925978e+03; 8.70226982272109948e+06; 9.00291996330583366e+00; 6.98961617955478568e-03; 2.84340338970450148e+03; 8.03384272554745525e+06; 9.00284077758851886e+00; 6.98531151489887887e-03; 
10;2.95944144701199866e+03; 8.69920501075172238e+06; 1.00002944072604691e+01; 1.19127443347213959e-02; 2.84387845481737622e+03; 8.03086726314698439e+06; 1.00001482586707571e+01; 1.18988575843428038e-02; 
11;2.95992672130804885e+03; 8.69616898700902797e+06; 1.10008490237644612e+01; 1.38755066955839577e-02; 2.84435841349368911e+03; 8.02792008429111075e+06; 1.10007251169216484e+01; 1.38674789844075667e-02; 
12;2.96040393843610946e+03; 8.69308597635750100e+06; 1.20005835459701231e+01; 1.68031849282358342e-02; 2.84483015209672567e+03; 8.02492686877656449e+06; 1.20004998567722172e+01; 1.67970379070673942e-02; 
