name=GeneralizedHyperLogLog;numRegisters=4096;q=65534;base=1.00099999999999989e+00;a=2.44140625000000000e-04;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;4.09395370513203170e+03; 1.67604569397644829e+07; 0.00000000000000000e+00; 0.00000000000000000e+00; 4.09395336431022361e+03; 1.67604541491466444e+07; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;4.09444685755017008e+03; 1.67563072557794210e+07; 1.00012208977665873e+00; 1.49059138502258644e-08; 4.09444651673132012e+03; 1.67563044655318465e+07; 1.00012039685837140e+00; 1.92847892940795186e-08; 
2;4.09495833899146783e+03; 1.67523081145753823e+07; 2.00048844127568604e+00; 2.38574888331173360e-07; 4.09495799816353974e+03; 1.67523053245864939e+07; 2.00049054600968290e+00; 2.76435231061498739e-07; 
3;4.09545351193041097e+03; 1.67481759735084511e+07; 3.00009855847787810e+00; 1.00023018801589426e-03; 4.09545317108659992e+03; 1.67481731837336756e+07; 3.00009817779755839e+00; 1.00007480456319200e-03; 
4;4.09595100737214580e+03; 1.67440633525570370e+07; 4.00095353871652382e+00; 1.00161834879911190e-03; 4.09595066652134392e+03; 1.67440605630675890e+07; 4.00095003962452722e+00; 1.00141043125924738e-03; 
5;4.09645250746901820e+03; 1.67399840181423500e+07; 5.00105204018672822e+00; 2.00149884906047990e-03; 4.09645216660557708e+03; 1.67399812288892809e+07; 5.00104919754581179e+00; 2.00112759985308962e-03; 
6;4.09693373659707231e+03; 1.67357393266906068e+07; 6.00239609078569902e+00; 2.00711109015245430e-03; 4.09693339572503100e+03; 1.67357365377208311e+07; 6.00236393169303817e+00; 2.00693174342077459e-03; 
7;4.09741818105503808e+03; 1.67315214876705315e+07; 7.00298338975900680e+00; 3.00941990681377917e-03; 4.09741784017005830e+03; 1.67315186989463475e+07; 7.00291871812959599e+00; 3.01334530984815772e-03; 
8;4.09791928975170595e+03; 1.67274404750976358e+07; 8.00381520586999429e+00; 4.01318735611680411e-03; 4.09791894885188685e+03; 1.67274376865923181e+07; 8.00374189718346685e+00; 4.01617965634447176e-03; 
9;4.09842526500630902e+03; 1.67233997537053842e+07; 9.00388957141072943e+00; 6.00396515411505231e-03; 4.09842492409277293e+03; 1.67233969654246625e+07; 9.00381952132292085e+00; 6.01030034559314752e-03; 
10;4.09891053501325132e+03; 1.67191901927385088e+07; 1.00062127002049959e+01; 6.03037427183936506e-03; 4.09891019409028559e+03; 1.67191874047316052e+07; 1.00060953792549707e+01; 6.04081108109955772e-03; 
11;4.09943256958814527e+03; 1.67152817905047406e+07; 1.10067762520697325e+01; 8.02279056527835550e-03; 4.09943222865076314e+03; 1.67152790027059168e+07; 1.10067045337975156e+01; 8.04008744515449791e-03; 
12;4.09992432881749210e+03; 1.67111263284664936e+07; 1.20065812596354746e+01; 1.09837110577752049e-02; 4.09992398786615104e+03; 1.67111235409000833e+07; 1.20064781397870295e+01; 1.10103164042471661e-02; 
13;4.10043191278722588e+03; 1.67071007320081722e+07; 1.30026182774487911e+01; 1.77913453649420350e-02; 4.10043157182404320e+03; 1.67070979446807019e+07; 1.30025358760296328e+01; 1.78387713216151163e-02; 
14;4.10094568297147271e+03; 1.67031262034007814e+07; 1.40039141527138931e+01; 1.97453529104996590e-02; 4.10094534199687405e+03; 1.67031234163115434e+07; 1.40038688852571749e+01; 1.98188012186253822e-02; 
15;4.10145578260145339e+03; 1.66991221597230230e+07; 1.50034479995027148e+01; 2.56161089467161103e-02; 4.10145544161351609e+03; 1.66991193728588726e+07; 1.50034349854359785e+01; 2.57005933856832673e-02; 
16;4.10195323528249810e+03; 1.66950152417411041e+07; 1.60032254108595033e+01; 2.94481169025238194e-02; 4.10195289427908665e+03; 1.66950124550932329e+07; 1.60031998643892273e+01; 2.95534353643244832e-02; 
17;4.10247933703831495e+03; 1.66911429111591261e+07; 1.70042514270607761e+01; 3.23162597687269709e-02; 4.10247899602150846e+03; 1.66911401247250456e+07; 1.70043278969201594e+01; 3.24607829130588235e-02; 
18;4.10298241002692157e+03; 1.66870828601712622e+07; 1.80055217964265672e+01; 3.51737710560819303e-02; 4.10298206899564866e+03; 1.66870800739579070e+07; 1.80056105793531813e+01; 3.53479121679327116e-02; 
19;4.10348549235897372e+03; 1.66830233670699764e+07; 1.90090460280177815e+01; 3.61816876354749684e-02; 4.10348515131318254e+03; 1.66830205810769368e+07; 1.90091408103090664e+01; 3.63235407606956745e-02; 
20;4.10399037999462325e+03; 1.66789791432430726e+07; 2.00077923564601647e+01; 4.17750645199918974e-02; 4.10399003893614736e+03; 1.66789763574840482e+07; 2.00079123145071875e+01; 4.18322904061032078e-02; 
21;4.10449104796864322e+03; 1.66749009560141042e+07; 2.10097974992363028e+01; 4.66227751216530609e-02; 4.10449070689566543e+03; 1.66748981704772823e+07; 2.10099178373670803e+01; 4.67034223859258274e-02; 
22;4.10500182443246104e+03; 1.66709058261867203e+07; 2.20100373131367100e+01; 5.12330665225233309e-02; 4.10500148334842652e+03; 1.66709030408933125e+07; 2.20102140675125497e+01; 5.12640125935505050e-02; 
23;4.10550427656961165e+03; 1.66668431860004980e+07; 2.30105215033211969e+01; 5.78243356438761721e-02; 4.10550393546872328e+03; 1.66668404009089116e+07; 2.30107148467189084e+01; 5.79248317389756892e-02; 
24;4.10600809223704800e+03; 1.66627921715608258e+07; 2.40102443750091155e+01; 6.52458977934624179e-02; 4.10600775112297652e+03; 1.66627893867001832e+07; 2.40104605944959815e+01; 6.52227775103670221e-02; 
25;4.10651283474385127e+03; 1.66587492168801297e+07; 2.50081991568803694e+01; 7.23007591205994671e-02; 4.10651249361749524e+03; 1.66587464322570227e+07; 2.50084546543868029e+01; 7.23508056045708697e-02; 
26;4.10701461834510883e+03; 1.66546826154536679e+07; 2.60074037292705142e+01; 8.24444390702107205e-02; 4.10701427720774427e+03; 1.66546798310806472e+07; 2.60076745203605562e+01; 8.23976652079248251e-02; 
27;4.10750512010596321e+03; 1.66505244087655209e+07; 2.70058448884895235e+01; 9.13129549140041102e-02; 4.10750477895089807e+03; 1.66505216245956477e+07; 2.70060606179072238e+01; 9.11947160273763602e-02; 
28;4.10799450337816415e+03; 1.66463576154417116e+07; 2.79994954342021671e+01; 1.02141336476587283e-01; 4.10799416220793955e+03; 1.66463548314965386e+07; 2.79996604664867093e+01; 1.01981052538150721e-01; 
29;4.10850223077107421e+03; 1.66423410326556992e+07; 2.89974160960412561e+01; 1.11517522716237050e-01; 4.10850188959035040e+03; 1.66423382489607688e+07; 2.89976413352485558e+01; 1.11408664306626271e-01; 
30;4.10899834073802413e+03; 1.66382301352945101e+07; 3.00006152332848011e+01; 1.14755815804551978e-01; 4.10899799954318041e+03; 1.66382273518282212e+07; 3.00007999752650072e+01; 1.14663779151474896e-01; 
31;4.10950144926956546e+03; 1.66341768453164082e+07; 3.10040604604002645e+01; 1.17986745458940528e-01; 4.10950110806006796e+03; 1.66341740620696843e+07; 3.10042516174514660e+01; 1.17849555315340443e-01; 
32;4.11000478627274788e+03; 1.66301258706135098e+07; 3.20027132197890367e+01; 1.27057215253453343e-01; 4.11000444504825464e+03; 1.66301230875833649e+07; 3.20029303397535827e+01; 1.26837409823769703e-01; 
33;4.11050459394697918e+03; 1.66260466082923058e+07; 3.30016090276306855e+01; 1.33944754180466946e-01; 4.11050425270970754e+03; 1.66260438254992981e+07; 3.30018233126931335e+01; 1.33594068650896985e-01; 
34;4.11100698767691210e+03; 1.66219889422776792e+07; 3.40017571403397341e+01; 1.41980211037268655e-01; 4.11100664642493757e+03; 1.66219861597044542e+07; 3.40019865391470333e+01; 1.41670270371344553e-01; 
35;4.11149895181071588e+03; 1.66178467696774788e+07; 3.49981154085805173e+01; 1.56815359045393815e-01; 4.11149861054624671e+03; 1.66178439873490892e+07; 3.49982874090817973e+01; 1.56509620932027083e-01; 
36;4.11200457852959244e+03; 1.66138164834390189e+07; 3.59957249544649471e+01; 1.64595287584275857e-01; 4.11200423725082783e+03; 1.66138137013315111e+07; 3.59959461772410521e+01; 1.64112155608866384e-01; 
37;4.11249699752134529e+03; 1.66096789976199679e+07; 3.69935764889941723e+01; 1.72145249301867420e-01; 4.11249665623027886e+03; 1.66096762157586273e+07; 3.69937313399954988e+01; 1.71553164587414653e-01; 
38;4.11299853957814048e+03; 1.66056163483730089e+07; 3.79926817654847966e+01; 1.84908567413801961e-01; 4.11299819827167903e+03; 1.66056135667264089e+07; 3.79928427835068590e+01; 1.84124115781649667e-01; 
39;4.11350327393114094e+03; 1.66015802024852931e+07; 3.89970778515649457e+01; 1.90197446320416935e-01; 4.11350293261117258e+03; 1.66015774210667871e+07; 3.89972539280882629e+01; 1.89514701962464005e-01; 
40;4.11401347032443209e+03; 1.65975891073055696e+07; 4.00017207478947725e+01; 1.95478221049535439e-01; 4.11401312899222648e+03; 1.65975863261217009e+07; 4.00019609488947481e+01; 1.94714909286908044e-01; 
41;4.11451041901329609e+03; 1.65934905553777069e+07; 4.10015596373900451e+01; 2.07849488019367840e-01; 4.11451007766662315e+03; 1.65934877744193692e+07; 4.10017585487389979e+01; 2.06920065690666399e-01; 
42;4.11502392388109456e+03; 1.65895274516532440e+07; 4.20026547723228774e+01; 2.21491024791000468e-01; 4.11502358252023441e+03; 1.65895246709114462e+07; 4.20029733577229862e+01; 2.20617594638285619e-01; 
43;4.11553698270184850e+03; 1.65855610966076516e+07; 4.30029836810716546e+01; 2.31461386543418024e-01; 4.11553664132574249e+03; 1.65855583160741497e+07; 4.30034231651788801e+01; 2.30376619278115924e-01; 
44;4.11602489373816479e+03; 1.65813905003157146e+07; 4.40005226960526628e+01; 2.46948088032910990e-01; 4.11602455234646095e+03; 1.65813877200048119e+07; 4.40008403173867322e+01; 2.45972478194904254e-01; 
45;4.11653710042171497e+03; 1.65774181661232430e+07; 4.50013398942909788e+01; 2.58514497863045478e-01; 4.11653675901734459e+03; 1.65774153860422317e+07; 4.50017717434394129e+01; 2.57419103206026179e-01; 
46;4.11704347440612855e+03; 1.65733988546067495e+07; 4.60054342804085934e+01; 2.66356859163798476e-01; 4.11704313299005025e+03; 1.65733960747675076e+07; 4.60059017014534675e+01; 2.65119916824012314e-01; 
