name=GeneralizedHyperLogLog;numRegisters=4096;q=65534;base=1.00099999999999989e+00;a=2.44140625000000000e-04;seed=32ee6041633624f4;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;4.09395370513203170e+03; 1.67604569397644829e+07; 0.00000000000000000e+00; 0.00000000000000000e+00; 4.09395336431022361e+03; 1.67604541491466444e+07; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;4.09445617134322765e+03; 1.67563835113088917e+07; 1.00012209033229560e+00; 1.49060495413614779e-08; 4.09445583052661050e+03; 1.67563807210732903e+07; 1.00012267300745328e+00; 2.01013682690688473e-08; 
2;4.09494859199793609e+03; 1.67522283425832782e+07; 2.00048843894856843e+00; 2.38572615924783380e-07; 4.09494825116754600e+03; 1.67522255525808390e+07; 2.00048578197794136e+00; 2.75603867508281130e-07; 
3;4.09545516027646818e+03; 1.67481894799619392e+07; 2.99809733827523495e+00; 2.99827422696648596e-03; 4.09545481943595178e+03; 1.67481866902131103e+07; 2.99809876362693917e+00; 2.99759055184650952e-03; 
4;4.09596168522512744e+03; 1.67441507350935526e+07; 3.99795098460685994e+00; 3.99501540364047107e-03; 4.09596134437586625e+03; 1.67441479456094932e+07; 3.99795934835246891e+00; 3.99465939853022381e-03; 
5;4.09646225060566758e+03; 1.67400637246730868e+07; 4.99804875649487457e+00; 4.98975270912228961e-03; 4.09646190974415367e+03; 1.67400609354292061e+07; 4.99805921363504169e+00; 4.98602941896450838e-03; 
6;4.09696814732340954e+03; 1.67360208341686707e+07; 5.99939213358361823e+00; 4.98875346551471734e-03; 4.09696780645390481e+03; 1.67360180451961216e+07; 5.99941233118086359e+00; 4.98668354645487918e-03; 
7;4.09747598494235444e+03; 1.67319943268571943e+07; 6.99897720474798213e+00; 6.97415349288418775e-03; 4.09747564405649791e+03; 1.67319915380864684e+07; 6.99901400201090329e+00; 6.97109302930918901e-03; 
8;4.09797506267002518e+03; 1.67278966490052529e+07; 7.99880625616332797e+00; 8.95318019744035729e-03; 4.09797472177233794e+03; 1.67278938604793567e+07; 7.99884661186316936e+00; 8.95703327762245941e-03; 
9;4.09845686240125724e+03; 1.67236581564585455e+07; 8.99887933729670308e+00; 1.09255467339345706e-02; 4.09845652149013404e+03; 1.67236553681759760e+07; 8.99888379983750397e+00; 1.09278499546691735e-02; 
10;4.09896833960772892e+03; 1.67196628791619819e+07; 1.00001991155770789e+01; 1.19112555242003888e-02; 4.09896799868722155e+03; 1.67196600911357757e+07; 1.00002302385593378e+01; 1.19284781635417714e-02; 
11;4.09946983220352922e+03; 1.67155864623629283e+07; 1.10027662546188374e+01; 1.19246988423572266e-02; 4.09946949127027165e+03; 1.67155836745725051e+07; 1.10027996802535615e+01; 1.19421769481687905e-02; 
12;4.09997761111932141e+03; 1.67115619166345578e+07; 1.20045760881898893e+01; 1.29242841213890233e-02; 4.09997727017361012e+03; 1.67115591290778108e+07; 1.20046304833710717e+01; 1.29291352060982353e-02; 
13;4.10047318217089014e+03; 1.67074380538165551e+07; 1.30066309074592343e+01; 1.39326102095296868e-02; 4.10047284120999575e+03; 1.67074352664796673e+07; 1.30066711500403827e+01; 1.39437850770768000e-02; 
14;4.10099205561541476e+03; 1.67035051720933188e+07; 1.40069245826801083e+01; 1.68696699148253824e-02; 4.10099171464196752e+03; 1.67035023849818949e+07; 1.40070299879559972e+01; 1.68891932614249826e-02; 
15;4.10149670530207095e+03; 1.66994565145214219e+07; 1.50074624728078447e+01; 1.97952609568322613e-02; 4.10149636431116960e+03; 1.66994537276051529e+07; 1.50075896068752943e+01; 1.98308194102297386e-02; 
16;4.10199161429688684e+03; 1.66953287693071775e+07; 1.60102522742941922e+01; 2.08207354646616251e-02; 4.10199127329628391e+03; 1.66953259826561064e+07; 1.60103607448765572e+01; 2.08804216189449124e-02; 
17;4.10248931661155439e+03; 1.66912243141793441e+07; 1.70122836190287785e+01; 2.28041503856957900e-02; 4.10248897559516445e+03; 1.66912215277418457e+07; 1.70123819911526404e+01; 2.28605692035049532e-02; 
18;4.10298809521618477e+03; 1.66871291657968499e+07; 1.80135558837725753e+01; 2.57257221173168016e-02; 4.10298775418608875e+03; 1.66871263795891739e+07; 1.80136489551550163e+01; 2.57968104679665231e-02; 
19;4.10348853011263782e+03; 1.66830480498744920e+07; 1.90100503536580661e+01; 3.32438330582641856e-02; 4.10348818907078748e+03; 1.66830452639115117e+07; 1.90101545956919900e+01; 3.33032387828805718e-02; 
20;4.10398000617730486e+03; 1.66788942713104263e+07; 2.00098013893261850e+01; 3.79342221519921100e-02; 4.10397966511897812e+03; 1.66788914855596721e+07; 2.00098642245604736e+01; 3.79156503991453925e-02; 
21;4.10449127577238687e+03; 1.66749026425270084e+07; 2.10118070291824779e+01; 4.07810115918770394e-02; 4.10449093470006846e+03; 1.66748998569954801e+07; 2.10119216220216529e+01; 4.07870062686161647e-02; 
22;4.10499400588413573e+03; 1.66708417969647702e+07; 2.20140576439486431e+01; 4.36271806969950882e-02; 4.10499366479806667e+03; 1.66708390116600897e+07; 2.20141817833005859e+01; 4.36474035909379457e-02; 
23;4.10549182287680105e+03; 1.66667413377868701e+07; 2.30125313792732236e+01; 4.99991023125004250e-02; 4.10549148177809639e+03; 1.66667385527216438e+07; 2.30126488335948807e+01; 5.00570201520695521e-02; 
24;4.10600340104266888e+03; 1.66627536927163787e+07; 2.40142662632925514e+01; 5.36793261933923155e-02; 4.10600305993191068e+03; 1.66627509078859501e+07; 2.40144453467191674e+01; 5.37390979441966649e-02; 
25;4.10650587779377565e+03; 1.66586922187699601e+07; 2.50152399012513236e+01; 5.82024054425176254e-02; 4.10650553666809174e+03; 1.66586894341570288e+07; 2.50154316644227421e+01; 5.82348419047221885e-02; 
26;4.10701476598953286e+03; 1.66546836279164646e+07; 2.60144464522216516e+01; 6.84285668683637521e-02; 4.10701442485086500e+03; 1.66546808435327280e+07; 2.60146953315534581e+01; 6.83501726226860840e-02; 
27;4.10751704327218795e+03; 1.66506215021893363e+07; 2.70189285424275738e+01; 7.03578658749214464e-02; 4.10751670211892997e+03; 1.66506187180260550e+07; 2.70191794228917530e+01; 7.02422863067991982e-02; 
28;4.10801654580958257e+03; 1.66465372591765728e+07; 2.80206366984854753e+01; 7.47929916097428288e-02; 4.10801620464008738e+03; 1.66465344752223901e+07; 2.80208808605200481e+01; 7.47174015736699060e-02; 
29;4.10851414739513348e+03; 1.66424380100022033e+07; 2.90225897526052563e+01; 7.91981121754037065e-02; 4.10851380621677072e+03; 1.66424352263184413e+07; 2.90228103378148319e+01; 7.90987288962535645e-02; 
30;4.10901391712282020e+03; 1.66383569408350922e+07; 3.00268027516363532e+01; 8.40207187107477188e-02; 4.10901357592852855e+03; 1.66383541573626772e+07; 3.00270057474264469e+01; 8.39522324096824979e-02; 
31;4.10953148932048498e+03; 1.66344215926702190e+07; 3.10252181367968838e+01; 9.35448724915030894e-02; 4.10953114811122487e+03; 1.66344188094049785e+07; 3.10255555923740118e+01; 9.34465282407595244e-02; 
32;4.11002826078059479e+03; 1.66303170542755052e+07; 3.20258912366641653e+01; 1.01406205180330500e-01; 4.11002791956076544e+03; 1.66303142712673880e+07; 3.20262021364604053e+01; 1.01316090896714853e-01; 
33;4.11054131083965058e+03; 1.66263457950389013e+07; 3.30278175607352935e+01; 1.06411270287942158e-01; 4.11054096960501647e+03; 1.66263430122424103e+07; 3.30282229072226343e+01; 1.06263151713512624e-01; 
34;4.11104503245175601e+03; 1.66222989149389509e+07; 3.40279720341447671e+01; 1.12830772792854903e-01; 4.11104469120323392e+03; 1.66222961323678959e+07; 3.40284073417556172e+01; 1.12618032905613757e-01; 
35;4.11154601193773487e+03; 1.66182301978103463e+07; 3.50273626390508426e+01; 1.23920944774124436e-01; 4.11154567067668995e+03; 1.66182274154777415e+07; 3.50278099218589389e+01; 1.23723452122878885e-01; 
36;4.11203184833434989e+03; 1.66140385247643180e+07; 3.60290131125356652e+01; 1.31443680210397151e-01; 4.11203150705668668e+03; 1.66140357426472250e+07; 3.60293302558322850e+01; 1.31238469521810508e-01; 
37;4.11253072210199934e+03; 1.66099536246521957e+07; 3.70349450256719948e+01; 1.34143560891758634e-01; 4.11253038080913120e+03; 1.66099508427532725e+07; 3.70352201079283248e+01; 1.33865226828335154e-01; 
38;4.11303283350529455e+03; 1.66058956234690193e+07; 3.80370877253818946e+01; 1.41596555410740954e-01; 4.11303249219805275e+03; 1.66058928417927586e+07; 3.80373649863515126e+01; 1.41261044774112415e-01; 
39;4.11354861331223401e+03; 1.66019494644682761e+07; 3.90394766675949256e+01; 1.46949654396650808e-01; 4.11354827199127158e+03; 1.66019466830106676e+07; 3.90398849525846572e+01; 1.46720802992422489e-01; 
40;4.11404801920227510e+03; 1.65978704310916979e+07; 4.00421097126422083e+01; 1.54275755640447237e-01; 4.11404767786794218e+03; 1.65978676498668548e+07; 4.00424927262190025e+01; 1.53912227975506188e-01; 
41;4.11453581590027261e+03; 1.65936973250997309e+07; 4.10379177527621124e+01; 1.67804322445504167e-01; 4.11453547455358694e+03; 1.65936945441239756e+07; 4.10381937027517338e+01; 1.67392070997094855e-01; 
42;4.11505363215662328e+03; 1.65897692675001472e+07; 4.20410417304845296e+01; 1.72841875674582229e-01; 4.11505329079761941e+03; 1.65897664867531285e+07; 4.20414732440631411e+01; 1.72569541343234184e-01; 
43;4.11554862664556458e+03; 1.65856557666375842e+07; 4.30413777425254551e+01; 1.79509074419058751e-01; 4.11554828527222162e+03; 1.65856529861186501e+07; 4.30417480697487917e+01; 1.79240477310847801e-01; 
44;4.11604839036926478e+03; 1.65815816790460143e+07; 4.40399381222711526e+01; 1.95244359446841459e-01; 4.11604804898008479e+03; 1.65815788987397030e+07; 4.40402999249577647e+01; 1.94683626153400180e-01; 
45;4.11656055243214814e+03; 1.65776089900190905e+07; 4.50448082816221671e+01; 2.01487113736769308e-01; 4.11656021103182775e+03; 1.65776062099550497e+07; 4.50452638313857534e+01; 2.00923167727348889e-01; 
46;4.11705067958176915e+03; 1.65734573037193008e+07; 4.60428446101257691e+01; 2.15294611566146377e-01; 4.11705033816586547e+03; 1.65734545238765795e+07; 4.60431899599601451e+01; 2.14576013454342823e-01; 
47;4.11754896289662065e+03; 1.65693726021706592e+07; 4.70370802223596272e+01; 2.36824697166835657e-01; 4.11754862146829146e+03; 1.65693698225693014e+07; 4.70374266425835899e+01; 2.36260887133494829e-01; 
48;4.11806289476471193e+03; 1.65654157663957104e+07; 4.80366169892917512e+01; 2.51524255861042323e-01; 4.11806255332305409e+03; 1.65654129870178215e+07; 4.80371097080185194e+01; 2.50763250845295049e-01; 
49;4.11855453903536272e+03; 1.65612780478058271e+07; 4.90384192419197049e+01; 2.71243064391945787e-01; 4.11855419757988602e+03; 1.65612752686625775e+07; 4.90387885982677147e+01; 2.70355112028069111e-01; 
50;4.11904698572025518e+03; 1.65571473638721034e+07; 5.00364171045185131e+01; 2.86271325709993141e-01; 4.11904664424921430e+03; 1.65571445849488154e+07; 5.00366885696257455e+01; 2.85101954272315883e-01; 
