name=SetSketch1;numRegisters=1024;q=62;base=2.00000000000000000e+00;a=3.00000000000000000e+01;seed=525738371a6744a3;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;2.40449173481493937e-02; 5.78158050279339668e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 2.31049060186651577e-02; 5.33836682131348141e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.00205977724708495e+00; 1.15939329230152792e-03; 1.00205977724708495e+00; 1.15939329230152792e-03; 1.00201178837011162e+00; 1.14873870426615717e-03; 1.00201178837011162e+00; 1.14873870426615717e-03; 
2;2.00197757383074526e+00; 4.15993961354156009e-03; 2.00197757383074526e+00; 4.15993961354156009e-03; 2.00183291226980709e+00; 4.13302544498080071e-03; 2.00183291226980709e+00; 4.13302544498080071e-03; 
3;3.00550988379429329e+00; 9.73570690430985118e-03; 3.00550988379429329e+00; 9.73570690430985118e-03; 3.00536073234543855e+00; 9.72290826087092094e-03; 3.00536073234543855e+00; 9.72290826087092094e-03; 
4;4.00381955539060197e+00; 1.64353924349870707e-02; 4.00381955539060197e+00; 1.64353924349870707e-02; 4.00395296578794113e+00; 1.64012833408485811e-02; 4.00395296578794113e+00; 1.64012833408485811e-02; 
5;5.00499136298195690e+00; 2.45297952292398216e-02; 5.00499136298195690e+00; 2.45297952292398216e-02; 5.00495279978108876e+00; 2.44702216576757718e-02; 5.00495279978108876e+00; 2.44702216576757718e-02; 
6;6.00788672535675161e+00; 3.74586297932304677e-02; 6.00788672535675161e+00; 3.74586297932304677e-02; 6.00761995691948147e+00; 3.69894118919335060e-02; 6.00761995691948147e+00; 3.69894118919335060e-02; 
7;7.00740641327685587e+00; 4.75210627623990148e-02; 7.00740641327685587e+00; 4.75210627623990148e-02; 7.00731060291935837e+00; 4.71199455421267011e-02; 7.00731060291935837e+00; 4.71199455421267011e-02; 
8;7.99946588348301812e+00; 6.38061268983390051e-02; 7.99946588348301812e+00; 6.38061268983390051e-02; 7.99974776007263166e+00; 6.32359752793523605e-02; 7.99974776007263166e+00; 6.32359752793523605e-02; 
9;9.00509970727175180e+00; 8.24776606363270687e-02; 9.00509970727175180e+00; 8.24776606363270687e-02; 9.00544732511966473e+00; 8.16050996436863130e-02; 9.00544732511966473e+00; 8.16050996436863130e-02; 
10;1.00104351943808076e+01; 1.01429780999872862e-01; 1.00104351943808076e+01; 1.01429780999872862e-01; 1.00101528743597061e+01; 1.00449145340746060e-01; 1.00101528743597061e+01; 1.00449145340746060e-01; 
11;1.10201647084056216e+01; 1.26317452542610120e-01; 1.10201647084056216e+01; 1.26317452542610120e-01; 1.10191911707715331e+01; 1.25675761423973159e-01; 1.10191911707715331e+01; 1.25675761423973159e-01; 
12;1.20109325334470274e+01; 1.53524358223829982e-01; 1.20109325334470274e+01; 1.53524358223829982e-01; 1.20100653486968785e+01; 1.52772620577874607e-01; 1.20100653486968785e+01; 1.52772620577874607e-01; 
13;1.30155955278055888e+01; 1.78842580534937096e-01; 1.30155955278055888e+01; 1.78842580534937096e-01; 1.30145718777385042e+01; 1.77520534271351227e-01; 1.30145718777385042e+01; 1.77520534271351227e-01; 
14;1.40118889759722531e+01; 2.01804144526658180e-01; 1.40118889759722531e+01; 2.01804144526658180e-01; 1.40098741647256624e+01; 2.00242725215009049e-01; 1.40098741647256624e+01; 2.00242725215009049e-01; 
15;1.50236562079887630e+01; 2.31567623698282238e-01; 1.50236562079887630e+01; 2.31567623698282238e-01; 1.50206805404827062e+01; 2.29156328985595598e-01; 1.50206805404827062e+01; 2.29156328985595598e-01; 
16;1.60270359037607797e+01; 2.69223100266287652e-01; 1.60270359037607797e+01; 2.69223100266287652e-01; 1.60241438778724294e+01; 2.66455712303365844e-01; 1.60241438778724294e+01; 2.66455712303365844e-01; 
17;1.70305858633624183e+01; 3.08740275646060658e-01; 1.70305858633624183e+01; 3.08740275646060658e-01; 1.70275219595222183e+01; 3.06028441224172110e-01; 1.70275219595222183e+01; 3.06028441224172110e-01; 
18;1.80343493706911637e+01; 3.32367599373077582e-01; 1.80343493706911637e+01; 3.32367599373077582e-01; 1.80306248249822367e+01; 3.30050409916790521e-01; 1.80306248249822367e+01; 3.30050409916790521e-01; 
19;1.90201391410953775e+01; 3.68654914694685421e-01; 1.90201391410953775e+01; 3.68654914694685421e-01; 1.90172140155800200e+01; 3.66611824968804567e-01; 1.90172140155800200e+01; 3.66611824968804567e-01; 
20;2.00119973423599440e+01; 4.14443070817164749e-01; 2.00119973423599440e+01; 4.14443070817164749e-01; 2.00085936224115848e+01; 4.12007449366988743e-01; 2.00085936224115848e+01; 4.12007449366988743e-01; 
21;2.10170293537515072e+01; 4.66424794920614616e-01; 2.10170293537515072e+01; 4.66424794920614616e-01; 2.10131923243719392e+01; 4.63810662229101722e-01; 2.10131923243719392e+01; 4.63810662229101722e-01; 
22;2.20038000376961342e+01; 5.21288936513105594e-01; 2.20038000376961342e+01; 5.21288936513105594e-01; 2.20006291576304740e+01; 5.17889329141058230e-01; 2.20006291576304740e+01; 5.17889329141058230e-01; 
23;2.30109683721065181e+01; 5.96543963812567801e-01; 2.30109683721065181e+01; 5.96543963812567801e-01; 2.30071144921338018e+01; 5.93118038611086584e-01; 2.30071144921338018e+01; 5.93118038611086584e-01; 
24;2.40077751302523268e+01; 6.24400353902256566e-01; 2.40077751302523268e+01; 6.24400353902256566e-01; 2.40047961907305201e+01; 6.20088856788518994e-01; 2.40047961907305201e+01; 6.20088856788518994e-01; 
25;2.50054323668973950e+01; 6.83721156683001929e-01; 2.50054323668973950e+01; 6.83721156683001929e-01; 2.50027920739919089e+01; 6.80216512759147185e-01; 2.50027920739919089e+01; 6.80216512759147185e-01; 
26;2.60023263202654533e+01; 7.50138411276702999e-01; 2.60023263202654533e+01; 7.50138411276702999e-01; 2.59993009462111111e+01; 7.44334395049013664e-01; 2.59993009462111111e+01; 7.44334395049013664e-01; 
27;2.70071902617578452e+01; 7.99569446611580359e-01; 2.70071902617578452e+01; 7.99569446611580359e-01; 2.70049388398017918e+01; 7.95437497667518256e-01; 2.70049388398017918e+01; 7.95437497667518256e-01; 
28;2.80138911287333734e+01; 8.70574025817824726e-01; 2.80138911287333734e+01; 8.70574025817824726e-01; 2.80122727795628741e+01; 8.67465638548670759e-01; 2.80122727795628741e+01; 8.67465638548670759e-01; 
29;2.90198974420812803e+01; 9.15182328668926792e-01; 2.90198974420812803e+01; 9.15182328668926792e-01; 2.90170521000958495e+01; 9.11636030510053930e-01; 2.90170521000958495e+01; 9.11636030510053930e-01; 
30;3.00194644515848381e+01; 9.83365365425263316e-01; 3.00194644515848381e+01; 9.83365365425263316e-01; 3.00157159298055127e+01; 9.79161229163653557e-01; 3.00157159298055127e+01; 9.79161229163653557e-01; 
31;3.10231720072151909e+01; 1.03715335196613800e+00; 3.10231720072151909e+01; 1.03715335196613800e+00; 3.10184182136122892e+01; 1.02817032355951898e+00; 3.10184182136122892e+01; 1.02817032355951898e+00; 
32;3.20301987970346573e+01; 1.09288557183206558e+00; 3.20301987970346573e+01; 1.09288557183206558e+00; 3.20242052427278381e+01; 1.08320507934760091e+00; 3.20242052427278381e+01; 1.08320507934760091e+00; 
33;3.30174752942767569e+01; 1.13951197946904159e+00; 3.30174752942767569e+01; 1.13951197946904159e+00; 3.30128555780536814e+01; 1.12721086235748857e+00; 3.30128555780536814e+01; 1.12721086235748857e+00; 
34;3.40061516203505434e+01; 1.20641681180600258e+00; 3.40061516203505434e+01; 1.20641681180600258e+00; 3.40025731378100105e+01; 1.19725750859390279e+00; 3.40025731378100105e+01; 1.19725750859390279e+00; 
35;3.50186554615438794e+01; 1.27636343225675231e+00; 3.50186554615438794e+01; 1.27636343225675231e+00; 3.50138203851332648e+01; 1.26372743217005667e+00; 3.50138203851332648e+01; 1.26372743217005667e+00; 
36;3.60144950749161339e+01; 1.38880727702100115e+00; 3.60144950749161339e+01; 1.38880727702100115e+00; 3.60092236609689067e+01; 1.37849710618613508e+00; 3.60092236609689067e+01; 1.37849710618613508e+00; 
37;3.70318389125639342e+01; 1.49843477912597334e+00; 3.70318389125639342e+01; 1.49843477912597334e+00; 3.70256328597777227e+01; 1.48793627938135731e+00; 3.70256328597777227e+01; 1.48793627938135731e+00; 
38;3.80247943498763519e+01; 1.57666535987285084e+00; 3.80247943498763519e+01; 1.57666535987285084e+00; 3.80192895144113550e+01; 1.56731890102428784e+00; 3.80192895144113550e+01; 1.56731890102428784e+00; 
