name=SetSketch1;numRegisters=1024;q=65534;base=1.00099999999999989e+00;a=3.00000000000000000e+01;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;3.33166805430666763e-02; 1.11000120240878396e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 3.33166777701448397e-02; 1.11000101763961937e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.00134584755982869e+00; 1.01110815914722896e-03; 1.00134584755982869e+00; 1.01110815914722896e-03; 1.00134584761071554e+00; 1.01110816375030166e-03; 1.00134584761071554e+00; 1.01110816375030166e-03; 
2;2.00340305528122409e+00; 4.05597410230669302e-03; 2.00340305528122409e+00; 4.05597410230669302e-03; 2.00340305504489136e+00; 4.05597410287667111e-03; 2.00340305504489136e+00; 4.05597410287667111e-03; 
3;3.00774622533689628e+00; 8.69144713056439928e-03; 3.00774622533689628e+00; 8.69144713056439928e-03; 3.00774622436336614e+00; 8.69144702506585536e-03; 3.00774622436336614e+00; 8.69144702506585536e-03; 
4;4.00782285210149158e+00; 1.63184832854950980e-02; 4.00782285210149158e+00; 1.63184832854950980e-02; 4.00782285055007748e+00; 1.63184829901357360e-02; 4.00782285055007748e+00; 1.63184829901357360e-02; 
5;5.00786516645949487e+00; 2.46170799325200404e-02; 5.00786516645949487e+00; 2.46170799325200404e-02; 5.00786516627483458e+00; 2.46170798660991369e-02; 5.00786516627483458e+00; 2.46170798660991369e-02; 
6;6.00743390010643985e+00; 3.65933246700532872e-02; 6.00743390010643985e+00; 3.65933246700532872e-02; 6.00743389873199973e+00; 3.65933249065417965e-02; 6.00743389873199973e+00; 3.65933249065417965e-02; 
7;7.00770967168629078e+00; 4.90382177932747673e-02; 7.00770967168629078e+00; 4.90382177932747673e-02; 7.00770966896742031e+00; 4.90382184521797465e-02; 7.00770966896742031e+00; 4.90382184521797465e-02; 
8;8.01163987945877309e+00; 6.23348570513496611e-02; 8.01163987945877309e+00; 6.23348570513496611e-02; 8.01163987703988134e+00; 6.23348577172221224e-02; 8.01163987703988134e+00; 6.23348577172221224e-02; 
9;9.01945967178320984e+00; 8.12981115870148874e-02; 9.01945967178320984e+00; 8.12981115870148874e-02; 9.01945966923466536e+00; 8.12981123921910354e-02; 9.01945966923466536e+00; 8.12981123921910354e-02; 
10;1.00215838833582929e+01; 1.03069465132367949e-01; 1.00215838833582929e+01; 1.03069465132367949e-01; 1.00215838795110450e+01; 1.03069465593703266e-01; 1.00215838795110450e+01; 1.03069465593703266e-01; 
11;1.10180448134387348e+01; 1.26988896314047001e-01; 1.10180448134387348e+01; 1.26988896314047001e-01; 1.10180448102149313e+01; 1.26988895128244100e-01; 1.10180448102149313e+01; 1.26988895128244100e-01; 
12;1.20258248886237755e+01; 1.51931993579903390e-01; 1.20258248886237755e+01; 1.51931993579903390e-01; 1.20258248846856546e+01; 1.51931993958389633e-01; 1.20258248846856546e+01; 1.51931993958389633e-01; 
13;1.30304895131075753e+01; 1.85769491419170929e-01; 1.30304895131075753e+01; 1.85769491419170929e-01; 1.30304895099183380e+01; 1.85769491685816551e-01; 1.30304895099183380e+01; 1.85769491685816551e-01; 
