name=SetSketch1;numRegisters=1024;q=65534;base=1.00099999999999989e+00;a=3.00000000000000000e+01;seed=0153b464e5066cab;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;3.33166805430666763e-02; 1.11000120240878396e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 3.33166777701448397e-02; 1.11000101763961937e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.00111513697573584e+00; 9.40115284841781937e-04; 1.00111513697573584e+00; 9.40115284841781937e-04; 1.00111513685817743e+00; 9.40115280125447626e-04; 1.00111513685817743e+00; 9.40115280125447626e-04; 
2;1.99866344699509946e+00; 3.69328289921705931e-03; 1.99866344699509946e+00; 3.69328289921705931e-03; 1.99866344708241050e+00; 3.69328291781655495e-03; 1.99866344708241050e+00; 3.69328291781655495e-03; 
3;3.00180708159888399e+00; 8.79994114675133020e-03; 3.00180708159888399e+00; 8.79994114675133020e-03; 3.00180708191248291e+00; 8.79994111695300493e-03; 3.00180708191248291e+00; 8.79994111695300493e-03; 
4;4.00188727837363256e+00; 1.44991129964004949e-02; 4.00188727837363256e+00; 1.44991129964004949e-02; 4.00188727851385462e+00; 1.44991130298754833e-02; 4.00188727851385462e+00; 1.44991130298754833e-02; 
5;5.00516305808007633e+00; 2.34408928043455950e-02; 5.00516305808007633e+00; 2.34408928043455950e-02; 5.00516305772907177e+00; 2.34408930738347621e-02; 5.00516305772907177e+00; 2.34408930738347621e-02; 
6;6.00943830988597583e+00; 3.49344465357400158e-02; 6.00943830988597583e+00; 3.49344465357400158e-02; 6.00943830849758331e+00; 3.49344470204758506e-02; 6.00943830849758331e+00; 3.49344470204758506e-02; 
7;7.00732130386653118e+00; 4.72216421552560800e-02; 7.00732130386653118e+00; 4.72216421552560800e-02; 7.00732130201165671e+00; 4.72216420092196262e-02; 7.00732130201165671e+00; 4.72216420092196262e-02; 
8;8.00833157023995135e+00; 6.35628614511843937e-02; 8.00833157023995135e+00; 6.35628614511843937e-02; 8.00833156834831783e+00; 6.35628615886806858e-02; 8.00833156834831783e+00; 6.35628615886806858e-02; 
9;9.01033332111564000e+00; 8.15695960968162576e-02; 9.01033332111564000e+00; 8.15695960968162576e-02; 9.01033331912729274e+00; 8.15695964831935488e-02; 9.01033331912729274e+00; 8.15695964831935488e-02; 
10;1.00159358009860746e+01; 1.02431469871472655e-01; 1.00159358009860746e+01; 1.02431469871472655e-01; 1.00159358001512118e+01; 1.02431470219561810e-01; 1.00159358001512118e+01; 1.02431470219561810e-01; 
11;1.10185936690899648e+01; 1.20749088869028229e-01; 1.10185936690899648e+01; 1.20749088869028229e-01; 1.10185936675226763e+01; 1.20749090001810527e-01; 1.10185936675226763e+01; 1.20749090001810527e-01; 
12;1.20175915160815610e+01; 1.40008560881292599e-01; 1.20175915160815610e+01; 1.40008560881292599e-01; 1.20175915145183687e+01; 1.40008563121454765e-01; 1.20175915145183687e+01; 1.40008563121454765e-01; 
13;1.30148148418266274e+01; 1.65316964013958095e-01; 1.30148148418266274e+01; 1.65316964013958095e-01; 1.30148148411044229e+01; 1.65316965714484454e-01; 1.30148148411044229e+01; 1.65316965714484454e-01; 
14;1.40165199808324097e+01; 1.93674954919126202e-01; 1.40165199808324097e+01; 1.93674954919126202e-01; 1.40165199809424514e+01; 1.93674956706716694e-01; 1.40165199809424514e+01; 1.93674956706716694e-01; 
15;1.50229187956679127e+01; 2.28489858000173740e-01; 1.50229187956679127e+01; 2.28489858000173740e-01; 1.50229187935362454e+01; 2.28489861463424149e-01; 1.50229187935362454e+01; 2.28489861463424149e-01; 
16;1.60235284152320538e+01; 2.62016388403544964e-01; 1.60235284152320538e+01; 2.62016388403544964e-01; 1.60235284115523200e+01; 2.62016392763318340e-01; 1.60235284115523200e+01; 2.62016392763318340e-01; 
17;1.70204420743987122e+01; 2.97890814017296002e-01; 1.70204420743987122e+01; 2.97890814017296002e-01; 1.70204420691792997e+01; 2.97890816076354759e-01; 1.70204420691792997e+01; 2.97890816076354759e-01; 
18;1.80244266084146005e+01; 3.24670540890277859e-01; 1.80244266084146005e+01; 3.24670540890277859e-01; 1.80244266025219027e+01; 3.24670542527988049e-01; 1.80244266025219027e+01; 3.24670542527988049e-01; 
19;1.90254026775344549e+01; 3.50581726832377483e-01; 1.90254026775344549e+01; 3.50581726832377483e-01; 1.90254026733971315e+01; 3.50581730256758262e-01; 1.90254026733971315e+01; 3.50581730256758262e-01; 
20;2.00264333880850707e+01; 4.03594910101718884e-01; 2.00264333880850707e+01; 4.03594910101718884e-01; 2.00264333839357427e+01; 4.03594915323802761e-01; 2.00264333839357427e+01; 4.03594915323802761e-01; 
21;2.10412382104947575e+01; 4.40501010013781336e-01; 2.10412382104947575e+01; 4.40501010013781336e-01; 2.10412382039253636e+01; 4.40501016099162590e-01; 2.10412382039253636e+01; 4.40501016099162590e-01; 
22;2.20444921154222797e+01; 4.93083569598384508e-01; 2.20444921154222797e+01; 4.93083569598384508e-01; 2.20444921093856756e+01; 4.93083575599736978e-01; 2.20444921093856756e+01; 4.93083575599736978e-01; 
