name=SetSketch1;numRegisters=16384;q=62;base=2.00000000000000000e+00;a=3.00000000000000000e+01;seed=559075ffabc64341;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;2.40449173481493937e-02; 5.78158050279339668e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 2.31049060186651577e-02; 5.33836682131348141e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.00011487752737160e+00; 5.98111183787586800e-05; 1.00011487752737160e+00; 5.98111183787586800e-05; 1.00013631860584851e+00; 5.99474991757560150e-05; 1.00013631860584851e+00; 5.99474991757560150e-05; 
2;2.00010024487333915e+00; 2.63442541623099035e-04; 2.00010024487333915e+00; 2.63442541623099035e-04; 2.00014119437518501e+00; 2.61831191614297475e-04; 2.00014119437518501e+00; 2.61831191614297475e-04; 
3;3.00045522295696365e+00; 6.23687790831893942e-04; 3.00045522295696365e+00; 6.23687790831893942e-04; 3.00039241968017079e+00; 6.20858981177772992e-04; 3.00039241968017079e+00; 6.20858981177772992e-04; 
4;4.00224824669504553e+00; 1.10471184324091370e-03; 4.00224824669504553e+00; 1.10471184324091370e-03; 4.00215143220643910e+00; 1.09913840179511318e-03; 4.00215143220643910e+00; 1.09913840179511318e-03; 
5;5.00275206253811966e+00; 1.69453732348944799e-03; 5.00275206253811966e+00; 1.69453732348944799e-03; 5.00257004835884267e+00; 1.68236657313828968e-03; 5.00257004835884267e+00; 1.68236657313828968e-03; 
6;6.00194064004904515e+00; 2.48808501282666563e-03; 6.00194064004904515e+00; 2.48808501282666563e-03; 6.00173793357726026e+00; 2.45856474361599853e-03; 6.00173793357726026e+00; 2.45856474361599853e-03; 
7;7.00256360116603993e+00; 3.28766656307083330e-03; 7.00256360116603993e+00; 3.28766656307083330e-03; 7.00246113603539388e+00; 3.27210052436718943e-03; 7.00246113603539388e+00; 3.27210052436718943e-03; 
8;8.00234341491284518e+00; 4.43679270526445464e-03; 8.00234341491284518e+00; 4.43679270526445464e-03; 8.00244979760588571e+00; 4.41635442651620250e-03; 8.00244979760588571e+00; 4.41635442651620250e-03; 
9;9.00190572995026805e+00; 5.49979049534169567e-03; 9.00190572995026805e+00; 5.49979049534169567e-03; 9.00206464786750793e+00; 5.48721937767643851e-03; 9.00206464786750793e+00; 5.48721937767643851e-03; 
10;1.00015599120681191e+01; 6.69174837581644130e-03; 1.00015599120681191e+01; 6.69174837581644130e-03; 1.00015869271216964e+01; 6.68881919820980830e-03; 1.00015869271216964e+01; 6.68881919820980830e-03; 
11;1.10012468306167861e+01; 8.24646106362730488e-03; 1.10012468306167861e+01; 8.24646106362730488e-03; 1.10012988423521882e+01; 8.19805423626563702e-03; 1.10012988423521882e+01; 8.19805423626563702e-03; 
12;1.19989436660021269e+01; 9.67188952527909922e-03; 1.19989436660021269e+01; 9.67188952527909922e-03; 1.19991787463329445e+01; 9.59172482416418941e-03; 1.19991787463329445e+01; 9.59172482416418941e-03; 
13;1.29994615579348043e+01; 1.11014771304968514e-02; 1.29994615579348043e+01; 1.11014771304968514e-02; 1.29996469729448592e+01; 1.10646055490963707e-02; 1.29996469729448592e+01; 1.10646055490963707e-02; 
14;1.40005839736112261e+01; 1.26053280550936422e-02; 1.40005839736112261e+01; 1.26053280550936422e-02; 1.40005491609668464e+01; 1.26068223591584566e-02; 1.40005491609668464e+01; 1.26068223591584566e-02; 
15;1.49984589678073466e+01; 1.43122541807527183e-02; 1.49984589678073466e+01; 1.43122541807527183e-02; 1.49984719736124479e+01; 1.43334701993903194e-02; 1.49984719736124479e+01; 1.43334701993903194e-02; 
