name=SetSketch1;numRegisters=16384;q=65534;base=1.00099999999999989e+00;a=3.00000000000000000e+01;seed=9cc92d7fa9393899;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;3.33166805430666763e-02; 1.11000120240878396e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 3.33166777701448397e-02; 1.11000101763961937e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;9.99796860829562872e-01; 6.30517799718958706e-05; 9.99796860829562872e-01; 6.30517799718958706e-05; 9.99796860882146254e-01; 6.30517792845722595e-05; 9.99796860882146254e-01; 6.30517792845722595e-05; 
2;1.99954820830409097e+00; 2.58009099753260789e-04; 1.99954820830409097e+00; 2.58009099753260789e-04; 1.99954820821917778e+00; 2.58009101885013734e-04; 1.99954820821917778e+00; 2.58009101885013734e-04; 
3;2.99938006095714327e+00; 5.83097113628544702e-04; 2.99938006095714327e+00; 5.83097113628544702e-04; 2.99938006091889342e+00; 5.83097114475780070e-04; 2.99938006091889342e+00; 5.83097114475780070e-04; 
4;3.99962937741154567e+00; 1.09431108631484735e-03; 3.99962937741154567e+00; 1.09431108631484735e-03; 3.99962937739904500e+00; 1.09431108891169804e-03; 3.99962937739904500e+00; 1.09431108891169804e-03; 
5;4.99891174005154681e+00; 1.58025546340371343e-03; 4.99891174005154681e+00; 1.58025546340371343e-03; 4.99891174009094197e+00; 1.58025544895136244e-03; 4.99891174009094197e+00; 1.58025544895136244e-03; 
6;5.99835070002981396e+00; 2.28479525790244381e-03; 5.99835070002981396e+00; 2.28479525790244381e-03; 5.99835069997039838e+00; 2.28479521614863637e-03; 5.99835069997039838e+00; 2.28479521614863637e-03; 
7;6.99842950121834928e+00; 2.92400046465992507e-03; 6.99842950121834928e+00; 2.92400046465992507e-03; 6.99842950142296694e+00; 2.92400043070498595e-03; 6.99842950142296694e+00; 2.92400043070498595e-03; 
8;7.99780629462979942e+00; 3.73589810164607966e-03; 7.99780629462979942e+00; 3.73589810164607966e-03; 7.99780629468419058e+00; 3.73589807510698365e-03; 7.99780629468419058e+00; 3.73589807510698365e-03; 
9;8.99762004486339961e+00; 4.75801719854320078e-03; 8.99762004486339961e+00; 4.75801719854320078e-03; 8.99762004510968261e+00; 4.75801725761127066e-03; 8.99762004510968261e+00; 4.75801725761127066e-03; 
10;9.99797968018152083e+00; 5.82658591265508563e-03; 9.99797968018152083e+00; 5.82658591265508563e-03; 9.99797968020304850e+00; 5.82658597013808229e-03; 9.99797968020304850e+00; 5.82658597013808229e-03; 
11;1.09969690293128348e+01; 7.12022516453970911e-03; 1.09969690293128348e+01; 7.12022516453970911e-03; 1.09969690294815390e+01; 7.12022518281850599e-03; 1.09969690294815390e+01; 7.12022518281850599e-03; 
12;1.19965886916802127e+01; 7.83945932766633158e-03; 1.19965886916802127e+01; 7.83945932766633158e-03; 1.19965886918952815e+01; 7.83945940980822382e-03; 1.19965886918952815e+01; 7.83945940980822382e-03; 
13;1.29963358603841108e+01; 9.47829305423081303e-03; 1.29963358603841108e+01; 9.47829305423081303e-03; 1.29963358604914312e+01; 9.47829313364026253e-03; 1.29963358604914312e+01; 9.47829313364026253e-03; 
14;1.39962813238886117e+01; 1.13959127800691180e-02; 1.39962813238886117e+01; 1.13959127800691180e-02; 1.39962813238961115e+01; 1.13959128261043995e-02; 1.39962813238961115e+01; 1.13959128261043995e-02; 
15;1.49953144087998709e+01; 1.30490643444963628e-02; 1.49953144087998709e+01; 1.30490643444963628e-02; 1.49953144089594463e+01; 1.30490644427885133e-02; 1.49953144089594463e+01; 1.30490644427885133e-02; 
16;1.59957557458744901e+01; 1.46397622063203503e-02; 1.59957557458744901e+01; 1.46397622063203503e-02; 1.59957557461693565e+01; 1.46397624712565014e-02; 1.59957557461693565e+01; 1.46397624712565014e-02; 
17;1.69979288698472253e+01; 1.64005895855107511e-02; 1.69979288698472253e+01; 1.64005895855107511e-02; 1.69979288699568372e+01; 1.64005899756415954e-02; 1.69979288699568372e+01; 1.64005899756415954e-02; 
18;1.79991524284672622e+01; 1.85764505950642873e-02; 1.79991524284672622e+01; 1.85764505950642873e-02; 1.79991524286695359e+01; 1.85764509274666950e-02; 1.79991524286695359e+01; 1.85764509274666950e-02; 
19;1.89971688200790325e+01; 2.07744716043281978e-02; 1.89971688200790325e+01; 2.07744716043281978e-02; 1.89971688208317637e+01; 2.07744719591479998e-02; 1.89971688208317637e+01; 2.07744719591479998e-02; 
20;1.99954305106094630e+01; 2.33092167221753202e-02; 1.99954305106094630e+01; 2.33092167221753202e-02; 1.99954305111998352e+01; 2.33092170209226214e-02; 1.99954305111998352e+01; 2.33092170209226214e-02; 
21;2.09971129347843295e+01; 2.56251920499797302e-02; 2.09971129347843295e+01; 2.56251920499797302e-02; 2.09971129352244894e+01; 2.56251924476048366e-02; 2.09971129352244894e+01; 2.56251924476048366e-02; 
22;2.19995981880143461e+01; 2.75264703724558482e-02; 2.19995981880143461e+01; 2.75264703724558482e-02; 2.19995981883238017e+01; 2.75264708730369421e-02; 2.19995981883238017e+01; 2.75264708730369421e-02; 
23;2.29985568031513843e+01; 3.08249234666744740e-02; 2.29985568031513843e+01; 3.08249234666744740e-02; 2.29985568032118302e+01; 3.08249240770494537e-02; 2.29985568032118302e+01; 3.08249240770494537e-02; 
24;2.40005140315748875e+01; 3.33070733813901065e-02; 2.40005140315748875e+01; 3.33070733813901065e-02; 2.40005140319248582e+01; 3.33070739937340390e-02; 2.40005140319248582e+01; 3.33070739937340390e-02; 
25;2.50024552954144390e+01; 3.58893872016188969e-02; 2.50024552954144390e+01; 3.58893872016188969e-02; 2.50024552952337480e+01; 3.58893880393951342e-02; 2.50024552952337480e+01; 3.58893880393951342e-02; 
26;2.59989440735005282e+01; 3.86131503963340686e-02; 2.59989440735005282e+01; 3.86131503963340686e-02; 2.59989440738658608e+01; 3.86131511316344447e-02; 2.59989440738658608e+01; 3.86131511316344447e-02; 
27;2.69975286834888983e+01; 4.23590655352101622e-02; 2.69975286834888983e+01; 4.23590655352101622e-02; 2.69975286844238660e+01; 4.23590663806606288e-02; 2.69975286844238660e+01; 4.23590663806606288e-02; 
28;2.79986679709783459e+01; 4.58958378196936898e-02; 2.79986679709783459e+01; 4.58958378196936898e-02; 2.79986679720894678e+01; 4.58958383754165603e-02; 2.79986679720894678e+01; 4.58958383754165603e-02; 
29;2.89948365290415531e+01; 4.86559210415807297e-02; 2.89948365290415531e+01; 4.86559210415807297e-02; 2.89948365304373148e+01; 4.86559214248295721e-02; 2.89948365304373148e+01; 4.86559214248295721e-02; 
30;2.99960128769362022e+01; 5.30621956442385093e-02; 2.99960128769362022e+01; 5.30621956442385093e-02; 2.99960128774161454e+01; 5.30621961313845550e-02; 2.99960128774161454e+01; 5.30621961313845550e-02; 
