name=SetSketch1;numRegisters=256;q=62;base=2.00000000000000000e+00;a=3.00000000000000000e+01;seed=1b297f07fc96869e;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;2.40449173481493937e-02; 5.78158050279339668e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 2.31049060186651577e-02; 5.33836682131348141e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.00373717595740586e+00; 4.03268597804086037e-03; 1.00373717595740586e+00; 4.03268597804086037e-03; 1.00335911182097592e+00; 3.99411785457020989e-03; 1.00335911182097592e+00; 3.99411785457020989e-03; 
2;2.00972359609787743e+00; 1.74944543315898246e-02; 2.00972359609787743e+00; 1.74944543315898246e-02; 2.00908127052833585e+00; 1.74474136806582886e-02; 2.00908127052833585e+00; 1.74474136806582886e-02; 
3;3.01873551178296395e+00; 4.05060058241257168e-02; 3.01873551178296395e+00; 4.05060058241257168e-02; 3.01747463951505512e+00; 4.05740263439935619e-02; 3.01747463951505512e+00; 4.05740263439935619e-02; 
4;4.01854555115014733e+00; 7.32405436935688048e-02; 4.01854555115014733e+00; 7.32405436935688048e-02; 4.01706576569285456e+00; 7.26453315243194425e-02; 4.01706576569285456e+00; 7.26453315243194425e-02; 
5;5.01325414494435861e+00; 1.11229667457975023e-01; 5.01325414494435861e+00; 1.11229667457975023e-01; 5.01235020909690565e+00; 1.10059233457304576e-01; 5.01235020909690565e+00; 1.10059233457304576e-01; 
6;6.02228550944538910e+00; 1.70170282851287463e-01; 6.02228550944538910e+00; 1.70170282851287463e-01; 6.02073113630070189e+00; 1.68699392475341409e-01; 6.02073113630070189e+00; 1.68699392475341409e-01; 
7;7.02081828499033378e+00; 2.15834591612671101e-01; 7.02081828499033378e+00; 2.15834591612671101e-01; 7.01846895097150902e+00; 2.14218191977763595e-01; 7.01846895097150902e+00; 2.14218191977763595e-01; 
8;8.03874109176201657e+00; 2.81742974265762391e-01; 8.03874109176201657e+00; 2.81742974265762391e-01; 8.03602569196621275e+00; 2.80054296645451672e-01; 8.03602569196621275e+00; 2.80054296645451672e-01; 
9;9.03688244151529929e+00; 3.53496052271322192e-01; 9.03688244151529929e+00; 3.53496052271322192e-01; 9.03369231320693622e+00; 3.51165430022675862e-01; 9.03369231320693622e+00; 3.51165430022675862e-01; 
