name=SetSketch1;numRegisters=256;q=65534;base=1.00099999999999989e+00;a=3.00000000000000000e+01;seed=c6af5f872e8bb2bc;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;3.33166805430666763e-02; 1.11000120240878396e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 3.33166777701448397e-02; 1.11000101763961937e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.00415982606650944e+00; 3.97184909616517343e-03; 1.00415982606650944e+00; 3.97184909616517343e-03; 1.00415982539704296e+00; 3.97184910996938815e-03; 1.00415982539704296e+00; 3.97184910996938815e-03; 
2;2.00474797657515635e+00; 1.58109354894571154e-02; 2.00474797657515635e+00; 1.58109354894571154e-02; 2.00474797524972104e+00; 1.58109353246770092e-02; 2.00474797524972104e+00; 1.58109353246770092e-02; 
3;2.99402760800341916e+00; 3.59303531675634752e-02; 2.99402760800341916e+00; 3.59303531675634752e-02; 2.99402760573173721e+00; 3.59303527298332273e-02; 2.99402760573173721e+00; 3.59303527298332273e-02; 
4;3.99460253638048979e+00; 6.56884541640989916e-02; 3.99460253638048979e+00; 6.56884541640989916e-02; 3.99460253600637172e+00; 6.56884535685350879e-02; 3.99460253600637172e+00; 6.56884535685350879e-02; 
5;4.99802081857199365e+00; 1.03825644291573413e-01; 4.99802081857199365e+00; 1.03825644291573413e-01; 4.99802081650600449e+00; 1.03825642269113907e-01; 4.99802081650600449e+00; 1.03825642269113907e-01; 
6;5.99511503754419905e+00; 1.53733146461268844e-01; 5.99511503754419905e+00; 1.53733146461268844e-01; 5.99511503415876046e+00; 1.53733144629193047e-01; 5.99511503415876046e+00; 1.53733144629193047e-01; 
7;6.99375229254417885e+00; 2.08919742823766852e-01; 6.99375229254417885e+00; 2.08919742823766852e-01; 6.99375228731471221e+00; 2.08919742015632959e-01; 6.99375228731471221e+00; 2.08919742015632959e-01; 
8;8.00224398666221326e+00; 2.72176799486468723e-01; 8.00224398666221326e+00; 2.72176799486468723e-01; 8.00224398029366313e+00; 2.72176800629075011e-01; 8.00224398029366313e+00; 2.72176800629075011e-01; 
9;9.00757128883221903e+00; 3.30460929036537843e-01; 9.00757128883221903e+00; 3.30460929036537843e-01; 9.00757128290474007e+00; 3.30460932041303224e-01; 9.00757128290474007e+00; 3.30460932041303224e-01; 
10;1.00119416840743849e+01; 4.02028447040526982e-01; 1.00119416840743849e+01; 4.02028447040526982e-01; 1.00119416778404968e+01; 4.02028456392370726e-01; 1.00119416778404968e+01; 4.02028456392370726e-01; 
11;1.10013843798204540e+01; 4.96339403600856877e-01; 1.10013843798204540e+01; 4.96339403600856877e-01; 1.10013843748472695e+01; 4.96339413473589397e-01; 1.10013843748472695e+01; 4.96339413473589397e-01; 
12;1.20154072350352426e+01; 6.00899478839239998e-01; 1.20154072350352426e+01; 6.00899478839239998e-01; 1.20154072270901064e+01; 6.00899493392087924e-01; 1.20154072270901064e+01; 6.00899493392087924e-01; 
13;1.30310287037102501e+01; 7.46424739674657611e-01; 1.30310287037102501e+01; 7.46424739674657611e-01; 1.30310286939058351e+01; 7.46424757939532335e-01; 1.30310286939058351e+01; 7.46424757939532335e-01; 
14;1.40409676143911977e+01; 8.72795561332352809e-01; 1.40409676143911977e+01; 8.72795561332352809e-01; 1.40409676022677665e+01; 8.72795578420616835e-01; 1.40409676022677665e+01; 8.72795578420616835e-01; 
15;1.50509222090280712e+01; 1.01988953075244382e+00; 1.50509222090280712e+01; 1.01988953075244382e+00; 1.50509221957387034e+01; 1.01988955461401809e+00; 1.50509221957387034e+01; 1.01988955461401809e+00; 
16;1.60632254981423124e+01; 1.17643652293638201e+00; 1.60632254981423124e+01; 1.17643652293638201e+00; 1.60632254808370583e+01; 1.17643653838765050e+00; 1.60632254808370583e+01; 1.17643653838765050e+00; 
17;1.70536593142117034e+01; 1.28051834052550606e+00; 1.70536593142117034e+01; 1.28051834052550606e+00; 1.70536593003661139e+01; 1.28051836318355883e+00; 1.70536593003661139e+01; 1.28051836318355883e+00; 
