name=SetSketch1;numRegisters=4096;q=62;base=2.00000000000000000e+00;a=3.00000000000000000e+01;seed=ddcd924a08baac8c;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;2.40449173481493937e-02; 5.78158050279339668e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 2.31049060186651577e-02; 5.33836682131348141e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.00048649760036912e+00; 2.67553263814921587e-04; 1.00048649760036912e+00; 2.67553263814921587e-04; 1.00042467348203856e+00; 2.65976504900843752e-04; 1.00042467348203856e+00; 2.65976504900843752e-04; 
2;2.00040704966791383e+00; 1.07789021103345327e-03; 2.00040704966791383e+00; 1.07789021103345327e-03; 2.00032128087853334e+00; 1.07009173502284143e-03; 2.00032128087853334e+00; 1.07009173502284143e-03; 
3;2.99898757564531326e+00; 2.27564344893872597e-03; 2.99898757564531326e+00; 2.27564344893872597e-03; 2.99898492817705309e+00; 2.26320189817396994e-03; 2.99898492817705309e+00; 2.26320189817396994e-03; 
4;3.99892159285351267e+00; 4.10460648351169532e-03; 3.99892159285351267e+00; 4.10460648351169532e-03; 3.99906548287877905e+00; 4.06311957473401691e-03; 3.99906548287877905e+00; 4.06311957473401691e-03; 
5;5.00064588032092949e+00; 6.75505638789042004e-03; 5.00064588032092949e+00; 6.75505638789042004e-03; 5.00084337849151783e+00; 6.67705950624833487e-03; 5.00084337849151783e+00; 6.67705950624833487e-03; 
6;6.00107655580984822e+00; 9.28397019905534415e-03; 6.00107655580984822e+00; 9.28397019905534415e-03; 6.00141011754957265e+00; 9.17441445509528664e-03; 6.00141011754957265e+00; 9.17441445509528664e-03; 
7;7.00336610445989294e+00; 1.24606881923195953e-02; 7.00336610445989294e+00; 1.24606881923195953e-02; 7.00349867726149533e+00; 1.24276648372053100e-02; 7.00349867726149533e+00; 1.24276648372053100e-02; 
8;8.00090350745329104e+00; 1.63576307681376591e-02; 8.00090350745329104e+00; 1.63576307681376591e-02; 8.00116181134332294e+00; 1.62301067871467274e-02; 8.00116181134332294e+00; 1.62301067871467274e-02; 
9;9.00190998735948433e+00; 2.02346345098396545e-02; 9.00190998735948433e+00; 2.02346345098396545e-02; 9.00202555489606659e+00; 2.00784868810822727e-02; 9.00202555489606659e+00; 2.00784868810822727e-02; 
10;9.99822951831515105e+00; 2.54222399437614988e-02; 9.99822951831515105e+00; 2.54222399437614988e-02; 9.99821137061531928e+00; 2.53123563190292694e-02; 9.99821137061531928e+00; 2.53123563190292694e-02; 
11;1.09963287279173230e+01; 3.14902500578548572e-02; 1.09963287279173230e+01; 3.14902500578548572e-02; 1.09966058228452290e+01; 3.13355821125236994e-02; 1.09966058228452290e+01; 3.13355821125236994e-02; 
12;1.19987615899019886e+01; 3.98706704301611398e-02; 1.19987615899019886e+01; 3.98706704301611398e-02; 1.19989013229387567e+01; 3.95956348919445089e-02; 1.19989013229387567e+01; 3.95956348919445089e-02; 
13;1.30009230121382249e+01; 4.69210323352185904e-02; 1.30009230121382249e+01; 4.69210323352185904e-02; 1.30012213426198961e+01; 4.63876078326839192e-02; 1.30012213426198961e+01; 4.63876078326839192e-02; 
14;1.40015431306472031e+01; 5.41122064357091176e-02; 1.40015431306472031e+01; 5.41122064357091176e-02; 1.40021063824797132e+01; 5.37062888480741088e-02; 1.40021063824797132e+01; 5.37062888480741088e-02; 
15;1.50028017720297591e+01; 6.21307662634270064e-02; 1.50028017720297591e+01; 6.21307662634270064e-02; 1.50036557358237204e+01; 6.16631595866071261e-02; 1.50036557358237204e+01; 6.16631595866071261e-02; 
16;1.60044599818062636e+01; 7.08223875136888698e-02; 1.60044599818062636e+01; 7.08223875136888698e-02; 1.60054077768373126e+01; 7.00768671105829188e-02; 1.60054077768373126e+01; 7.00768671105829188e-02; 
17;1.70081515544351554e+01; 8.05410899087341675e-02; 1.70081515544351554e+01; 8.05410899087341675e-02; 1.70085513880235375e+01; 7.98399111728413657e-02; 1.70085513880235375e+01; 7.98399111728413657e-02; 
18;1.80065265102887722e+01; 8.82629496649040973e-02; 1.80065265102887722e+01; 8.82629496649040973e-02; 1.80067687900043758e+01; 8.76626813380932679e-02; 1.80067687900043758e+01; 8.76626813380932679e-02; 
19;1.90036617564590031e+01; 9.87112679260331305e-02; 1.90036617564590031e+01; 9.87112679260331305e-02; 1.90038652905769148e+01; 9.79607777733698393e-02; 1.90038652905769148e+01; 9.79607777733698393e-02; 
20;2.00006127503341453e+01; 1.07327934756289892e-01; 2.00006127503341453e+01; 1.07327934756289892e-01; 2.00009118334534364e+01; 1.06664311191372707e-01; 2.00009118334534364e+01; 1.06664311191372707e-01; 
21;2.10020735326235872e+01; 1.13663880774014320e-01; 2.10020735326235872e+01; 1.13663880774014320e-01; 2.10021683356345967e+01; 1.12887501019752118e-01; 2.10021683356345967e+01; 1.12887501019752118e-01; 
22;2.20030239335936351e+01; 1.22321439811747507e-01; 2.20030239335936351e+01; 1.22321439811747507e-01; 2.20030363127195443e+01; 1.21517881258937838e-01; 2.20030363127195443e+01; 1.21517881258937838e-01; 
23;2.30021580605566491e+01; 1.32424548180416574e-01; 2.30021580605566491e+01; 1.32424548180416574e-01; 2.30019395774117932e+01; 1.32123158249206452e-01; 2.30019395774117932e+01; 1.32123158249206452e-01; 
24;2.40079017131782173e+01; 1.44254489641313044e-01; 2.40079017131782173e+01; 1.44254489641313044e-01; 2.40076407753270225e+01; 1.43789590484198593e-01; 2.40076407753270225e+01; 1.43789590484198593e-01; 
25;2.50069110855703904e+01; 1.57590235845488924e-01; 2.50069110855703904e+01; 1.57590235845488924e-01; 2.50069373464367288e+01; 1.57169383185969014e-01; 2.50069373464367288e+01; 1.57169383185969014e-01; 
26;2.60049459214927623e+01; 1.72651757549250801e-01; 2.60049459214927623e+01; 1.72651757549250801e-01; 2.60049397721431532e+01; 1.72122178966194722e-01; 2.60049397721431532e+01; 1.72122178966194722e-01; 
27;2.70061373040947643e+01; 1.81624008438805495e-01; 2.70061373040947643e+01; 1.81624008438805495e-01; 2.70057961976169203e+01; 1.81097652362864042e-01; 2.70057961976169203e+01; 1.81097652362864042e-01; 
28;2.80075243844248192e+01; 1.99098173586186283e-01; 2.80075243844248192e+01; 1.99098173586186283e-01; 2.80074648416320535e+01; 1.98428293929816785e-01; 2.80074648416320535e+01; 1.98428293929816785e-01; 
29;2.90114312951063340e+01; 2.11729467885423045e-01; 2.90114312951063340e+01; 2.11729467885423045e-01; 2.90106172326036109e+01; 2.10234276883522531e-01; 2.90106172326036109e+01; 2.10234276883522531e-01; 
