name=SetSketch1;numRegisters=4096;q=65534;base=1.00099999999999989e+00;a=3.00000000000000000e+01;seed=2cc151ec0c9f1e7c;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;3.33166805430666763e-02; 1.11000120240878396e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 3.33166777701448397e-02; 1.11000101763961937e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;9.99919001159990883e-01; 2.23718208957219151e-04; 9.99919001159990883e-01; 2.23718208957219151e-04; 9.99919001029123122e-01; 2.23718206242540788e-04; 9.99919001029123122e-01; 2.23718206242540788e-04; 
2;2.00106650742299808e+00; 1.02966306650556765e-03; 2.00106650742299808e+00; 1.02966306650556765e-03; 2.00106650732424285e+00; 1.02966305420058033e-03; 2.00106650732424285e+00; 1.02966305420058033e-03; 
3;3.00035254720554656e+00; 2.16061250478707641e-03; 3.00035254720554656e+00; 2.16061250478707641e-03; 3.00035254715493593e+00; 2.16061250756680598e-03; 3.00035254715493593e+00; 2.16061250756680598e-03; 
4;4.00015667635289596e+00; 3.83255310760749306e-03; 4.00015667635289596e+00; 3.83255310760749306e-03; 4.00015667644123418e+00; 3.83255310511141549e-03; 4.00015667644123418e+00; 3.83255310511141549e-03; 
5;5.00022143737290037e+00; 6.10814374379207992e-03; 5.00022143737290037e+00; 6.10814374379207992e-03; 5.00022143729580559e+00; 6.10814377364326741e-03; 5.00022143729580559e+00; 6.10814377364326741e-03; 
6;6.00087563018822667e+00; 8.87603156317572084e-03; 6.00087563018822667e+00; 8.87603156317572084e-03; 6.00087563008787050e+00; 8.87603160475817880e-03; 6.00087563008787050e+00; 8.87603160475817880e-03; 
7;7.00139077349106564e+00; 1.24766485205482659e-02; 7.00139077349106564e+00; 1.24766485205482659e-02; 7.00139077298973778e+00; 1.24766484140943542e-02; 7.00139077298973778e+00; 1.24766484140943542e-02; 
8;8.00330013777263360e+00; 1.61186349402706007e-02; 8.00330013777263360e+00; 1.61186349402706007e-02; 8.00330013747495173e+00; 1.61186349046603429e-02; 8.00330013747495173e+00; 1.61186349046603429e-02; 
9;9.00353670813032103e+00; 2.06618020925330333e-02; 9.00353670813032103e+00; 2.06618020925330333e-02; 9.00353670664319417e+00; 2.06618017339865213e-02; 9.00353670664319417e+00; 2.06618017339865213e-02; 
10;1.00024948675553240e+01; 2.50594082014103589e-02; 1.00024948675553240e+01; 2.50594082014103589e-02; 1.00024948657249233e+01; 2.50594077453146630e-02; 1.00024948657249233e+01; 2.50594077453146630e-02; 
11;1.10031309925649179e+01; 3.02545420420422713e-02; 1.10031309925649179e+01; 3.02545420420422713e-02; 1.10031309909342827e+01; 3.02545414489161640e-02; 1.10031309909342827e+01; 3.02545414489161640e-02; 
12;1.19998801659809793e+01; 3.71225182854380137e-02; 1.19998801659809793e+01; 3.71225182854380137e-02; 1.19998801656196576e+01; 3.71225174246604187e-02; 1.19998801656196576e+01; 3.71225174246604187e-02; 
13;1.30031349415088489e+01; 4.17952440833152528e-02; 1.30031349415088489e+01; 4.17952440833152528e-02; 1.30031349412509680e+01; 4.17952432429266607e-02; 1.30031349412509680e+01; 4.17952432429266607e-02; 
14;1.40016953574001501e+01; 4.85462303052484195e-02; 1.40016953574001501e+01; 4.85462303052484195e-02; 1.40016953573245093e+01; 4.85462290791508003e-02; 1.40016953573245093e+01; 4.85462290791508003e-02; 
15;1.50005697894294681e+01; 5.33575354421563855e-02; 1.50005697894294681e+01; 5.33575354421563855e-02; 1.50005697903412116e+01; 5.33575346369755746e-02; 1.50005697903412116e+01; 5.33575346369755746e-02; 
16;1.60024231930310812e+01; 6.01571519126575180e-02; 1.60024231930310812e+01; 6.01571519126575180e-02; 1.60024231932990908e+01; 6.01571514773686852e-02; 1.60024231932990908e+01; 6.01571514773686852e-02; 
17;1.70013243788889383e+01; 6.86750384041352885e-02; 1.70013243788889383e+01; 6.86750384041352885e-02; 1.70013243793767543e+01; 6.86750379620589824e-02; 1.70013243793767543e+01; 6.86750379620589824e-02; 
18;1.80001955092706183e+01; 7.78535196911686461e-02; 1.80001955092706183e+01; 7.78535196911686461e-02; 1.80001955107255398e+01; 7.78535196443411043e-02; 1.80001955107255398e+01; 7.78535196443411043e-02; 
19;1.90020688190467339e+01; 8.58501116323340530e-02; 1.90020688190467339e+01; 8.58501116323340530e-02; 1.90020688205457411e+01; 8.58501122738937889e-02; 1.90020688205457411e+01; 8.58501122738937889e-02; 
20;2.00026413453300869e+01; 9.54788684149840000e-02; 2.00026413453300869e+01; 9.54788684149840000e-02; 2.00026413460031591e+01; 9.54788690863616757e-02; 2.00026413460031591e+01; 9.54788690863616757e-02; 
21;2.10027141716319825e+01; 1.04428211673111948e-01; 2.10027141716319825e+01; 1.04428211673111948e-01; 2.10027141718466126e+01; 1.04428212540044169e-01; 2.10027141718466126e+01; 1.04428212540044169e-01; 
22;2.20018822569430910e+01; 1.11768327222901795e-01; 2.20018822569430910e+01; 1.11768327222901795e-01; 2.20018822574627073e+01; 1.11768328689122023e-01; 2.20018822574627073e+01; 1.11768328689122023e-01; 
23;2.30019674863955643e+01; 1.22663055113937589e-01; 2.30019674863955643e+01; 1.22663055113937589e-01; 2.30019674863852899e+01; 1.22663056634393502e-01; 2.30019674863852899e+01; 1.22663056634393502e-01; 
24;2.39979145104974769e+01; 1.38991095252463004e-01; 2.39979145104974769e+01; 1.38991095252463004e-01; 2.39979145099826070e+01; 1.38991096523580437e-01; 2.39979145099826070e+01; 1.38991096523580437e-01; 
25;2.49952013902171863e+01; 1.53241243797528293e-01; 2.49952013902171863e+01; 1.53241243797528293e-01; 2.49952013905075461e+01; 1.53241244849848440e-01; 2.49952013905075461e+01; 1.53241244849848440e-01; 
26;2.59974340691863652e+01; 1.61957572299284175e-01; 2.59974340691863652e+01; 1.61957572299284175e-01; 2.59974340702276940e+01; 1.61957573804750676e-01; 2.59974340702276940e+01; 1.61957573804750676e-01; 
27;2.69986895059792857e+01; 1.76599632430729070e-01; 2.69986895059792857e+01; 1.76599632430729070e-01; 2.69986895077939693e+01; 1.76599633665036504e-01; 2.69986895077939693e+01; 1.76599633665036504e-01; 
28;2.79974025108488931e+01; 1.91250938561190353e-01; 2.79974025108488931e+01; 1.91250938561190353e-01; 2.79974025125189101e+01; 1.91250938963078321e-01; 2.79974025125189101e+01; 1.91250938963078321e-01; 
29;2.89938390715126282e+01; 2.11962485556660613e-01; 2.89938390715126282e+01; 2.11962485556660613e-01; 2.89938390731801867e+01; 2.11962485296081610e-01; 2.89938390731801867e+01; 2.11962485296081610e-01; 
30;2.99930738496903579e+01; 2.27532578510593775e-01; 2.99930738496903579e+01; 2.27532578510593775e-01; 2.99930738494207070e+01; 2.27532580226849052e-01; 2.99930738494207070e+01; 2.27532580226849052e-01; 
31;3.09892024831661281e+01; 2.42540034054223891e-01; 3.09892024831661281e+01; 2.42540034054223891e-01; 3.09892024829294748e+01; 2.42540033055793774e-01; 3.09892024829294748e+01; 2.42540033055793774e-01; 
32;3.19898417328003504e+01; 2.59158664118057991e-01; 3.19898417328003504e+01; 2.59158664118057991e-01; 3.19898417324159361e+01; 2.59158663762865615e-01; 3.19898417324159361e+01; 2.59158663762865615e-01; 
33;3.29849411344018648e+01; 2.78917156324101356e-01; 3.29849411344018648e+01; 2.78917156324101356e-01; 3.29849411349499775e+01; 2.78917156930138188e-01; 3.29849411349499775e+01; 2.78917156930138188e-01; 
34;3.39792551168785195e+01; 2.98394968716949316e-01; 3.39792551168785195e+01; 2.98394968716949316e-01; 3.39792551193521319e+01; 2.98394967190334426e-01; 3.39792551193521319e+01; 2.98394967190334426e-01; 
35;3.49819204850487324e+01; 3.14509808906326349e-01; 3.49819204850487324e+01; 3.14509808906326349e-01; 3.49819204882455068e+01; 3.14509808196880791e-01; 3.49819204882455068e+01; 3.14509808196880791e-01; 
36;3.59776487366194573e+01; 3.27569131480512421e-01; 3.59776487366194573e+01; 3.27569131480512421e-01; 3.59776487401561269e+01; 3.27569131373646460e-01; 3.59776487401561269e+01; 3.27569131373646460e-01; 
37;3.69726618151133053e+01; 3.46579430233220021e-01; 3.69726618151133053e+01; 3.46579430233220021e-01; 3.69726618188643101e+01; 3.46579428333118333e-01; 3.69726618188643101e+01; 3.46579428333118333e-01; 
38;3.79773573897754844e+01; 3.75717589940372132e-01; 3.79773573897754844e+01; 3.75717589940372132e-01; 3.79773573935155682e+01; 3.75717587357165261e-01; 3.79773573935155682e+01; 3.75717587357165261e-01; 
39;3.89826001929010815e+01; 3.90321036872878058e-01; 3.89826001929010815e+01; 3.90321036872878058e-01; 3.89826001964742375e+01; 3.90321033755571090e-01; 3.89826001964742375e+01; 3.90321033755571090e-01; 
40;3.99795965996969329e+01; 4.05295806773991407e-01; 3.99795965996969329e+01; 4.05295806773991407e-01; 3.99795966029066605e+01; 4.05295804404844029e-01; 3.99795966029066605e+01; 4.05295804404844029e-01; 
41;4.09915119376047983e+01; 4.30711733475023395e-01; 4.09915119376047983e+01; 4.30711733475023395e-01; 4.09915119400337815e+01; 4.30711728459958920e-01; 4.09915119400337815e+01; 4.30711728459958920e-01; 
42;4.19943055526939446e+01; 4.57126289053585266e-01; 4.19943055526939446e+01; 4.57126289053585266e-01; 4.19943055561514598e+01; 4.57126280110742023e-01; 4.19943055561514598e+01; 4.57126280110742023e-01; 
43;4.29932735232800809e+01; 4.71457581245922852e-01; 4.29932735232800809e+01; 4.71457581245922852e-01; 4.29932735254183527e+01; 4.71457573854544232e-01; 4.29932735254183527e+01; 4.71457573854544232e-01; 
44;4.39927492587145466e+01; 4.81551883229827227e-01; 4.39927492587145466e+01; 4.81551883229827227e-01; 4.39927492605448407e+01; 4.81551876373004284e-01; 4.39927492605448407e+01; 4.81551876373004284e-01; 
45;4.49976265003176223e+01; 4.94436524676631073e-01; 4.49976265003176223e+01; 4.94436524676631073e-01; 4.49976265017004167e+01; 4.94436519918642237e-01; 4.49976265017004167e+01; 4.94436519918642237e-01; 
46;4.59971094621827703e+01; 5.14283318933615785e-01; 4.59971094621827703e+01; 5.14283318933615785e-01; 4.59971094643332492e+01; 5.14283316799077572e-01; 4.59971094643332492e+01; 5.14283316799077572e-01; 
47;4.70000392320496232e+01; 5.38928934237404844e-01; 4.70000392320496232e+01; 5.38928934237404844e-01; 4.70000392356645520e+01; 5.38928931382240850e-01; 4.70000392356645520e+01; 5.38928931382240850e-01; 
48;4.79955539474002322e+01; 5.66553640993732621e-01; 4.79955539474002322e+01; 5.66553640993732621e-01; 4.79955539527385469e+01; 5.66553635077339801e-01; 4.79955539527385469e+01; 5.66553635077339801e-01; 
49;4.89986865412141483e+01; 5.89973531686203811e-01; 4.89986865412141483e+01; 5.89973531686203811e-01; 4.89986865459762839e+01; 5.89973526127353542e-01; 4.89986865459762839e+01; 5.89973526127353542e-01; 
50;4.99886249669644798e+01; 6.07725665958212979e-01; 4.99886249669644798e+01; 6.07725665958212979e-01; 4.99886249716359643e+01; 6.07725659457863387e-01; 4.99886249716359643e+01; 6.07725659457863387e-01; 
51;5.09881789579218605e+01; 6.30604599240997765e-01; 5.09881789579218605e+01; 6.30604599240997765e-01; 5.09881789625531212e+01; 6.30604592400144881e-01; 5.09881789625531212e+01; 6.30604592400144881e-01; 
52;5.19965785169166494e+01; 6.59341714385914934e-01; 5.19965785169166494e+01; 6.59341714385914934e-01; 5.19965785204308872e+01; 6.59341705844121995e-01; 5.19965785204308872e+01; 6.59341705844121995e-01; 
53;5.29971240542577959e+01; 6.79811582835273431e-01; 5.29971240542577959e+01; 6.79811582835273431e-01; 5.29971240579971976e+01; 6.79811574256528051e-01; 5.29971240579971976e+01; 6.79811574256528051e-01; 
54;5.39951320590359600e+01; 7.01845345163497614e-01; 5.39951320590359600e+01; 7.01845345163497614e-01; 5.39951320612783832e+01; 7.01845336249397933e-01; 5.39951320612783832e+01; 7.01845336249397933e-01; 
55;5.50017921479107628e+01; 7.21775806332683678e-01; 5.50017921479107628e+01; 7.21775806332683678e-01; 5.50017921486969001e+01; 7.21775799372023630e-01; 5.50017921486969001e+01; 7.21775799372023630e-01; 
56;5.59999839317150503e+01; 7.53363732329254021e-01; 5.59999839317150503e+01; 7.53363732329254021e-01; 5.59999839334404399e+01; 7.53363722754234022e-01; 5.59999839334404399e+01; 7.53363722754234022e-01; 
57;5.69920152290169639e+01; 7.86538851884276302e-01; 5.69920152290169639e+01; 7.86538851884276302e-01; 5.69920152307818029e+01; 7.86538841794310439e-01; 5.69920152307818029e+01; 7.86538841794310439e-01; 
58;5.80030818009425246e+01; 8.27992334218525694e-01; 5.80030818009425246e+01; 8.27992334218525694e-01; 5.80030818024132415e+01; 8.27992322760564337e-01; 5.80030818024132415e+01; 8.27992322760564337e-01; 
59;5.89979534673619668e+01; 8.47510871705065560e-01; 5.89979534673619668e+01; 8.47510871705065560e-01; 5.89979534683236793e+01; 8.47510858047876181e-01; 5.89979534683236793e+01; 8.47510858047876181e-01; 
60;5.99922018397295318e+01; 8.75938471271055619e-01; 5.99922018397295318e+01; 8.75938471271055619e-01; 5.99922018408144595e+01; 8.75938458468282555e-01; 5.99922018408144595e+01; 8.75938458468282555e-01; 
61;6.09913392094750222e+01; 9.03900873940092775e-01; 6.09913392094750222e+01; 9.03900873940092775e-01; 6.09913392088790189e+01; 9.03900868980725081e-01; 6.09913392088790189e+01; 9.03900868980725081e-01; 
62;6.19920414974214893e+01; 9.46879219665918592e-01; 6.19920414974214893e+01; 9.46879219665918592e-01; 6.19920414982541601e+01; 9.46879213875918446e-01; 6.19920414982541601e+01; 9.46879213875918446e-01; 
63;6.29939879636798494e+01; 9.63810796511541223e-01; 6.29939879636798494e+01; 9.63810796511541223e-01; 6.29939879635135043e+01; 9.63810789953730040e-01; 6.29939879635135043e+01; 9.63810789953730040e-01; 
64;6.39932648430109410e+01; 9.85801249676550362e-01; 6.39932648430109410e+01; 9.85801249676550362e-01; 6.39932648437821214e+01; 9.85801243777548408e-01; 6.39932648437821214e+01; 9.85801243777548408e-01; 
65;6.49941931748748800e+01; 1.00319471948101113e+00; 6.49941931748748800e+01; 1.00319471948101113e+00; 6.49941931764433178e+01; 1.00319471402170790e+00; 6.49941931764433178e+01; 1.00319471402170790e+00; 
66;6.59957851264412483e+01; 1.03804468326022525e+00; 6.59957851264412483e+01; 1.03804468326022525e+00; 6.59957851274484852e+01; 1.03804467772313314e+00; 6.59957851274484852e+01; 1.03804467772313314e+00; 
67;6.69935353673440233e+01; 1.07646940166215099e+00; 6.69935353673440233e+01; 1.07646940166215099e+00; 6.69935353678823589e+01; 1.07646939738538028e+00; 6.69935353678823589e+01; 1.07646939738538028e+00; 
68;6.80024664498905196e+01; 1.10434583023234634e+00; 6.80024664498905196e+01; 1.10434583023234634e+00; 6.80024664503293792e+01; 1.10434582471796627e+00; 6.80024664503293792e+01; 1.10434582471796627e+00; 
69;6.90056165932390400e+01; 1.13174527446570061e+00; 6.90056165932390400e+01; 1.13174527446570061e+00; 6.90056165936686341e+01; 1.13174526687454824e+00; 6.90056165936686341e+01; 1.13174526687454824e+00; 
70;7.00175835403002225e+01; 1.18296242656565442e+00; 7.00175835403002225e+01; 1.18296242656565442e+00; 7.00175835398877240e+01; 1.18296241607168828e+00; 7.00175835398877240e+01; 1.18296241607168828e+00; 
71;7.10161010062766138e+01; 1.20295862071846882e+00; 7.10161010062766138e+01; 1.20295862071846882e+00; 7.10161010067980953e+01; 1.20295860926071030e+00; 7.10161010067980953e+01; 1.20295860926071030e+00; 
72;7.20226034494856862e+01; 1.24296221263223705e+00; 7.20226034494856862e+01; 1.24296221263223705e+00; 7.20226034498059988e+01; 1.24296219668717911e+00; 7.20226034498059988e+01; 1.24296219668717911e+00; 
73;7.30199033217465683e+01; 1.25998504711000514e+00; 7.30199033217465683e+01; 1.25998504711000514e+00; 7.30199033226281813e+01; 1.25998503823195640e+00; 7.30199033226281813e+01; 1.25998503823195640e+00; 
74;7.40099245889298487e+01; 1.30981034305627375e+00; 7.40099245889298487e+01; 1.30981034305627375e+00; 7.40099245905465040e+01; 1.30981033563584037e+00; 7.40099245905465040e+01; 1.30981033563584037e+00; 
75;7.50134555438008022e+01; 1.34170741107383251e+00; 7.50134555438008022e+01; 1.34170741107383251e+00; 7.50134555454246765e+01; 1.34170740037359493e+00; 7.50134555454246765e+01; 1.34170740037359493e+00; 
76;7.60260444073951192e+01; 1.39155703398688080e+00; 7.60260444073951192e+01; 1.39155703398688080e+00; 7.60260444089190912e+01; 1.39155701928637221e+00; 7.60260444089190912e+01; 1.39155701928637221e+00; 
77;7.70361353646830622e+01; 1.43100927610285500e+00; 7.70361353646830622e+01; 1.43100927610285500e+00; 7.70361353669837001e+01; 1.43100925904246989e+00; 7.70361353669837001e+01; 1.43100925904246989e+00; 
78;7.80331705088065632e+01; 1.46374107102833539e+00; 7.80331705088065632e+01; 1.46374107102833539e+00; 7.80331705117182111e+01; 1.46374105406713606e+00; 7.80331705117182111e+01; 1.46374105406713606e+00; 
79;7.90343993248585406e+01; 1.50474147593894481e+00; 7.90343993248585406e+01; 1.50474147593894481e+00; 7.90343993278418679e+01; 1.50474145847191054e+00; 7.90343993278418679e+01; 1.50474145847191054e+00; 
80;8.00441030316669639e+01; 1.52849433308665561e+00; 8.00441030316669639e+01; 1.52849433308665561e+00; 8.00441030338098471e+01; 1.52849431322989671e+00; 8.00441030338098471e+01; 1.52849431322989671e+00; 
81;8.10440884816416229e+01; 1.58675103504142401e+00; 8.10440884816416229e+01; 1.58675103504142401e+00; 8.10440884847273395e+01; 1.58675101321761991e+00; 8.10440884847273395e+01; 1.58675101321761991e+00; 
82;8.20565662946421952e+01; 1.61784833950072082e+00; 8.20565662946421952e+01; 1.61784833950072082e+00; 8.20565662952391222e+01; 1.61784832023414116e+00; 8.20565662952391222e+01; 1.61784832023414116e+00; 
83;8.30543774000375947e+01; 1.65569448019987653e+00; 8.30543774000375947e+01; 1.65569448019987653e+00; 8.30543774001445883e+01; 1.65569446589603197e+00; 8.30543774001445883e+01; 1.65569446589603197e+00; 
84;8.40620358903740481e+01; 1.69250305414417790e+00; 8.40620358903740481e+01; 1.69250305414417790e+00; 8.40620358894343411e+01; 1.69250304741042013e+00; 8.40620358894343411e+01; 1.69250304741042013e+00; 
85;8.50620853858931127e+01; 1.73895554719095058e+00; 8.50620853858931127e+01; 1.73895554719095058e+00; 8.50620853859626749e+01; 1.73895554610143876e+00; 8.50620853859626749e+01; 1.73895554610143876e+00; 
86;8.60641523088414004e+01; 1.78176676551696667e+00; 8.60641523088414004e+01; 1.78176676551696667e+00; 8.60641523100033794e+01; 1.78176676405577017e+00; 8.60641523100033794e+01; 1.78176676405577017e+00; 
87;8.70680309290694510e+01; 1.80930294787930812e+00; 8.70680309290694510e+01; 1.80930294787930812e+00; 8.70680309305167128e+01; 1.80930295002151564e+00; 8.70680309305167128e+01; 1.80930295002151564e+00; 
88;8.80690169591645855e+01; 1.88142689413757913e+00; 8.80690169591645855e+01; 1.88142689413757913e+00; 8.80690169608053282e+01; 1.88142689527602092e+00; 8.80690169608053282e+01; 1.88142689527602092e+00; 
89;8.90730407887229205e+01; 1.91330875519587296e+00; 8.90730407887229205e+01; 1.91330875519587296e+00; 8.90730407902381387e+01; 1.91330876034058961e+00; 8.90730407902381387e+01; 1.91330876034058961e+00; 
90;9.00760071972135705e+01; 1.97524513558531267e+00; 9.00760071972135705e+01; 1.97524513558531267e+00; 9.00760071996923415e+01; 1.97524513548247183e+00; 9.00760071996923415e+01; 1.97524513548247183e+00; 
91;9.10756166185379925e+01; 2.03575767015920572e+00; 9.10756166185379925e+01; 2.03575767015920572e+00; 9.10756166232346089e+01; 2.03575767170253874e+00; 9.10756166232346089e+01; 2.03575767170253874e+00; 
92;9.20769056213552233e+01; 2.06657526673234715e+00; 9.20769056213552233e+01; 2.06657526673234715e+00; 9.20769056253729872e+01; 2.06657527217898629e+00; 9.20769056253729872e+01; 2.06657527217898629e+00; 
