name=SetSketch2;numRegisters=1024;q=62;base=2.00000000000000000e+00;a=3.00000000000000000e+01;seed=1592d0e8b64ff10d;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;2.40449173481493937e-02; 5.78158050279339668e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 2.31049060186651577e-02; 5.33836682131348141e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;9.99892659525439043e-01; 6.95807421734683828e-06; 9.99892659525439043e-01; 6.95807421734683828e-06; 9.99916939748796141e-01; 4.48527203396929172e-06; 9.99916939748796141e-01; 4.48527203396929172e-06; 
2;2.00179830204212683e+00; 1.54617152328369832e-03; 2.00179830204212683e+00; 1.54617152328369832e-03; 2.00158505406806508e+00; 1.39606115476330751e-03; 2.00158505406806508e+00; 1.39606115476330751e-03; 
3;3.00166518736159427e+00; 4.32541556028624100e-03; 3.00166518736159427e+00; 4.32541556028624100e-03; 3.00130174253962334e+00; 3.95896377740117319e-03; 3.00130174253962334e+00; 3.95896377740117319e-03; 
4;4.00252206983228209e+00; 7.93864688714586431e-03; 4.00252206983228209e+00; 7.93864688714586431e-03; 4.00207762588243465e+00; 7.28324200615627308e-03; 4.00207762588243465e+00; 7.28324200615627308e-03; 
5;5.00159924946253831e+00; 1.21463280879889109e-02; 5.00159924946253831e+00; 1.21463280879889109e-02; 5.00118027261759313e+00; 1.11893688415732294e-02; 5.00118027261759313e+00; 1.11893688415732294e-02; 
6;6.00706635172655634e+00; 1.78230821420209129e-02; 6.00706635172655634e+00; 1.78230821420209129e-02; 6.00604309716461948e+00; 1.63860971483444119e-02; 6.00604309716461948e+00; 1.63860971483444119e-02; 
7;7.00233989221929054e+00; 2.44341718305032367e-02; 7.00233989221929054e+00; 2.44341718305032367e-02; 7.00132635619480492e+00; 2.26253650633168012e-02; 7.00132635619480492e+00; 2.26253650633168012e-02; 
8;8.00474375875669786e+00; 3.16719105372762280e-02; 8.00474375875669786e+00; 3.16719105372762280e-02; 8.00398153515215327e+00; 2.91958209587552808e-02; 8.00398153515215327e+00; 2.91958209587552808e-02; 
9;9.00335682815262395e+00; 3.99733813741370847e-02; 9.00335682815262395e+00; 3.99733813741370847e-02; 9.00283620264263185e+00; 3.70721552930994430e-02; 9.00283620264263185e+00; 3.70721552930994430e-02; 
10;1.00075971609200138e+01; 5.00385691397211355e-02; 1.00075971609200138e+01; 5.00385691397211355e-02; 1.00065285634285814e+01; 4.64156415579557308e-02; 1.00065285634285814e+01; 4.64156415579557308e-02; 
11;1.10115307025221192e+01; 6.53060222640494681e-02; 1.10115307025221192e+01; 6.53060222640494681e-02; 1.10104211194707560e+01; 6.01938938818032745e-02; 1.10104211194707560e+01; 6.01938938818032745e-02; 
12;1.20115269673950937e+01; 7.65683883752672489e-02; 1.20115269673950937e+01; 7.65683883752672489e-02; 1.20104788921772823e+01; 7.07206112022953221e-02; 1.20104788921772823e+01; 7.07206112022953221e-02; 
13;1.30014408965160193e+01; 8.84796573647263496e-02; 1.30014408965160193e+01; 8.84796573647263496e-02; 1.30015466496860626e+01; 8.15643897233697401e-02; 1.30015466496860626e+01; 8.15643897233697401e-02; 
14;1.39987721927447701e+01; 9.77672562617415974e-02; 1.39987721927447701e+01; 9.77672562617415974e-02; 1.39993066481260637e+01; 9.02691125482053963e-02; 1.39993066481260637e+01; 9.02691125482053963e-02; 
15;1.50058349858045528e+01; 1.16575788872011879e-01; 1.50058349858045528e+01; 1.16575788872011879e-01; 1.50059864809123784e+01; 1.07234116977533850e-01; 1.50059864809123784e+01; 1.07234116977533850e-01; 
16;1.60006660727401631e+01; 1.28736290559461980e-01; 1.60006660727401631e+01; 1.28736290559461980e-01; 1.60003370929065944e+01; 1.18333350323053962e-01; 1.60003370929065944e+01; 1.18333350323053962e-01; 
17;1.69935902467954882e+01; 1.49728391247151815e-01; 1.69935902467954882e+01; 1.49728391247151815e-01; 1.69935043795831220e+01; 1.37777052818797152e-01; 1.69935043795831220e+01; 1.37777052818797152e-01; 
18;1.79965540823545211e+01; 1.61544267110853457e-01; 1.79965540823545211e+01; 1.61544267110853457e-01; 1.79953421234704045e+01; 1.49477468638802374e-01; 1.79953421234704045e+01; 1.49477468638802374e-01; 
19;1.90021974991921994e+01; 1.68487314654951176e-01; 1.90021974991921994e+01; 1.68487314654951176e-01; 1.90001801508701789e+01; 1.57225926206904898e-01; 1.90001801508701789e+01; 1.57225926206904898e-01; 
20;1.99983032463490140e+01; 1.86639336163769182e-01; 1.99983032463490140e+01; 1.86639336163769182e-01; 1.99972726241921741e+01; 1.74301386828919963e-01; 1.99972726241921741e+01; 1.74301386828919963e-01; 
21;2.10044360039553375e+01; 2.13880662952351364e-01; 2.10044360039553375e+01; 2.13880662952351364e-01; 2.10032336541366043e+01; 1.99808228598623683e-01; 2.10032336541366043e+01; 1.99808228598623683e-01; 
22;2.20104717950050706e+01; 2.38174812475193343e-01; 2.20104717950050706e+01; 2.38174812475193343e-01; 2.20083290492856207e+01; 2.23798451716539754e-01; 2.20083290492856207e+01; 2.23798451716539754e-01; 
23;2.30145180392387552e+01; 2.66933616633793058e-01; 2.30145180392387552e+01; 2.66933616633793058e-01; 2.30119207086500062e+01; 2.50192215683706087e-01; 2.30119207086500062e+01; 2.50192215683706087e-01; 
24;2.40076882636265232e+01; 2.95123741545107676e-01; 2.40076882636265232e+01; 2.95123741545107676e-01; 2.40063878790739231e+01; 2.76641578800827070e-01; 2.40063878790739231e+01; 2.76641578800827070e-01; 
25;2.50131022724416958e+01; 3.23150998806418455e-01; 2.50131022724416958e+01; 3.23150998806418455e-01; 2.50122105806754078e+01; 3.02304591740114592e-01; 2.50122105806754078e+01; 3.02304591740114592e-01; 
