name=SetSketch2;numRegisters=1024;q=65534;base=1.00099999999999989e+00;a=3.00000000000000000e+01;seed=31d2dc0fbf11f576;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;3.33166805430666763e-02; 1.11000120240878396e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 3.33166777701448397e-02; 1.11000101763961937e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;9.99975635101110316e-01; 1.02974982460972096e-06; 9.99975635101110316e-01; 1.02974982460972096e-06; 9.99975635136705954e-01; 1.02974754128357884e-06; 9.99975635136705954e-01; 1.02974754128357884e-06; 
2;2.00221621886901335e+00; 1.22402771369425662e-03; 2.00221621886901335e+00; 1.22402771369425662e-03; 2.00221621876729738e+00; 1.22402742845403021e-03; 2.00221621876729738e+00; 1.22402742845403021e-03; 
3;3.00493844218691786e+00; 3.77018875700587926e-03; 3.00493844218691786e+00; 3.77018875700587926e-03; 3.00493844141165978e+00; 3.77018802488138455e-03; 3.00493844141165978e+00; 3.77018802488138455e-03; 
4;4.00550379600017870e+00; 7.54386944855348681e-03; 4.00550379600017870e+00; 7.54386944855348681e-03; 4.00550379453970518e+00; 7.54386794701089256e-03; 4.00550379453970518e+00; 7.54386794701089256e-03; 
5;5.00723981394284312e+00; 1.16751859598674904e-02; 5.00723981394284312e+00; 1.16751859598674904e-02; 5.00723981222616477e+00; 1.16751837871684420e-02; 5.00723981222616477e+00; 1.16751837871684420e-02; 
6;6.00438817312899076e+00; 1.67310876846205984e-02; 6.00438817312899076e+00; 1.67310876846205984e-02; 6.00438817252455603e+00; 1.67310845377664080e-02; 6.00438817252455603e+00; 1.67310845377664080e-02; 
7;7.00553041345060645e+00; 2.15577491903547053e-02; 7.00553041345060645e+00; 2.15577491903547053e-02; 7.00553041280189781e+00; 2.15577453697925539e-02; 7.00553041280189781e+00; 2.15577453697925539e-02; 
8;8.00468148993983597e+00; 2.89963052779274935e-02; 8.00468148993983597e+00; 2.89963052779274935e-02; 8.00468148939481061e+00; 2.89963002891045971e-02; 8.00468148939481061e+00; 2.89963002891045971e-02; 
9;9.00802577584463648e+00; 3.71694281089467310e-02; 9.00802577584463648e+00; 3.71694281089467310e-02; 9.00802577472044064e+00; 3.71694215746130180e-02; 9.00802577472044064e+00; 3.71694215746130180e-02; 
10;1.00051370170835714e+01; 4.68230437641989003e-02; 1.00051370170835714e+01; 4.68230437641989003e-02; 1.00051370157932684e+01; 4.68230359113700270e-02; 1.00051370157932684e+01; 4.68230359113700270e-02; 
11;1.10033688207934013e+01; 5.74382429123435831e-02; 1.10033688207934013e+01; 5.74382429123435831e-02; 1.10033688186399292e+01; 5.74382341125184090e-02; 1.10033688186399292e+01; 5.74382341125184090e-02; 
12;1.20000177070565321e+01; 6.83933401336188768e-02; 1.20000177070565321e+01; 6.83933401336188768e-02; 1.20000177054711408e+01; 6.83933294079533544e-02; 1.20000177054711408e+01; 6.83933294079533544e-02; 
13;1.29985645912250813e+01; 7.98007695462209926e-02; 1.29985645912250813e+01; 7.98007695462209926e-02; 1.29985645888470280e+01; 7.98007547900223130e-02; 1.29985645888470280e+01; 7.98007547900223130e-02; 
