name=SetSketch2;numRegisters=16384;q=62;base=2.00000000000000000e+00;a=3.00000000000000000e+01;seed=d6960482253fc240;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;2.40449173481493937e-02; 5.78158050279339668e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 2.31049060186651577e-02; 5.33836682131348141e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;9.99986803102528965e-01; 1.54794729926561030e-08; 9.99986803102528965e-01; 1.54794729926561030e-08; 9.99996777437825668e-01; 1.10879754268605002e-08; 9.99996777437825668e-01; 1.10879754268605002e-08; 
2;1.99962133844423029e+00; 9.21103391451922601e-05; 1.99962133844423029e+00; 9.21103391451922601e-05; 1.99965204354425885e+00; 8.34997005143253744e-05; 1.99965204354425885e+00; 8.34997005143253744e-05; 
3;2.99980439981854330e+00; 2.38709893455455217e-04; 2.99980439981854330e+00; 2.38709893455455217e-04; 2.99978052965685560e+00; 2.18878714791384055e-04; 2.99978052965685560e+00; 2.18878714791384055e-04; 
4;3.99985746624682692e+00; 4.62115114440425753e-04; 3.99985746624682692e+00; 4.62115114440425753e-04; 3.99994677024267364e+00; 4.22946634097687334e-04; 3.99994677024267364e+00; 4.22946634097687334e-04; 
5;5.00088043694352624e+00; 7.49249778688271316e-04; 5.00088043694352624e+00; 7.49249778688271316e-04; 5.00085043945479946e+00; 6.87750355698397162e-04; 5.00085043945479946e+00; 6.87750355698397162e-04; 
6;6.00150495452882993e+00; 1.13707841554614927e-03; 6.00150495452882993e+00; 1.13707841554614927e-03; 6.00143123320205163e+00; 1.04887222176275178e-03; 6.00143123320205163e+00; 1.04887222176275178e-03; 
7;7.00049466953245414e+00; 1.57645039079668697e-03; 7.00049466953245414e+00; 1.57645039079668697e-03; 7.00056126541855317e+00; 1.45524813331378809e-03; 7.00056126541855317e+00; 1.45524813331378809e-03; 
8;8.00093561740486869e+00; 2.08726598091349847e-03; 8.00093561740486869e+00; 2.08726598091349847e-03; 8.00090268474510324e+00; 1.93350210387738925e-03; 8.00090268474510324e+00; 1.93350210387738925e-03; 
9;9.00080801434813971e+00; 2.66930585377410292e-03; 9.00080801434813971e+00; 2.66930585377410292e-03; 9.00071202217843869e+00; 2.48131563308935047e-03; 9.00071202217843869e+00; 2.48131563308935047e-03; 
10;1.00012105058009535e+01; 3.39214403774086961e-03; 1.00012105058009535e+01; 3.39214403774086961e-03; 1.00010372548737561e+01; 3.15247142919433589e-03; 1.00010372548737561e+01; 3.15247142919433589e-03; 
