name=SetSketch2;numRegisters=16384;q=65534;base=1.00099999999999989e+00;a=3.00000000000000000e+01;seed=845cbab0654df26a;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;3.33166805430666763e-02; 1.11000120240878396e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 3.33166777701448397e-02; 1.11000101763961937e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;9.99998757429285678e-01; 3.97936274273940588e-09; 9.99998757429285678e-01; 3.97936274273940588e-09; 9.99998757451923126e-01; 3.97935027412688274e-09; 9.99998757451923126e-01; 3.97935027412688274e-09; 
2;1.99978348860307875e+00; 8.41207903219096695e-05; 1.99978348860307875e+00; 8.41207903219096695e-05; 1.99978348879513046e+00; 8.41207717740438302e-05; 1.99978348879513046e+00; 8.41207717740438302e-05; 
3;3.00008908903367866e+00; 2.16233739445426007e-04; 3.00008908903367866e+00; 2.16233739445426007e-04; 3.00008908906713101e+00; 2.16233696914053052e-04; 3.00008908906713101e+00; 2.16233696914053052e-04; 
4;3.99996374067612992e+00; 4.16819218038110538e-04; 3.99996374067612992e+00; 4.16819218038110538e-04; 3.99996374075699324e+00; 4.16819139320076819e-04; 3.99996374075699324e+00; 4.16819139320076819e-04; 
5;4.99983676798917109e+00; 7.11186977448712726e-04; 4.99983676798917109e+00; 7.11186977448712726e-04; 4.99983676827418044e+00; 7.11186832940815107e-04; 4.99983676827418044e+00; 7.11186832940815107e-04; 
6;5.99990684678252517e+00; 1.03757240665089596e-03; 5.99990684678252517e+00; 1.03757240665089596e-03; 5.99990684720753897e+00; 1.03757220754887138e-03; 5.99990684720753897e+00; 1.03757220754887138e-03; 
7;7.00052719243571886e+00; 1.41891394399101551e-03; 7.00052719243571886e+00; 1.41891394399101551e-03; 7.00052719269893320e+00; 1.41891367231351730e-03; 7.00052719269893320e+00; 1.41891367231351730e-03; 
8;7.99940117059049616e+00; 1.82347882587356627e-03; 7.99940117059049616e+00; 1.82347882587356627e-03; 7.99940117068537226e+00; 1.82347847174062043e-03; 7.99940117068537226e+00; 1.82347847174062043e-03; 
9;8.99882421184755010e+00; 2.26086666117864508e-03; 8.99882421184755010e+00; 2.26086666117864508e-03; 8.99882421220440065e+00; 2.26086628234787711e-03; 8.99882421220440065e+00; 2.26086628234787711e-03; 
10;9.99950644954343382e+00; 2.92440598600940058e-03; 9.99950644954343382e+00; 2.92440598600940058e-03; 9.99950644982407510e+00; 2.92440549933311797e-03; 9.99950644982407510e+00; 2.92440549933311797e-03; 
11;1.09992014885502360e+01; 3.52215957326992065e-03; 1.09992014885502360e+01; 3.52215957326992065e-03; 1.09992014887704368e+01; 3.52215896192789851e-03; 1.09992014887704368e+01; 3.52215896192789851e-03; 
12;1.20008730077162937e+01; 4.35444812512062601e-03; 1.20008730077162937e+01; 4.35444812512062601e-03; 1.20008730077847634e+01; 4.35444738753228665e-03; 1.20008730077847634e+01; 4.35444738753228665e-03; 
13;1.29995128684864465e+01; 4.93665748141563013e-03; 1.29995128684864465e+01; 4.93665748141563013e-03; 1.29995128690535502e+01; 4.93665666114484480e-03; 1.29995128690535502e+01; 4.93665666114484480e-03; 
14;1.39977514337210298e+01; 5.82000976731642406e-03; 1.39977514337210298e+01; 5.82000976731642406e-03; 1.39977514344532477e+01; 5.82000874320710588e-03; 1.39977514344532477e+01; 5.82000874320710588e-03; 
15;1.49995099421197686e+01; 6.35902662443119972e-03; 1.49995099421197686e+01; 6.35902662443119972e-03; 1.49995099421857141e+01; 6.35902557794133880e-03; 1.49995099421857141e+01; 6.35902557794133880e-03; 
16;1.60000707992704605e+01; 7.51564590291176147e-03; 1.60000707992704605e+01; 7.51564590291176147e-03; 1.60000707995274283e+01; 7.51564467464120502e-03; 1.60000707995274283e+01; 7.51564467464120502e-03; 
17;1.69999741400828057e+01; 8.56960111202061288e-03; 1.69999741400828057e+01; 8.56960111202061288e-03; 1.69999741405442784e+01; 8.56959959693660844e-03; 1.69999741405442784e+01; 8.56959959693660844e-03; 
18;1.80005103598892049e+01; 1.00874771969724115e-02; 1.80005103598892049e+01; 1.00874771969724115e-02; 1.80005103605638155e+01; 1.00874755781286719e-02; 1.80005103605638155e+01; 1.00874755781286719e-02; 
19;1.90024557053749170e+01; 1.16609625303361573e-02; 1.90024557053749170e+01; 1.16609625303361573e-02; 1.90024557054465859e+01; 1.16609606628706661e-02; 1.90024557054465859e+01; 1.16609606628706661e-02; 
20;2.00011193934926794e+01; 1.28819312921152271e-02; 2.00011193934926794e+01; 1.28819312921152271e-02; 2.00011193937029788e+01; 1.28819291534251965e-02; 2.00011193937029788e+01; 1.28819291534251965e-02; 
