name=SetSketch2;numRegisters=256;q=62;base=2.00000000000000000e+00;a=3.00000000000000000e+01;seed=3f0da0e0183cd125;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;2.40449173481493937e-02; 5.78158050279339668e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 2.31049060186651577e-02; 5.33836682131348141e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.00013386038535335e+00; 5.73882492600169170e-05; 1.00013386038535335e+00; 5.73882492600169170e-05; 1.00008805579933857e+00; 3.96305723615853037e-05; 1.00008805579933857e+00; 3.96305723615853037e-05; 
2;2.00019846652273303e+00; 6.66154660484952026e-03; 2.00019846652273303e+00; 6.66154660484952026e-03; 2.00015498644147582e+00; 6.05898467785906739e-03; 2.00015498644147582e+00; 6.05898467785906739e-03; 
3;3.00574474266941616e+00; 1.53123322454195073e-02; 3.00574474266941616e+00; 1.53123322454195073e-02; 3.00554294197096938e+00; 1.40698860197816435e-02; 3.00554294197096938e+00; 1.40698860197816435e-02; 
4;4.01439489434626395e+00; 3.06557684460235860e-02; 4.01439489434626395e+00; 3.06557684460235860e-02; 4.01332983078605654e+00; 2.81912280165895687e-02; 4.01332983078605654e+00; 2.81912280165895687e-02; 
5;5.01691225747437120e+00; 5.10344107324622390e-02; 5.01691225747437120e+00; 5.10344107324622390e-02; 5.01472717672972745e+00; 4.71745397346679946e-02; 5.01472717672972745e+00; 4.71745397346679946e-02; 
6;6.02227293311719603e+00; 7.29953620275173992e-02; 6.02227293311719603e+00; 7.29953620275173992e-02; 6.01864746349060820e+00; 6.73415531786508703e-02; 6.01864746349060820e+00; 6.73415531786508703e-02; 
7;7.01696623400718966e+00; 9.75967750771349896e-02; 7.01696623400718966e+00; 9.75967750771349896e-02; 7.01361749677700530e+00; 9.04649480080396140e-02; 7.01361749677700530e+00; 9.04649480080396140e-02; 
8;8.00925188507060071e+00; 1.24778603110793598e-01; 8.00925188507060071e+00; 1.24778603110793598e-01; 8.00607909470531354e+00; 1.15197858797742886e-01; 8.00607909470531354e+00; 1.15197858797742886e-01; 
9;9.01552906040074831e+00; 1.64333808580523599e-01; 9.01552906040074831e+00; 1.64333808580523599e-01; 9.01164138781937041e+00; 1.51023630163162198e-01; 9.01164138781937041e+00; 1.51023630163162198e-01; 
10;1.00094238996214742e+01; 2.01010591629874918e-01; 1.00094238996214742e+01; 2.01010591629874918e-01; 1.00051019881870111e+01; 1.85513897320381621e-01; 1.00051019881870111e+01; 1.85513897320381621e-01; 
11;1.10102236527705450e+01; 2.48300132602808421e-01; 1.10102236527705450e+01; 2.48300132602808421e-01; 1.10064355467068804e+01; 2.29328820366678815e-01; 1.10064355467068804e+01; 2.29328820366678815e-01; 
12;1.19891053374039700e+01; 3.10487046537899991e-01; 1.19891053374039700e+01; 3.10487046537899991e-01; 1.19858019089135546e+01; 2.87130369348075787e-01; 1.19858019089135546e+01; 2.87130369348075787e-01; 
13;1.29894469699716399e+01; 3.88503190464661585e-01; 1.29894469699716399e+01; 3.88503190464661585e-01; 1.29857354470122299e+01; 3.59651032538623849e-01; 1.29857354470122299e+01; 3.59651032538623849e-01; 
14;1.40139742120952597e+01; 4.43766108791507907e-01; 1.40139742120952597e+01; 4.43766108791507907e-01; 1.40103295994144492e+01; 4.10419026176224389e-01; 1.40103295994144492e+01; 4.10419026176224389e-01; 
15;1.50142361645466380e+01; 5.27189195627194795e-01; 1.50142361645466380e+01; 5.27189195627194795e-01; 1.50102396724035767e+01; 4.86227060170612568e-01; 1.50102396724035767e+01; 4.86227060170612568e-01; 
16;1.60242391619868805e+01; 5.76464825180764362e-01; 1.60242391619868805e+01; 5.76464825180764362e-01; 1.60195414066606467e+01; 5.32563994241718519e-01; 1.60195414066606467e+01; 5.32563994241718519e-01; 
17;1.70064035522043646e+01; 6.07881158275943911e-01; 1.70064035522043646e+01; 6.07881158275943911e-01; 1.70021740679549112e+01; 5.64528830397897363e-01; 1.70021740679549112e+01; 5.64528830397897363e-01; 
18;1.80288145968493829e+01; 6.88503239609332351e-01; 1.80288145968493829e+01; 6.88503239609332351e-01; 1.80224183723398106e+01; 6.38095962802056826e-01; 1.80224183723398106e+01; 6.38095962802056826e-01; 
19;1.90218183794494742e+01; 7.48100290916854371e-01; 1.90218183794494742e+01; 7.48100290916854371e-01; 1.90158650010830748e+01; 6.93581762606767849e-01; 1.90158650010830748e+01; 6.93581762606767849e-01; 
20;2.00467692949817469e+01; 8.46034696628480187e-01; 2.00467692949817469e+01; 8.46034696628480187e-01; 2.00396015248273009e+01; 7.84702415812346787e-01; 2.00396015248273009e+01; 7.84702415812346787e-01; 
