name=SetSketch2;numRegisters=256;q=65534;base=1.00099999999999989e+00;a=3.00000000000000000e+01;seed=106826bc0c793764;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;3.33166805430666763e-02; 1.11000120240878396e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 3.33166777701448397e-02; 1.11000101763961937e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.00007930368643971e+00; 1.46899434430869741e-05; 1.00007930368643971e+00; 1.46899434430869741e-05; 1.00007930358630359e+00; 1.46899185122004529e-05; 1.00007930358630359e+00; 1.46899185122004529e-05; 
2;2.00274983201016354e+00; 5.16747095301959853e-03; 2.00274983201016354e+00; 5.16747095301959853e-03; 2.00274982983336614e+00; 5.16746985020021237e-03; 2.00274982983336614e+00; 5.16746985020021237e-03; 
3;3.00343724010924040e+00; 1.39135749791040059e-02; 3.00343724010924040e+00; 1.39135749791040059e-02; 3.00343723755480774e+00; 1.39135720866614566e-02; 3.00343723755480774e+00; 1.39135720866614566e-02; 
4;4.00533094534748901e+00; 2.73622274728915066e-02; 4.00533094534748901e+00; 2.73622274728915066e-02; 4.00533094132172707e+00; 2.73622223928870617e-02; 4.00533094132172707e+00; 2.73622223928870617e-02; 
5;4.99395297713477682e+00; 4.19425158421345909e-02; 4.99395297713477682e+00; 4.19425158421345909e-02; 4.99395297364060831e+00; 4.19425080689282137e-02; 4.99395297364060831e+00; 4.19425080689282137e-02; 
6;5.99545741151169498e+00; 6.49564924594542986e-02; 5.99545741151169498e+00; 6.49564924594542986e-02; 5.99545740788693937e+00; 6.49564805785618204e-02; 5.99545740788693937e+00; 6.49564805785618204e-02; 
7;6.99719898981184230e+00; 8.34999413943226659e-02; 6.99719898981184230e+00; 8.34999413943226659e-02; 6.99719898571833543e+00; 8.34999257182060389e-02; 6.99719898571833543e+00; 8.34999257182060389e-02; 
8;7.99523099899111855e+00; 1.08049456285763401e-01; 7.99523099899111855e+00; 1.08049456285763401e-01; 7.99523099529691628e+00; 1.08049438330954692e-01; 7.99523099529691628e+00; 1.08049438330954692e-01; 
9;8.99496270503348327e+00; 1.45225511784453448e-01; 8.99496270503348327e+00; 1.45225511784453448e-01; 8.99496270214928373e+00; 1.45225487608172638e-01; 8.99496270214928373e+00; 1.45225487608172638e-01; 
10;1.00057073309582414e+01; 1.81536868229727866e-01; 1.00057073309582414e+01; 1.81536868229727866e-01; 1.00057073289403835e+01; 1.81536839566613428e-01; 1.00057073289403835e+01; 1.81536839566613428e-01; 
11;1.10166895800070872e+01; 2.40206104928353759e-01; 1.10166895800070872e+01; 2.40206104928353759e-01; 1.10166895761303589e+01; 2.40206065670502206e-01; 1.10166895761303589e+01; 2.40206065670502206e-01; 
12;1.20111855376466679e+01; 2.88390397108629182e-01; 1.20111855376466679e+01; 2.88390397108629182e-01; 1.20111855350173968e+01; 2.88390347352792786e-01; 1.20111855350173968e+01; 2.88390347352792786e-01; 
13;1.30122585241293383e+01; 3.33183086209239088e-01; 1.30122585241293383e+01; 3.33183086209239088e-01; 1.30122585185707536e+01; 3.33183029022335930e-01; 1.30122585185707536e+01; 3.33183029022335930e-01; 
14;1.40229652255350050e+01; 4.06214874347835542e-01; 1.40229652255350050e+01; 4.06214874347835542e-01; 1.40229652165622927e+01; 4.06214802222456928e-01; 1.40229652165622927e+01; 4.06214802222456928e-01; 
15;1.50298757869320614e+01; 4.59930203931410708e-01; 1.50298757869320614e+01; 4.59930203931410708e-01; 1.50298757763501882e+01; 4.59930118233671525e-01; 1.50298757763501882e+01; 4.59930118233671525e-01; 
16;1.60261059062088052e+01; 5.15681502552780779e-01; 1.60261059062088052e+01; 5.15681502552780779e-01; 1.60261058946313675e+01; 5.15681405750064936e-01; 1.60261058946313675e+01; 5.15681405750064936e-01; 
17;1.70324692252326280e+01; 5.75740839436138518e-01; 1.70324692252326280e+01; 5.75740839436138518e-01; 1.70324692108652478e+01; 5.75740733679210082e-01; 1.70324692108652478e+01; 5.75740733679210082e-01; 
18;1.80503291321523633e+01; 6.28473918338537163e-01; 1.80503291321523633e+01; 6.28473918338537163e-01; 1.80503291155157761e+01; 6.28473811955208350e-01; 1.80503291155157761e+01; 6.28473811955208350e-01; 
19;1.90661548418243498e+01; 7.11120735727857167e-01; 1.90661548418243498e+01; 7.11120735727857167e-01; 1.90661548198285544e+01; 7.11120609676128446e-01; 1.90661548198285544e+01; 7.11120609676128446e-01; 
20;2.00542620638975677e+01; 7.66759965076442285e-01; 2.00542620638975677e+01; 7.66759965076442285e-01; 2.00542620459841991e+01; 7.66759821223235383e-01; 2.00542620459841991e+01; 7.66759821223235383e-01; 
21;2.10487496113526262e+01; 8.76150951991096383e-01; 2.10487496113526262e+01; 8.76150951991096383e-01; 2.10487495884785396e+01; 8.76150785591193637e-01; 2.10487495884785396e+01; 8.76150785591193637e-01; 
22;2.20608635925384924e+01; 9.54577198947941796e-01; 2.20608635925384924e+01; 9.54577198947941796e-01; 2.20608635683623717e+01; 9.54577033205079584e-01; 2.20608635683623717e+01; 9.54577033205079584e-01; 
23;2.30695161335946359e+01; 1.02273650576329644e+00; 2.30695161335946359e+01; 1.02273650576329644e+00; 2.30695161073688233e+01; 1.02273632787847468e+00; 2.30695161073688233e+01; 1.02273632787847468e+00; 
24;2.40656617995603668e+01; 1.10799863919992370e+00; 2.40656617995603668e+01; 1.10799863919992370e+00; 2.40656617692226469e+01; 1.10799844598552033e+00; 2.40656617692226469e+01; 1.10799844598552033e+00; 
25;2.50658425436643419e+01; 1.20651083532906056e+00; 2.50658425436643419e+01; 1.20651083532906056e+00; 2.50658425097353721e+01; 1.20651062068164050e+00; 2.50658425097353721e+01; 1.20651062068164050e+00; 
26;2.60528026983026066e+01; 1.32348036258421642e+00; 2.60528026983026066e+01; 1.32348036258421642e+00; 2.60528026671421600e+01; 1.32348013738895998e+00; 2.60528026671421600e+01; 1.32348013738895998e+00; 
27;2.70620394729446971e+01; 1.41070685982923161e+00; 2.70620394729446971e+01; 1.41070685982923161e+00; 2.70620394413492491e+01; 1.41070661476094350e+00; 2.70620394413492491e+01; 1.41070661476094350e+00; 
28;2.80465884215253283e+01; 1.53210770525182793e+00; 2.80465884215253283e+01; 1.53210770525182793e+00; 2.80465883941150800e+01; 1.53210742690088209e+00; 2.80465883941150800e+01; 1.53210742690088209e+00; 
29;2.90445696462925547e+01; 1.59907846113376029e+00; 2.90445696462925547e+01; 1.59907846113376029e+00; 2.90445696214832232e+01; 1.59907817279434550e+00; 2.90445696214832232e+01; 1.59907817279434550e+00; 
30;3.00455312549355327e+01; 1.68008072699215738e+00; 3.00455312549355327e+01; 1.68008072699215738e+00; 3.00455312303007069e+01; 1.68008042565332816e+00; 3.00455312303007069e+01; 1.68008042565332816e+00; 
31;3.10517148194815675e+01; 1.87331560821473175e+00; 3.10517148194815675e+01; 1.87331560821473175e+00; 3.10517147976174961e+01; 1.87331526369389301e+00; 3.10517147976174961e+01; 1.87331526369389301e+00; 
32;3.20657536222472928e+01; 1.92306739563488782e+00; 3.20657536222472928e+01; 1.92306739563488782e+00; 3.20657536004559489e+01; 1.92306705232881137e+00; 3.20657536004559489e+01; 1.92306705232881137e+00; 
33;3.30692666196320957e+01; 2.02191278858173362e+00; 3.30692666196320957e+01; 2.02191278858173362e+00; 3.30692665983796772e+01; 2.02191241776510733e+00; 3.30692665983796772e+01; 2.02191241776510733e+00; 
34;3.40521901549832506e+01; 2.09610446928625249e+00; 3.40521901549832506e+01; 2.09610446928625249e+00; 3.40521901342694093e+01; 2.09610408566670436e+00; 3.40521901342694093e+01; 2.09610408566670436e+00; 
35;3.50638527980585621e+01; 2.24786179868812575e+00; 3.50638527980585621e+01; 2.24786179868812575e+00; 3.50638527777253373e+01; 2.24786140759188324e+00; 3.50638527777253373e+01; 2.24786140759188324e+00; 
36;3.60407918484133276e+01; 2.33648951922850179e+00; 3.60407918484133276e+01; 2.33648951922850179e+00; 3.60407918329365131e+01; 2.33648910797676024e+00; 3.60407918329365131e+01; 2.33648910797676024e+00; 
37;3.70156525932628213e+01; 2.51909077166460849e+00; 3.70156525932628213e+01; 2.51909077166460849e+00; 3.70156525792932740e+01; 2.51909032997583937e+00; 3.70156525792932740e+01; 2.51909032997583937e+00; 
38;3.79881576717379517e+01; 2.56191640125762632e+00; 3.79881576717379517e+01; 2.56191640125762632e+00; 3.79881576610760945e+01; 2.56191593522642069e+00; 3.79881576610760945e+01; 2.56191593522642069e+00; 
39;3.89981703895821781e+01; 2.72958705297271464e+00; 3.89981703895821781e+01; 2.72958705297271464e+00; 3.89981703800063855e+01; 2.72958655114536874e+00; 3.89981703800063855e+01; 2.72958655114536874e+00; 
40;4.00228628743219232e+01; 2.94045351203144545e+00; 4.00228628743219232e+01; 2.94045351203144545e+00; 4.00228628604595826e+01; 2.94045297967598573e+00; 4.00228628604595826e+01; 2.94045297967598573e+00; 
41;4.10338414731418624e+01; 3.17386973221804114e+00; 4.10338414731418624e+01; 3.17386973221804114e+00; 4.10338414554304549e+01; 3.17386916303877120e+00; 4.10338414554304549e+01; 3.17386916303877120e+00; 
42;4.20411026957019729e+01; 3.33243725233489707e+00; 4.20411026957019729e+01; 3.33243725233489707e+00; 4.20411026820051390e+01; 3.33243667903480745e+00; 4.20411026820051390e+01; 3.33243667903480745e+00; 
43;4.30299538652492686e+01; 3.51064231120382209e+00; 4.30299538652492686e+01; 3.51064231120382209e+00; 4.30299538507187407e+01; 3.51064169277152072e+00; 4.30299538507187407e+01; 3.51064169277152072e+00; 
44;4.40178692613407847e+01; 3.69540518090999370e+00; 4.40178692613407847e+01; 3.69540518090999370e+00; 4.40178692484173268e+01; 3.69540452077963844e+00; 4.40178692484173268e+01; 3.69540452077963844e+00; 
45;4.50364897510322209e+01; 3.89046462940487725e+00; 4.50364897510322209e+01; 3.89046462940487725e+00; 4.50364897367213004e+01; 3.89046390909470441e+00; 4.50364897367213004e+01; 3.89046390909470441e+00; 
46;4.60205887586108986e+01; 4.05260939081018101e+00; 4.60205887586108986e+01; 4.05260939081018101e+00; 4.60205887432060763e+01; 4.05260864990344150e+00; 4.60205887432060763e+01; 4.05260864990344150e+00; 
47;4.70072638597184351e+01; 4.15152818683099412e+00; 4.70072638597184351e+01; 4.15152818683099412e+00; 4.70072638455633935e+01; 4.15152742947384823e+00; 4.70072638455633935e+01; 4.15152742947384823e+00; 
48;4.80325894353887861e+01; 4.35369443842455173e+00; 4.80325894353887861e+01; 4.35369443842455173e+00; 4.80325894200426760e+01; 4.35369363929704356e+00; 4.80325894200426760e+01; 4.35369363929704356e+00; 
49;4.90416941778295765e+01; 4.40688047851142528e+00; 4.90416941778295765e+01; 4.40688047851142528e+00; 4.90416941531346140e+01; 4.40687971942154544e+00; 4.90416941531346140e+01; 4.40687971942154544e+00; 
50;5.00589859545553324e+01; 4.56683557535851126e+00; 5.00589859545553324e+01; 4.56683557535851126e+00; 5.00589859304659157e+01; 4.56683477291246032e+00; 5.00589859304659157e+01; 4.56683477291246032e+00; 
51;5.10389244570435636e+01; 4.63434092846487999e+00; 5.10389244570435636e+01; 4.63434092846487999e+00; 5.10389244345750299e+01; 4.63434009174420147e+00; 5.10389244345750299e+01; 4.63434009174420147e+00; 
52;5.20458842779167128e+01; 4.86767939242515713e+00; 5.20458842779167128e+01; 4.86767939242515713e+00; 5.20458842533789934e+01; 4.86767853798161010e+00; 5.20458842533789934e+01; 4.86767853798161010e+00; 
53;5.30547888513514607e+01; 5.01031113839006625e+00; 5.30547888513514607e+01; 5.01031113839006625e+00; 5.30547888237349667e+01; 5.01031023158538602e+00; 5.30547888237349667e+01; 5.01031023158538602e+00; 
54;5.40722151070364063e+01; 5.19836313409805140e+00; 5.40722151070364063e+01; 5.19836313409805140e+00; 5.40722150790086502e+01; 5.19836221971361745e+00; 5.40722150790086502e+01; 5.19836221971361745e+00; 
55;5.50747267165503445e+01; 5.36154815660466522e+00; 5.50747267165503445e+01; 5.36154815660466522e+00; 5.50747266875066757e+01; 5.36154722244961945e+00; 5.50747266875066757e+01; 5.36154722244961945e+00; 
56;5.60907062965576060e+01; 5.62171958354234924e+00; 5.60907062965576060e+01; 5.62171958354234924e+00; 5.60907062639162888e+01; 5.62171861888373847e+00; 5.60907062639162888e+01; 5.62171861888373847e+00; 
57;5.70888906994423806e+01; 6.09925187689599912e+00; 5.70888906994423806e+01; 6.09925187689599912e+00; 5.70888906655313662e+01; 6.09925084597957490e+00; 5.70888906655313662e+01; 6.09925084597957490e+00; 
58;5.80724762499010367e+01; 6.28806727018549871e+00; 5.80724762499010367e+01; 6.28806727018549871e+00; 5.80724762171212845e+01; 6.28806622472121557e+00; 5.80724762171212845e+01; 6.28806622472121557e+00; 
59;5.90559757383450759e+01; 6.27072039699476136e+00; 5.90559757383450759e+01; 6.27072039699476136e+00; 5.90559757061556923e+01; 6.27071931059918963e+00; 5.90559757061556923e+01; 6.27071931059918963e+00; 
60;6.01013604660740128e+01; 6.67992248918232789e+00; 6.01013604660740128e+01; 6.67992248918232789e+00; 6.01013604299932922e+01; 6.67992128729256596e+00; 6.01013604299932922e+01; 6.67992128729256596e+00; 
61;6.10633067287883549e+01; 7.01002115383632063e+00; 6.10633067287883549e+01; 7.01002115383632063e+00; 6.10633066967156211e+01; 7.01001991836344196e+00; 6.10633066967156211e+01; 7.01001991836344196e+00; 
62;6.20450581267308579e+01; 7.24788414939025660e+00; 6.20450581267308579e+01; 7.24788414939025660e+00; 6.20450581014857363e+01; 7.24788285112788255e+00; 6.20450581014857363e+01; 7.24788285112788255e+00; 
63;6.30761761339933358e+01; 7.54476803052731793e+00; 6.30761761339933358e+01; 7.54476803052731793e+00; 6.30761761027949959e+01; 7.54476663951653137e+00; 6.30761761027949959e+01; 7.54476663951653137e+00; 
64;6.40790585125411241e+01; 8.03266686087677684e+00; 6.40790585125411241e+01; 8.03266686087677684e+00; 6.40790584795865499e+01; 8.03266535965753548e+00; 6.40790584795865499e+01; 8.03266535965753548e+00; 
65;6.50894059438939081e+01; 8.26402405769702497e+00; 6.50894059438939081e+01; 8.26402405769702497e+00; 6.50894059104124239e+01; 8.26402250725969267e+00; 6.50894059104124239e+01; 8.26402250725969267e+00; 
66;6.60963963951213032e+01; 8.90169699437222306e+00; 6.60963963951213032e+01; 8.90169699437222306e+00; 6.60963963614382379e+01; 8.90169535819727287e+00; 6.60963963614382379e+01; 8.90169535819727287e+00; 
67;6.71219358739474927e+01; 9.42757887155496377e+00; 6.71219358739474927e+01; 9.42757887155496377e+00; 6.71219358383177962e+01; 9.42757711988948621e+00; 6.71219358383177962e+01; 9.42757711988948621e+00; 
68;6.81027971902267950e+01; 9.73124485924341620e+00; 6.81027971902267950e+01; 9.73124485924341620e+00; 6.81027971556179779e+01; 9.73124307845533920e+00; 6.81027971556179779e+01; 9.73124307845533920e+00; 
69;6.91115399509646124e+01; 9.91621656510707616e+00; 6.91115399509646124e+01; 9.91621656510707616e+00; 6.91115399133393709e+01; 9.91621475330644842e+00; 6.91115399133393709e+01; 9.91621475330644842e+00; 
70;7.01483110470533120e+01; 1.01938731818286339e+01; 7.01483110470533120e+01; 1.01938731818286339e+01; 7.01483110026600940e+01; 1.01938713476779004e+01; 7.01483110026600940e+01; 1.01938713476779004e+01; 
71;7.11383973284023341e+01; 1.04093200562652015e+01; 7.11383973284023341e+01; 1.04093200562652015e+01; 7.11383972849004778e+01; 1.04093182019878565e+01; 7.11383972849004778e+01; 1.04093182019878565e+01; 
72;7.21485518567496769e+01; 1.07382828494078240e+01; 7.21485518567496769e+01; 1.07382828494078240e+01; 7.21485518132981554e+01; 1.07382809388227738e+01; 7.21485518132981554e+01; 1.07382809388227738e+01; 
73;7.31866360176445880e+01; 1.09528981639031446e+01; 7.31866360176445880e+01; 1.09528981639031446e+01; 7.31866359662645465e+01; 1.09528962527260170e+01; 7.31866359662645465e+01; 1.09528962527260170e+01; 
74;7.41800724234328044e+01; 1.11413557329593349e+01; 7.41800724234328044e+01; 1.11413557329593349e+01; 7.41800723678337874e+01; 1.11413537772582174e+01; 7.41800723678337874e+01; 1.11413537772582174e+01; 
75;7.51685784934994814e+01; 1.12143837580539518e+01; 7.51685784934994814e+01; 1.12143837580539518e+01; 7.51685784350629405e+01; 1.12143818053359858e+01; 7.51685784350629405e+01; 1.12143818053359858e+01; 
76;7.61894531007365714e+01; 1.17164613937304853e+01; 7.61894531007365714e+01; 1.17164613937304853e+01; 7.61894530459307475e+01; 1.17164593194164119e+01; 7.61894530459307475e+01; 1.17164593194164119e+01; 
77;7.71805712824130410e+01; 1.20390884662190505e+01; 7.71805712824130410e+01; 1.20390884662190505e+01; 7.71805712301791687e+01; 1.20390863022244812e+01; 7.71805712301791687e+01; 1.20390863022244812e+01; 
78;7.81942331961093799e+01; 1.23680603887331237e+01; 7.81942331961093799e+01; 1.23680603887331237e+01; 7.81942331394141092e+01; 1.23680580993971496e+01; 7.81942331394141092e+01; 1.23680580993971496e+01; 
79;7.92077747702492445e+01; 1.26699929718832713e+01; 7.92077747702492445e+01; 1.26699929718832713e+01; 7.92077747197372588e+01; 1.26699906792452879e+01; 7.92077747197372588e+01; 1.26699906792452879e+01; 
80;8.02036997028293825e+01; 1.31174951409609601e+01; 8.02036997028293825e+01; 1.31174951409609601e+01; 8.02036996513565725e+01; 1.31174926803194545e+01; 8.02036996513565725e+01; 1.31174926803194545e+01; 
81;8.12245854743031970e+01; 1.34351535763593084e+01; 8.12245854743031970e+01; 1.34351535763593084e+01; 8.12245854192481147e+01; 1.34351511120050979e+01; 8.12245854192481147e+01; 1.34351511120050979e+01; 
