name=SetSketch2;numRegisters=4096;q=62;base=2.00000000000000000e+00;a=3.00000000000000000e+01;seed=62fdfc2132af106f;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;2.40449173481493937e-02; 5.78158050279339668e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 2.31049060186651577e-02; 5.33836682131348141e-04; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;1.00000322126752272e+00; 4.26372271713930618e-07; 1.00000322126752272e+00; 4.26372271713930618e-07; 1.00001113151245913e+00; 2.86015855665965641e-07; 1.00001113151245913e+00; 2.86015855665965641e-07; 
2;1.99989667525485637e+00; 3.87371241531248413e-04; 1.99989667525485637e+00; 3.87371241531248413e-04; 1.99998856141339232e+00; 3.51468437814166882e-04; 1.99998856141339232e+00; 3.51468437814166882e-04; 
3;2.99989666395034993e+00; 1.00828221253616737e-03; 2.99989666395034993e+00; 1.00828221253616737e-03; 2.99994568338998535e+00; 9.22972753137206231e-04; 2.99994568338998535e+00; 9.22972753137206231e-04; 
4;4.00029323250464497e+00; 1.89172039871299876e-03; 4.00029323250464497e+00; 1.89172039871299876e-03; 4.00030102649290242e+00; 1.74386986709102474e-03; 4.00030102649290242e+00; 1.74386986709102474e-03; 
5;4.99959949521633007e+00; 2.94458242090608327e-03; 4.99959949521633007e+00; 2.94458242090608327e-03; 4.99954172398632402e+00; 2.71823141998663986e-03; 4.99954172398632402e+00; 2.71823141998663986e-03; 
6;6.00228490277894444e+00; 4.50673052751635571e-03; 6.00228490277894444e+00; 4.50673052751635571e-03; 6.00200759505787129e+00; 4.19179370870916175e-03; 6.00200759505787129e+00; 4.19179370870916175e-03; 
7;7.00227884326534600e+00; 6.28263918017827813e-03; 7.00227884326534600e+00; 6.28263918017827813e-03; 7.00213510683508833e+00; 5.81499729101829250e-03; 7.00213510683508833e+00; 5.81499729101829250e-03; 
8;8.00083084126563193e+00; 7.93363252404327528e-03; 8.00083084126563193e+00; 7.93363252404327528e-03; 8.00080408164334500e+00; 7.39058890014848875e-03; 8.00080408164334500e+00; 7.39058890014848875e-03; 
9;9.00235616524222948e+00; 1.05943886676027211e-02; 9.00235616524222948e+00; 1.05943886676027211e-02; 9.00222587857796519e+00; 9.83395602911785356e-03; 9.00222587857796519e+00; 9.83395602911785356e-03; 
10;1.00037548078741114e+01; 1.34903490534591664e-02; 1.00037548078741114e+01; 1.34903490534591664e-02; 1.00032539869122221e+01; 1.25816762848658947e-02; 1.00032539869122221e+01; 1.25816762848658947e-02; 
11;1.10025231229245133e+01; 1.72507007529596711e-02; 1.10025231229245133e+01; 1.72507007529596711e-02; 1.10018118674999705e+01; 1.61440651523824912e-02; 1.10018118674999705e+01; 1.61440651523824912e-02; 
12;1.20055458074765635e+01; 1.99955131987065333e-02; 1.20055458074765635e+01; 1.99955131987065333e-02; 1.20047851587072465e+01; 1.86222590572741632e-02; 1.20047851587072465e+01; 1.86222590572741632e-02; 
13;1.30067162033728749e+01; 2.35273816205537750e-02; 1.30067162033728749e+01; 2.35273816205537750e-02; 1.30060499290708123e+01; 2.18977846263372286e-02; 1.30060499290708123e+01; 2.18977846263372286e-02; 
14;1.40055723315903169e+01; 2.67844762031060057e-02; 1.40055723315903169e+01; 2.67844762031060057e-02; 1.40052407937369701e+01; 2.47832385477902740e-02; 1.40052407937369701e+01; 2.47832385477902740e-02; 
15;1.50035192607805765e+01; 3.08199209926857780e-02; 1.50035192607805765e+01; 3.08199209926857780e-02; 1.50034814361616462e+01; 2.85007274711458237e-02; 1.50034814361616462e+01; 2.85007274711458237e-02; 
16;1.60024071469140488e+01; 3.46851054484435817e-02; 1.60024071469140488e+01; 3.46851054484435817e-02; 1.60021927250234945e+01; 3.19351543578586944e-02; 1.60021927250234945e+01; 3.19351543578586944e-02; 
