name=SetSketch2;numRegisters=4096;q=65534;base=1.00099999999999989e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numExamples=10000;
true cardinality; simple mean; simple mse; simple standard deviation; simple kurtosis; ml mean; ml mse; ml standard deviation; ml kurtosis; 
0; 4.99750208145997507e-02; 2.49750270542014588e-03; 9.92261828258733658e-16; 1.00000000000000000e+00; 4.99750166541737123e-02; 2.49750228958566444e-03; 2.94902990916057206e-15; 1.00000000000000000e+00; 
1; 1.00000004491720285e+00; 6.56142184302029694e-08; 2.56152720876917292e-04; 8.09633199057918596e+00; 1.00000004493745465e+00; 6.56140421052039682e-08; 2.56152376693696089e-04; 8.09632491337525195e+00; 
2; 1.99998993965168959e+00; 3.20152010840420826e-04; 1.78927893194384957e-02; 2.94779555768315804e+00; 1.99998993968075078e+00; 3.20151937370446527e-04; 1.78927872663937337e-02; 2.94779554580010350e+00; 
3; 3.00029294007782488e+00; 8.76570027499388635e-04; 2.96054760747093450e-02; 2.98583685492963724e+00; 3.00029293989781998e+00; 8.76569850934777505e-04; 2.96054730945316813e-02; 2.98583686605735732e+00; 
4; 4.00079235134502298e+00; 1.64030488008984777e-03; 4.04929260419133463e-02; 3.08905833651480499e+00; 4.00079235117772214e+00; 1.64030455820863099e-03; 4.04929220706508261e-02; 3.08905833758071857e+00; 
5; 5.00083610707037440e+00; 2.70044037575806065e-03; 5.19590348325001741e-02; 3.04168338632953095e+00; 5.00083610692864422e+00; 2.70043988003064971e-03; 5.19590300644125896e-02; 3.04168340698820261e+00; 
6; 6.00133689104884560e+00; 3.96400159912696764e-03; 6.29461223702505041e-02; 3.00636051755652822e+00; 6.00133689084302091e+00; 3.96400088431188031e-03; 6.29461166966295144e-02; 3.00636051259812476e+00; 
7; 7.00172081097155719e+00; 5.57095978318922474e-03; 7.46190229954085960e-02; 3.00203362469956092e+00; 7.00172081075571739e+00; 5.57095879353497296e-03; 7.46190163690067659e-02; 3.00203363584905292e+00; 
8; 8.00220594675400321e+00; 7.20891504425143562e-03; 8.48766684264290333e-02; 3.03929329903621470e+00; 8.00220594648087946e+00; 7.20891377413176125e-03; 8.48766609513783299e-02; 3.03929331377942447e+00; 
9; 9.00277730209762161e+00; 9.38225922208879744e-03; 9.68222382262847320e-02; 3.02031276547815875e+00; 9.00277730154984646e+00; 9.38225758884472273e-03; 9.68222298077566906e-02; 3.02031275580793679e+00; 
