name=SetSketch2;numRegisters=4096;q=65534;base=1.00099999999999989e+00;a=3.00000000000000000e+01;seed=5ba34df0ff814e7a;numExamples=1000;
true cardinality; simple mean; simple mse; simple corrected mean; simple corrected mse; ml mean; ml mse;ml corrected mean; ml corrected mse;
0;3.33166805430666763e-02; 1.11000120240878396e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 3.33166777701448397e-02; 1.11000101763961937e-03; 0.00000000000000000e+00; 0.00000000000000000e+00; 
1;9.99992982760887106e-01; 6.93901144068434287e-08; 9.99992982760887106e-01; 6.93901144068434287e-08; 9.99992982789319251e-01; 6.93899276486288875e-08; 9.99992982789319251e-01; 6.93899276486288875e-08; 
2;2.00010561131968512e+00; 3.03907935537889361e-04; 2.00010561131968512e+00; 3.03907935537889361e-04; 2.00010561114257035e+00; 3.03907863608246075e-04; 2.00010561114257035e+00; 3.03907863608246075e-04; 
3;3.00052946851671409e+00; 8.65903683955503460e-04; 3.00052946851671409e+00; 8.65903683955503460e-04; 3.00052946825385947e+00; 8.65903519865342838e-04; 3.00052946825385947e+00; 8.65903519865342838e-04; 
4;4.00181259235854281e+00; 1.76342579521740874e-03; 4.00181259235854281e+00; 1.76342579521740874e-03; 4.00181259223858010e+00; 1.76342548382136112e-03; 4.00181259223858010e+00; 1.76342548382136112e-03; 
5;5.00186342492165625e+00; 2.87856972366234368e-03; 5.00186342492165625e+00; 2.87856972366234368e-03; 5.00186342513026538e+00; 2.87856915855798281e-03; 5.00186342513026538e+00; 2.87856915855798281e-03; 
6;6.00308349846898359e+00; 4.14688182169603136e-03; 6.00308349846898359e+00; 4.14688182169603136e-03; 6.00308349840641764e+00; 4.14688109707671282e-03; 6.00308349840641764e+00; 4.14688109707671282e-03; 
7;7.00570748120137043e+00; 5.47233809636520682e-03; 7.00570748120137043e+00; 5.47233809636520682e-03; 7.00570748147746336e+00; 5.47233705149444225e-03; 7.00570748147746336e+00; 5.47233705149444225e-03; 
8;8.00782350100715412e+00; 7.13694015254735109e-03; 8.00782350100715412e+00; 7.13694015254735109e-03; 8.00782350086619843e+00; 7.13693887283597776e-03; 8.00782350086619843e+00; 7.13693887283597776e-03; 
9;9.00625059037119335e+00; 9.14310897622707709e-03; 9.00625059037119335e+00; 9.14310897622707709e-03; 9.00625059091681379e+00; 9.14310747130115016e-03; 9.00625059091681379e+00; 9.14310747130115016e-03; 
10;1.00067291742189539e+01; 1.12449854419827324e-02; 1.00067291742189539e+01; 1.12449854419827324e-02; 1.00067291750915022e+01; 1.12449835133851036e-02; 1.00067291750915022e+01; 1.12449835133851036e-02; 
11;1.10093153621962436e+01; 1.41248031186047996e-02; 1.10093153621962436e+01; 1.41248031186047996e-02; 1.10093153634583309e+01; 1.41248007125600664e-02; 1.10093153634583309e+01; 1.41248007125600664e-02; 
12;1.20105026614650239e+01; 1.65347958666740222e-02; 1.20105026614650239e+01; 1.65347958666740222e-02; 1.20105026623162043e+01; 1.65347929960510259e-02; 1.20105026623162043e+01; 1.65347929960510259e-02; 
