name=GeneralizedHyperLogLog;numRegisters=16384;q=254;base=1.19999999999999996e+00;a=6.10351562500000000e-05;seed=559075ffabc64341;numExamples=1000;
trueDifference1;trueDifference2;trueIntersection;true1;true2;trueUnion;trueJaccard;trueCosine;trueInclusionCoefficient1;trueInclusionCoefficient2;trueAlpha;trueBeta;mlMeanDifference1;mlMeanDifference2;mlMeanIntersection;mlMean1;mlMean2;mlMeanUnion;mlMeanJaccard;mlMeanCosine;mlMeanInclusionCoefficient1;mlMeanInclusionCoefficient2;mlMeanAlpha;mlMeanBeta;mlMSEDifference1;mlMSEDifference2;mlMSEIntersection;mlMSE1;mlMSE2;mlMSEUnion;mlMSEJaccard;mlMSECosine;mlMSEInclusionCoefficient1;mlMSEInclusionCoefficient2;mlMSEAlpha;mlMSEBeta;simpleMeanDifference1;simpleMeanDifference2;simpleMeanIntersection;simpleMean1;simpleMean2;simpleMeanUnion;simpleMeanJaccard;simpleMeanCosine;simpleMeanInclusionCoefficient1;simpleMeanInclusionCoefficient2;simpleMeanAlpha;simpleMeanBeta;simpleMSEDifference1;simpleMSEDifference2;simpleMSEIntersection;simpleMSE1;simpleMSE2;simpleMSEUnion;simpleMSEJaccard;simpleMSECosine;simpleMSEInclusionCoefficient1;simpleMSEInclusionCoefficient2;simpleMSEAlpha;simpleMSEBeta;inclExclMeanDifference1;inclExclMeanDifference2;inclExclMeanIntersection;inclExclMean1;inclExclMean2;inclExclMeanUnion;inclExclMeanJaccard;inclExclMeanCosine;inclExclMeanInclusionCoefficient1;inclExclMeanInclusionCoefficient2;inclExclMeanAlpha;inclExclMeanBeta;inclExclMSEDifference1;inclExclMSEDifference2;inclExclMSEIntersection;inclExclMSE1;inclExclMSE2;inclExclMSEUnion;inclExclMSEJaccard;inclExclMSECosine;inclExclMSEInclusionCoefficient1;inclExclMSEInclusionCoefficient2;inclExclMSEAlpha;inclExclMSEBeta;collLowerBoundMeanJaccard;collUpperBoundMeanJaccard;collLowerBoundMSEJaccard;collUpperBoundMSEJaccard;
450;450;100;550;550;1000;0.10000000000000001;0.18181818181818182;0.18181818181818182;0.18181818181818182;0.45000000000000001;0.45000000000000001;450.13715268304151;450.13848739090241;99.84443750057109;549.98159018361287;549.98292489147366;1000.1200775745162;0.099847580718285631;0.18154464229168418;0.18154537220304115;0.18154656681676309;0.45007596868368699;0.45007645059802698;20.653667315727535;21.905270767056855;12.538482183546661;8.9900037722166122;9.4191994604073113;30.753289361490829;1.526372030940826e-05;4.1696020707634828e-05;4.1861661425861717e-05;4.2492921963356577e-05;7.9840455645767801e-06;8.5001414849817149e-06;450.13715268304151;450.13848739090241;99.84443750057109;549.98159018361287;549.98292489147366;1000.1200775745162;0.099847580718285631;0.18154464229168418;0.18154537220304115;0.18154656681676309;0.45007596868368699;0.45007645059802698;20.653667315727535;21.905270767056855;12.538482183546661;8.9900037722166122;9.4191994604073113;30.753289361490829;1.526372030940826e-05;4.1696020707634828e-05;4.1861661425861717e-05;4.2492921963356577e-05;7.9840455645767801e-06;8.5001414849817149e-06;450.13715268304151;450.13848739090241;99.84443750057109;549.98159018361287;549.98292489147366;1000.1200775745162;0.099847580718285631;0.18154464229168418;0.18154537220304115;0.18154656681676309;0.45007596868368699;0.45007645059802698;20.653667315727535;21.905270767056855;12.538482183546661;8.9900037722166122;9.4191994604073113;30.753289361490829;1.526372030940826e-05;4.1696020707634828e-05;4.1861661425861717e-05;4.2492921963356577e-05;7.9840455645767801e-06;8.5001414849817149e-06;0.94193374397071228;0.94207423608437968;0.70885254987530644;0.70908913855133371;
495;495;10;505;505;1000;0.01;0.019801980198019802;0.019801980198019802;0.019801980198019802;0.495;0.495;495.14106580995667;495.20617614862243;9.7738968852249695;504.914962695182;504.9800730338473;1000.121138843803;0.0097884021906587612;0.019358068942880936;0.019358707493488767;0.019357729886334805;0.49507338036053777;0.49513821744880454;22.80436393342087;23.472328470879319;14.73088872361728;7.8024301265704237;7.6692877618021136;31.238020709232583;1.5046063120738919e-05;5.7826988225922431e-05;5.7792874189864653e-05;5.7876292935158904e-05;7.5095115388732664e-06;7.9194229060187912e-06;495.14106580995667;495.20617614862243;9.7738968852249695;504.914962695182;504.9800730338473;1000.121138843803;0.0097884021906587612;0.019358068942880936;0.019358707493488767;0.019357729886334805;0.49507338036053777;0.49513821744880454;22.80436393342087;23.472328470879319;14.73088872361728;7.8024301265704237;7.6692877618021136;31.238020709232583;1.5046063120738919e-05;5.7826988225922431e-05;5.7792874189864653e-05;5.7876292935158904e-05;7.5095115388732664e-06;7.9194229060187912e-06;495.14106580995667;495.20617614862243;9.7738968852249695;504.914962695182;504.9800730338473;1000.121138843803;0.0097884021906587612;0.019358068942880936;0.019358707493488767;0.019357729886334805;0.49507338036053777;0.49513821744880454;22.80436393342087;23.472328470879319;14.73088872361728;7.8024301265704237;7.6692877618021136;31.238020709232583;1.5046063120738919e-05;5.7826988225922431e-05;5.7792874189864653e-05;5.7876292935158904e-05;7.5095115388732664e-06;7.9194229060187912e-06;0.93612911939203414;0.93629910375817293;0.85771528118359985;0.85803016358393513;
499;500;1;500;501;1000;0.001;0.0019980029950087343;0.002;0.001996007984031936;0.499;0.5;498.00385507660013;499.04321516331021;1.9296564461751959;499.93351152277535;500.97287160948582;998.97672668608686;0.0019387834192933701;0.0038562893950060983;0.0038593999586084438;0.003853239832904737;0.49851064083139474;0.49955057574931244;15.07431109721376;15.960620172927372;7.7340004913703773;7.4848775488425661;7.5248384699504314;23.08162606974388;7.8529442120325901e-06;3.0895298099952615e-05;3.0921057947110053e-05;3.0871997607658702e-05;5.5730572811851932e-06;6.0007004143509639e-06;498.00385507660013;499.04321516331021;1.9296564461751959;499.93351152277535;500.97287160948582;998.97672668608686;0.0019387834192933701;0.0038562893950060983;0.0038593999586084438;0.003853239832904737;0.49851064083139474;0.49955057574931244;15.07431109721376;15.960620172927372;7.7340004913703773;7.4848775488425661;7.5248384699504314;23.08162606974388;7.8529442120325901e-06;3.0895298099952615e-05;3.0921057947110053e-05;3.0871997607658702e-05;5.5730572811851932e-06;6.0007004143509639e-06;498.00385507660013;499.04321516331021;1.9296564461751959;499.93351152277535;500.97287160948582;998.97672668608686;0.0019387834192933701;0.0038562893950060983;0.0038593999586084438;0.003853239832904737;0.49851064083139474;0.49955057574931244;15.07431109721376;15.960620172927372;7.7340004913703773;7.4848775488425661;7.5248384699504314;23.08162606974388;7.8529442120325901e-06;3.0895298099952615e-05;3.0921057947110053e-05;3.0871997607658702e-05;5.5730572811851932e-06;6.0007004143509639e-06;0.93554808833695657;0.93572117947508415;0.8733802678122935;0.87370382027501703;
540;360;100;640;460;1000;0.10000000000000001;0.18430244519362141;0.15625;0.21739130434782608;0.54000000000000004;0.35999999999999999;540.12537091368119;360.0053932121167;99.996397590961962;640.12176850464334;460.00179080307828;1000.1271617167615;0.099998334776553191;0.18428017885233922;0.15621745605320306;0.21738725618176449;0.54004922028828883;0.35995244493515777;23.742078754274868;18.427208417160706;12.865685385466502;12.475605099579287;6.3919721971830255;29.925570075219809;1.5520199316409084e-05;4.3507210468283693e-05;3.1548527224694224e-05;6.1401770360626531e-05;6.9535733679783572e-06;9.4089120472574489e-06;540.12537091368119;360.0053932121167;99.996397590961962;640.12176850464334;460.00179080307828;1000.1271617167615;0.099998334776553191;0.18428017885233922;0.15621745605320306;0.21738725618176449;0.54004922028828883;0.35995244493515777;23.742078754274868;18.427208417160706;12.865685385466502;12.475605099579287;6.3919721971830255;29.925570075219809;1.5520199316409084e-05;4.3507210468283693e-05;3.1548527224694224e-05;6.1401770360626531e-05;6.9535733679783572e-06;9.4089120472574489e-06;540.12537091368119;360.0053932121167;99.996397590961962;640.12176850464334;460.00179080307828;1000.1271617167615;0.099998334776553191;0.18428017885233922;0.15621745605320306;0.21738725618176449;0.54004922028828883;0.35995244493515777;23.742078754274868;18.427208417160706;12.865685385466502;12.475605099579287;6.3919721971830255;29.925570075219809;1.5520199316409084e-05;4.3507210468283693e-05;3.1548527224694224e-05;6.1401770360626531e-05;6.9535733679783572e-06;9.4089120472574489e-06;0.94192497292128707;0.9420655071776467;0.70883777341095278;0.7090744306664355;
594;396;10;604;406;1000;0.01;0.02019382153885356;0.016556291390728478;0.024630541871921183;0.59399999999999997;0.39600000000000002;594.12919667583571;395.95785297727582;10.005553866826801;604.13475054266348;405.96340684410183;1000.0926035199382;0.010020256995175322;0.0202035877105043;0.016563478061236828;0.024644030498202289;0.59406619058461307;0.39591355242021103;26.443085216236867;19.152636364852757;15.390635827768811;10.164816300399455;4.7899583488900674;30.114071987341188;1.5724695344887112e-05;6.2713806716285333e-05;4.2212112504468457e-05;9.319609611738748e-05;6.3296184150395919e-06;8.4027467938251167e-06;594.12919667583571;395.95785297727582;10.005553866826801;604.13475054266348;405.96340684410183;1000.0926035199382;0.010020256995175322;0.0202035877105043;0.016563478061236828;0.024644030498202289;0.59406619058461307;0.39591355242021103;26.443085216236867;19.152636364852757;15.390635827768811;10.164816300399455;4.7899583488900674;30.114071987341188;1.5724695344887112e-05;6.2713806716285333e-05;4.2212112504468457e-05;9.319609611738748e-05;6.3296184150395919e-06;8.4027467938251167e-06;594.12919667583571;395.95785297727582;10.005553866826801;604.13475054266348;405.96340684410183;1000.0926035199382;0.010020256995175322;0.0202035877105043;0.016563478061236828;0.024644030498202289;0.59406619058461307;0.39591355242021103;26.443085216236867;19.152636364852757;15.390635827768811;10.164816300399455;4.7899583488900674;30.114071987341188;1.5724695344887112e-05;6.2713806716285333e-05;4.2212112504468457e-05;9.319609611738748e-05;6.3296184150395919e-06;8.4027467938251167e-06;0.93612792379222276;0.93629791435296972;0.85771306256655022;0.85802795607923166;
599;400;1;600;401;1000;0.001;0.0020386946747183244;0.0016666666666666668;0.0024937655860349127;0.59899999999999998;0.40000000000000002;597.96679875182497;398.80464732527452;2.1509099603213149;600.11770871214583;400.95555728559606;998.92235603742029;0.0021606325472017882;0.0043838336943433538;0.0035842245186753249;0.0053619045807090241;0.5986074448226284;0.39923192263016988;18.822892229617086;12.998765584988933;9.0820308211655885;10.032491881357288;4.681187086760259;22.624153567382585;9.2109829542261978e-06;3.7706205215892593e-05;2.520727835692184e-05;5.6406868520623044e-05;4.9530881148752975e-06;6.4279520085411699e-06;597.96679875182497;398.80464732527452;2.1509099603213149;600.11770871214583;400.95555728559606;998.92235603742029;0.0021606325472017882;0.0043838336943433538;0.0035842245186753249;0.0053619045807090241;0.5986074448226284;0.39923192263016988;18.822892229617086;12.998765584988933;9.0820308211655885;10.032491881357288;4.681187086760259;22.624153567382585;9.2109829542261978e-06;3.7706205215892593e-05;2.520727835692184e-05;5.6406868520623044e-05;4.9530881148752975e-06;6.4279520085411699e-06;597.96679875182497;398.80464732527452;2.1509099603213149;600.11770871214583;400.95555728559606;998.92235603742029;0.0021606325472017882;0.0043838336943433538;0.0035842245186753249;0.0053619045807090241;0.5986074448226284;0.39923192263016988;18.822892229617086;12.998765584988933;9.0820308211655885;10.032491881357288;4.681187086760259;22.624153567382585;9.2109829542261978e-06;3.7706205215892593e-05;2.520727835692184e-05;5.6406868520623044e-05;4.9530881148752975e-06;6.4279520085411699e-06;0.93554855301152329;0.93572164146272652;0.87338113174584953;0.87370467939534779;
623;277;100;723;377;1000;0.10000000000000001;0.19154030571213676;0.13831258644536654;0.26525198938992045;0.623;0.27700000000000002;623.15177491127156;276.96377245460116;99.971269118318688;723.12304402958875;376.93504157291898;1000.0868164841906;0.099976658393084325;0.19148861003598758;0.13825345031579109;0.26522590252388301;0.62309026549099955;0.27693307611591672;27.062254904302598;14.721457221819042;11.412930008322274;15.661411552933847;4.3865668037655485;31.882609608591579;1.3928935138009791e-05;4.1974055367517125e-05;2.2412310559606075e-05;8.0535722976551063e-05;5.4558232523962992e-06;8.610848656291055e-06;623.15177491127156;276.96377245460116;99.971269118318688;723.12304402958875;376.93504157291898;1000.0868164841906;0.099976658393084325;0.19148861003598758;0.13825345031579109;0.26522590252388301;0.62309026549099955;0.27693307611591672;27.062254904302598;14.721457221819042;11.412930008322274;15.661411552933847;4.3865668037655485;31.882609608591579;1.3928935138009791e-05;4.1974055367517125e-05;2.2412310559606075e-05;8.0535722976551063e-05;5.4558232523962992e-06;8.610848656291055e-06;623.15177491127156;276.96377245460116;99.971269118318688;723.12304402958875;376.93504157291898;1000.0868164841906;0.099976658393084325;0.19148861003598758;0.13825345031579109;0.26522590252388301;0.62309026549099955;0.27693307611591672;27.062254904302598;14.721457221819042;11.412930008322274;15.661411552933847;4.3865668037655485;31.882609608591579;1.3928935138009791e-05;4.1974055367517125e-05;2.2412310559606075e-05;8.0535722976551063e-05;5.4558232523962992e-06;8.610848656291055e-06;0.94191699979914956;0.9420575729207975;0.70882435455799686;0.70906107496235682;
685;305;10;695;315;1000;0.01;0.021372352121250049;0.014388489208633094;0.031746031746031744;0.68500000000000005;0.30499999999999999;684.98705860642247;304.95214464908332;10.030413995547779;695.01747260197067;314.98255864463096;999.96961725105473;0.010044738300328098;0.021438606603877444;0.014432578356730622;0.031846069193743505;0.6850006677108762;0.30495459398879582;29.118684294375996;16.488568869025517;13.501780015101787;15.406566922196971;2.8257359814472531;32.175379874036082;1.3798349360106497e-05;6.1672985904152061e-05;2.7957205004406697e-05;0.00013609076312502292;4.1749468342121215e-06;9.3490540663241561e-06;684.98705860642247;304.95214464908332;10.030413995547779;695.01747260197067;314.98255864463096;999.96961725105473;0.010044738300328098;0.021438606603877444;0.014432578356730622;0.031846069193743505;0.6850006677108762;0.30495459398879582;29.118684294375996;16.488568869025517;13.501780015101787;15.406566922196971;2.8257359814472531;32.175379874036082;1.3798349360106497e-05;6.1672985904152061e-05;2.7957205004406697e-05;0.00013609076312502292;4.1749468342121215e-06;9.3490540663241561e-06;684.98705860642247;304.95214464908332;10.030413995547779;695.01747260197067;314.98255864463096;999.96961725105473;0.010044738300328098;0.021438606603877444;0.014432578356730622;0.031846069193743505;0.6850006677108762;0.30495459398879582;29.118684294375996;16.488568869025517;13.501780015101787;15.406566922196971;2.8257359814472531;32.175379874036082;1.3798349360106497e-05;6.1672985904152061e-05;2.7957205004406697e-05;0.00013609076312502292;4.1749468342121215e-06;9.3490540663241561e-06;0.93612533405122833;0.93629533875120508;0.85770827422086227;0.85802319295733898;
691;308;1;692;309;1000;0.001;0.0021625577457933874;0.0014450867052023121;0.0032362459546925568;0.69099999999999995;0.308;689.93505347127109;306.93808313820523;2.0340929844860889;691.96914645575794;308.97217612269139;998.9072295939643;0.0020430384943664007;0.0043992022621065453;0.0029394485943331212;0.0065839848428465289;0.6906851519205901;0.30727180958504274;22.225496235249604;10.610303986235962;7.7716024594322022;14.59885004249457;2.711661199018057;25.022411259936813;7.8781442168147579e-06;3.6342125224247989e-05;1.6228507894183942e-05;8.1391743690017494e-05;3.4220784456664064e-06;6.5516720614131654e-06;689.93505347127109;306.93808313820523;2.0340929844860889;691.96914645575794;308.97217612269139;998.9072295939643;0.0020430384943664007;0.0043992022621065453;0.0029394485943331212;0.0065839848428465289;0.6906851519205901;0.30727180958504274;22.225496235249604;10.610303986235962;7.7716024594322022;14.59885004249457;2.711661199018057;25.022411259936813;7.8781442168147579e-06;3.6342125224247989e-05;1.6228507894183942e-05;8.1391743690017494e-05;3.4220784456664064e-06;6.5516720614131654e-06;689.93505347127109;306.93808313820523;2.0340929844860889;691.96914645575794;308.97217612269139;998.9072295939643;0.0020430384943664007;0.0043992022621065453;0.0029394485943331212;0.0065839848428465289;0.6906851519205901;0.30727180958504274;22.225496235249604;10.610303986235962;7.7716024594322022;14.59885004249457;2.711661199018057;25.022411259936813;7.8781442168147579e-06;3.6342125224247989e-05;1.6228507894183942e-05;8.1391743690017494e-05;3.4220784456664064e-06;6.5516720614131654e-06;0.93554583037464512;0.93571893360243052;0.87337604655532397;0.87369962084704389;
694;206;100;794;306;1000;0.10000000000000001;0.20287523483519407;0.12594458438287154;0.32679738562091504;0.69399999999999995;0.20599999999999999;694.13623232774376;206.15863934185805;99.868827179311936;794.00505950705565;306.0274665211698;1000.1636988489153;0.099864582565960883;0.20260276292556462;0.12578209095570711;0.32634594208872619;0.69401571822225205;0.20611969921178744;28.997644921371947;11.70779879789113;9.5193494493921857;20.118045155976045;2.7617957776573805;32.051730997448409;1.1641431864932163e-05;3.9304093410216677e-05;1.5482725896179983e-05;0.00010282883387116427;3.9904468777669609e-06;8.2073254445585443e-06;694.13623232774376;206.15863934185805;99.868827179311936;794.00505950705565;306.0274665211698;1000.1636988489153;0.099864582565960883;0.20260276292556462;0.12578209095570711;0.32634594208872619;0.69401571822225205;0.20611969921178744;28.997644921371947;11.70779879789113;9.5193494493921857;20.118045155976045;2.7617957776573805;32.051730997448409;1.1641431864932163e-05;3.9304093410216677e-05;1.5482725896179983e-05;0.00010282883387116427;3.9904468777669609e-06;8.2073254445585443e-06;694.13623232774376;206.15863934185805;99.868827179311936;794.00505950705565;306.0274665211698;1000.1636988489153;0.099864582565960883;0.20260276292556462;0.12578209095570711;0.32634594208872619;0.69401571822225205;0.20611969921178744;28.997644921371947;11.70779879789113;9.5193494493921857;20.118045155976045;2.7617957776573805;32.051730997448409;1.1641431864932163e-05;3.9304093410216677e-05;1.5482725896179983e-05;0.00010282883387116427;3.9904468777669609e-06;8.2073254445585443e-06;0.94190630231668415;0.9420469273743487;0.70880634555396571;0.7090431503803164;
