name=GeneralizedHyperLogLog;numRegisters=16384;q=62;base=2.00000000000000000e+00;a=6.10351562500000000e-05;seed=ddcd924a08baac8c;numExamples=1000;
trueDifference1;trueDifference2;trueIntersection;true1;true2;trueUnion;trueJaccard;trueCosine;trueInclusionCoefficient1;trueInclusionCoefficient2;trueAlpha;trueBeta;mlMeanDifference1;mlMeanDifference2;mlMeanIntersection;mlMean1;mlMean2;mlMeanUnion;mlMeanJaccard;mlMeanCosine;mlMeanInclusionCoefficient1;mlMeanInclusionCoefficient2;mlMeanAlpha;mlMeanBeta;mlMSEDifference1;mlMSEDifference2;mlMSEIntersection;mlMSE1;mlMSE2;mlMSEUnion;mlMSEJaccard;mlMSECosine;mlMSEInclusionCoefficient1;mlMSEInclusionCoefficient2;mlMSEAlpha;mlMSEBeta;simpleMeanDifference1;simpleMeanDifference2;simpleMeanIntersection;simpleMean1;simpleMean2;simpleMeanUnion;simpleMeanJaccard;simpleMeanCosine;simpleMeanInclusionCoefficient1;simpleMeanInclusionCoefficient2;simpleMeanAlpha;simpleMeanBeta;simpleMSEDifference1;simpleMSEDifference2;simpleMSEIntersection;simpleMSE1;simpleMSE2;simpleMSEUnion;simpleMSEJaccard;simpleMSECosine;simpleMSEInclusionCoefficient1;simpleMSEInclusionCoefficient2;simpleMSEAlpha;simpleMSEBeta;inclExclMeanDifference1;inclExclMeanDifference2;inclExclMeanIntersection;inclExclMean1;inclExclMean2;inclExclMeanUnion;inclExclMeanJaccard;inclExclMeanCosine;inclExclMeanInclusionCoefficient1;inclExclMeanInclusionCoefficient2;inclExclMeanAlpha;inclExclMeanBeta;inclExclMSEDifference1;inclExclMSEDifference2;inclExclMSEIntersection;inclExclMSE1;inclExclMSE2;inclExclMSEUnion;inclExclMSEJaccard;inclExclMSECosine;inclExclMSEInclusionCoefficient1;inclExclMSEInclusionCoefficient2;inclExclMSEAlpha;inclExclMSEBeta;collLowerBoundMeanJaccard;collUpperBoundMeanJaccard;collLowerBoundMSEJaccard;collUpperBoundMSEJaccard;
450;450;100;550;550;1000;0.10000000000000001;0.18181818181818182;0.18181818181818182;0.18181818181818182;0.45000000000000001;0.45000000000000001;450.13144127961993;450.02151677779648;99.913640110605982;550.04508139022619;549.93515688840318;1000.0665981680227;0.099923630566371782;0.1816694717268742;0.181652512650887;0.18168928614044844;0.45009290032427884;0.44998346910935;23.21983768715241;22.992177979641422;12.911266147500104;10.263487851227678;9.4958431240866048;34.119608165806497;1.5923961750585882e-05;4.3433280344732287e-05;4.3827936025777631e-05;4.4081706221273573e-05;8.6155318946154505e-06;8.8392183056707576e-06;450.13144127961993;450.02151677779648;99.913640110605982;550.04508139022619;549.93515688840318;1000.0665981680227;0.099923630566371782;0.1816694717268742;0.181652512650887;0.18168928614044844;0.45009290032427884;0.44998346910935;23.21983768715241;22.992177979641422;12.911266147500104;10.263487851227678;9.4958431240866048;34.119608165806497;1.5923961750585882e-05;4.3433280344732287e-05;4.3827936025777631e-05;4.4081706221273573e-05;8.6155318946154505e-06;8.8392183056707576e-06;450.13144127961993;450.02151677779648;99.913640110605982;550.04508139022619;549.93515688840318;1000.0665981680227;0.099923630566371782;0.1816694717268742;0.181652512650887;0.18168928614044844;0.45009290032427884;0.44998346910935;23.21983768715241;22.992177979641422;12.911266147500104;10.263487851227678;9.4958431240866048;34.119608165806497;1.5923961750585882e-05;4.3433280344732287e-05;4.3827936025777631e-05;4.4081706221273573e-05;8.6155318946154505e-06;8.8392183056707576e-06;0.92719786446326991;0.92786041713409428;0.68425657740048218;0.68535313093773276;
495;495;10;505;505;1000;0.01;0.019801980198019802;0.019801980198019802;0.019801980198019802;0.495;0.495;495.08256199071928;494.98534989685646;9.8867839188922986;504.96934590961109;504.87213381574901;999.95469580646864;0.009903207940083732;0.019582073422574991;0.019580962644582839;0.019583499566338078;0.49509666300764166;0.49500012905227431;24.212480960770502;23.21795307352863;15.27944667877275;8.2494211343916142;7.8935795256928154;32.095703674497173;1.5615292865439425e-05;5.9958676407361048e-05;6.0008610826386127e-05;5.9924829223890241e-05;8.12539361278155e-06;7.7961424202877667e-06;495.08256199071928;494.98534989685646;9.8867839188922986;504.96934590961109;504.87213381574901;999.95469580646864;0.009903207940083732;0.019582073422574991;0.019580962644582839;0.019583499566338078;0.49509666300764166;0.49500012905227431;24.212480960770502;23.21795307352863;15.27944667877275;8.2494211343916142;7.8935795256928154;32.095703674497173;1.5615292865439425e-05;5.9958676407361048e-05;6.0008610826386127e-05;5.9924829223890241e-05;8.12539361278155e-06;7.7961424202877667e-06;495.08256199071928;494.98534989685646;9.8867839188922986;504.96934590961109;504.87213381574901;999.95469580646864;0.009903207940083732;0.019582073422574991;0.019580962644582839;0.019583499566338078;0.49509666300764166;0.49500012905227431;24.212480960770502;23.21795307352863;15.27944667877275;8.2494211343916142;7.8935795256928154;32.095703674497173;1.5615292865439425e-05;5.9958676407361048e-05;6.0008610826386127e-05;5.9924829223890241e-05;8.12539361278155e-06;7.7961424202877667e-06;0.9199598582568107;0.92076069732817101;0.82802723191942529;0.82948532465959146;
499;500;1;500;501;1000;0.001;0.0019980029950087343;0.002;0.001996007984031936;0.499;0.5;497.89696635841858;498.87310482596439;2.0566653283429845;499.95363168676101;500.92977015430705;998.82673651272569;0.0020670351528639863;0.0041103136634250432;0.0041150856701468166;0.0041056147245655174;0.49847746871124438;0.49945549613589185;17.520092489255084;16.5051695668073;8.7083074949199677;8.0949818410146115;7.7486660329490062;24.931395235711239;8.8517080178469847e-06;3.4800757398203385e-05;3.4893285271908675e-05;3.4711318514718459e-05;6.4626825467430961e-06;6.1101600833566378e-06;497.89696635841858;498.87310482596439;2.0566653283429845;499.95363168676101;500.92977015430705;998.82673651272569;0.0020670351528639863;0.0041103136634250432;0.0041150856701468166;0.0041056147245655174;0.49847746871124438;0.49945549613589185;17.520092489255084;16.5051695668073;8.7083074949199677;8.0949818410146115;7.7486660329490062;24.931395235711239;8.8517080178469847e-06;3.4800757398203385e-05;3.4893285271908675e-05;3.4711318514718459e-05;6.4626825467430961e-06;6.1101600833566378e-06;497.89696635841858;498.87310482596439;2.0566653283429845;499.95363168676101;500.92977015430705;998.82673651272569;0.0020670351528639863;0.0041103136634250432;0.0041150856701468166;0.0041056147245655174;0.49847746871124438;0.49945549613589185;17.520092489255084;16.5051695668073;8.7083074949199677;8.0949818410146115;7.7486660329490062;24.931395235711239;8.8517080178469847e-06;3.4800757398203385e-05;3.4893285271908675e-05;3.4711318514718459e-05;6.4626825467430961e-06;6.1101600833566378e-06;0.91923429725349881;0.92004972176554001;0.84315452200886798;0.84465267655002763;
540;360;100;640;460;1000;0.10000000000000001;0.18430244519362141;0.15625;0.21739130434782608;0.54000000000000004;0.35999999999999999;539.99945237657039;359.9871948574916;99.949439272855983;639.94889164942617;459.93663413034665;999.93608650691647;0.099969302976760793;0.18423108333322305;0.15618574726612783;0.21731552915403801;0.54002737517791866;0.36000332184532013;22.599278176734185;17.895530157330377;12.142923458528649;12.511796892985901;7.0319595213417543;29.931453587366185;1.4548572053388444e-05;4.080485317617333e-05;2.9619540637303394e-05;5.7590544431957805e-05;6.7727640084589814e-06;9.0636531353047761e-06;539.99945237657039;359.9871948574916;99.949439272855983;639.94889164942617;459.93663413034665;999.93608650691647;0.099969302976760793;0.18423108333322305;0.15618574726612783;0.21731552915403801;0.54002737517791866;0.36000332184532013;22.599278176734185;17.895530157330377;12.142923458528649;12.511796892985901;7.0319595213417543;29.931453587366185;1.4548572053388444e-05;4.080485317617333e-05;2.9619540637303394e-05;5.7590544431957805e-05;6.7727640084589814e-06;9.0636531353047761e-06;539.99945237657039;359.9871948574916;99.949439272855983;639.94889164942617;459.93663413034665;999.93608650691647;0.099969302976760793;0.18423108333322305;0.15618574726612783;0.21731552915403801;0.54002737517791866;0.36000332184532013;22.599278176734185;17.895530157330377;12.142923458528649;12.511796892985901;7.0319595213417543;29.931453587366185;1.4548572053388444e-05;4.080485317617333e-05;2.9619540637303394e-05;5.7590544431957805e-05;6.7727640084589814e-06;9.0636531353047761e-06;0.92720068505608877;0.92786318258235445;0.68426121331108591;0.68535768038071887;
594;396;10;604;406;1000;0.01;0.02019382153885356;0.016556291390728478;0.024630541871921183;0.59399999999999997;0.39600000000000002;593.77625148469485;395.85798215198577;10.017951270056798;603.79420275475297;405.87593342204286;999.65218490673999;0.010034929908613245;0.020235872423504112;0.016591410924575844;0.024681257666764735;0.59397595856027352;0.39598911153111349;24.652938322786049;18.432411769328215;13.755232835152652;11.453343488303064;5.2783013668798819;29.817317476758742;1.4067000501428032e-05;5.6082364679855889e-05;3.7714179157394315e-05;8.342031702008424e-05;5.9708141836222439e-06;8.5626627455721979e-06;593.77625148469485;395.85798215198577;10.017951270056798;603.79420275475297;405.87593342204286;999.65218490673999;0.010034929908613245;0.020235872423504112;0.016591410924575844;0.024681257666764735;0.59397595856027352;0.39598911153111349;24.652938322786049;18.432411769328215;13.755232835152652;11.453343488303064;5.2783013668798819;29.817317476758742;1.4067000501428032e-05;5.6082364679855889e-05;3.7714179157394315e-05;8.342031702008424e-05;5.9708141836222439e-06;8.5626627455721979e-06;593.77625148469485;395.85798215198577;10.017951270056798;603.79420275475297;405.87593342204286;999.65218490673999;0.010034929908613245;0.020235872423504112;0.016591410924575844;0.024681257666764735;0.59397595856027352;0.39598911153111349;24.652938322786049;18.432411769328215;13.755232835152652;11.453343488303064;5.2783013668798819;29.817317476758742;1.4067000501428032e-05;5.6082364679855889e-05;3.7714179157394315e-05;8.342031702008424e-05;5.9708141836222439e-06;8.5626627455721979e-06;0.91997386786460666;0.92077442287698219;0.82805269847099383;0.82951029741724169;
599;400;1;600;401;1000;0.001;0.0020386946747183244;0.0016666666666666668;0.0024937655860349127;0.59899999999999998;0.40000000000000002;597.76138864921882;398.88013610341528;2.0540201764305781;599.81540882564923;400.93415627984569;998.69554492906377;0.0020638720760604058;0.004188458790888961;0.0034243151993266852;0.0051232012946195648;0.59853798979339423;0.39939813813054476;19.848622488463615;13.653663685253912;8.2612951155798005;11.348907141598977;5.2715817780038341;25.831081782372245;8.3982852780265654e-06;3.436374172503819e-05;2.2975199207827384e-05;5.1401296122380155e-05;4.9512000662294826e-06;6.5882896090743763e-06;597.76138864921882;398.88013610341528;2.0540201764305781;599.81540882564923;400.93415627984569;998.69554492906377;0.0020638720760604058;0.004188458790888961;0.0034243151993266852;0.0051232012946195648;0.59853798979339423;0.39939813813054476;19.848622488463615;13.653663685253912;8.2612951155798005;11.348907141598977;5.2715817780038341;25.831081782372245;8.3982852780265654e-06;3.436374172503819e-05;2.2975199207827384e-05;5.1401296122380155e-05;4.9512000662294826e-06;6.5882896090743763e-06;597.76138864921882;398.88013610341528;2.0540201764305781;599.81540882564923;400.93415627984569;998.69554492906377;0.0020638720760604058;0.004188458790888961;0.0034243151993266852;0.0051232012946195648;0.59853798979339423;0.39939813813054476;19.848622488463615;13.653663685253912;8.2612951155798005;11.348907141598977;5.2715817780038341;25.831081782372245;8.3982852780265654e-06;3.436374172503819e-05;2.2975199207827384e-05;5.1401296122380155e-05;4.9512000662294826e-06;6.5882896090743763e-06;0.91924457442933283;0.92005978854067083;0.8431733726005467;0.84467115809672488;
623;277;100;723;377;1000;0.10000000000000001;0.19154030571213676;0.13831258644536654;0.26525198938992045;0.623;0.27700000000000002;622.90276333376346;276.94769175412262;100.03158337260241;722.93434670636589;376.9792751267243;999.88203846048896;0.10005613995872795;0.19161694689065578;0.13837220911517981;0.26535391492310784;0.62296917836306909;0.27697468167820444;26.39029532866536;14.136934484296876;10.924358726990073;16.51464706774232;4.6831050860619952;30.815139578099544;1.3188645344825426e-05;3.9737971823140471e-05;2.1234972737575283e-05;7.644468600001244e-05;5.6442291449617322e-06;8.6377088944229284e-06;622.90276333376346;276.94769175412262;100.03158337260241;722.93434670636589;376.9792751267243;999.88203846048896;0.10005613995872795;0.19161694689065578;0.13837220911517981;0.26535391492310784;0.62296917836306909;0.27697468167820444;26.39029532866536;14.136934484296876;10.924358726990073;16.51464706774232;4.6831050860619952;30.815139578099544;1.3188645344825426e-05;3.9737971823140471e-05;2.1234972737575283e-05;7.644468600001244e-05;5.6442291449617322e-06;8.6377088944229284e-06;622.90276333376346;276.94769175412262;100.03158337260241;722.93434670636589;376.9792751267243;999.88203846048896;0.10005613995872795;0.19161694689065578;0.13837220911517981;0.26535391492310784;0.62296917836306909;0.27697468167820444;26.39029532866536;14.136934484296876;10.924358726990073;16.51464706774232;4.6831050860619952;30.815139578099544;1.3188645344825426e-05;3.9737971823140471e-05;2.1234972737575283e-05;7.644468600001244e-05;5.6442291449617322e-06;8.6377088944229284e-06;0.92717501561662996;0.92783798036353604;0.68421874608519129;0.68531595271904255;
685;305;10;695;315;1000;0.01;0.021372352121250049;0.014388489208633094;0.031746031746031744;0.68500000000000005;0.30499999999999999;684.9879742504661;304.99995930060112;9.9151084415291262;694.90308269199647;314.91506774212974;999.90304199259822;0.0099283317449399121;0.021194485044188992;0.014268119934859921;0.031483713495613859;0.68504806887426262;0.30502359938079804;27.370494905851075;15.357009913518354;12.516227895458321;15.528587652723527;3.3220883877910699;30.861078976379922;1.2774964835319066e-05;5.7119332840256766e-05;2.5898514495111823e-05;0.00012601779120053884;4.2507707352502011e-06;8.8800698247113304e-06;684.9879742504661;304.99995930060112;9.9151084415291262;694.90308269199647;314.91506774212974;999.90304199259822;0.0099283317449399121;0.021194485044188992;0.014268119934859921;0.031483713495613859;0.68504806887426262;0.30502359938079804;27.370494905851075;15.357009913518354;12.516227895458321;15.528587652723527;3.3220883877910699;30.861078976379922;1.2774964835319066e-05;5.7119332840256766e-05;2.5898514495111823e-05;0.00012601779120053884;4.2507707352502011e-06;8.8800698247113304e-06;684.9879742504661;304.99995930060112;9.9151084415291262;694.90308269199647;314.91506774212974;999.90304199259822;0.0099283317449399121;0.021194485044188992;0.014268119934859921;0.031483713495613859;0.68504806887426262;0.30502359938079804;27.370494905851075;15.357009913518354;12.516227895458321;15.528587652723527;3.3220883877910699;30.861078976379922;1.2774964835319066e-05;5.7119332840256766e-05;2.5898514495111823e-05;0.00012601779120053884;4.2507707352502011e-06;8.8800698247113304e-06;0.9199076987623217;0.92070957853534818;0.82793228173365785;0.82939218754116328;
691;308;1;692;309;1000;0.001;0.0021625577457933874;0.0014450867052023121;0.0032362459546925568;0.69099999999999995;0.308;689.98858093099909;307.00933680462987;1.9195403127217547;691.90812124372007;308.92887711735182;998.91745804835091;0.0019274390083825865;0.0041508848023045983;0.0027736710755699731;0.0062120267819207528;0.69073199689640474;0.30734056409521243;21.950433889561118;10.001598567179954;7.0765684872649688;15.363342535412173;3.1213043145706334;25.226335898633817;7.1726853970949518e-06;3.3082444314762824e-05;1.4776068877574987e-05;7.4074985669191513e-05;3.5777741769854083e-06;6.3220755321138723e-06;689.98858093099909;307.00933680462987;1.9195403127217547;691.90812124372007;308.92887711735182;998.91745804835091;0.0019274390083825865;0.0041508848023045983;0.0027736710755699731;0.0062120267819207528;0.69073199689640474;0.30734056409521243;21.950433889561118;10.001598567179954;7.0765684872649688;15.363342535412173;3.1213043145706334;25.226335898633817;7.1726853970949518e-06;3.3082444314762824e-05;1.4776068877574987e-05;7.4074985669191513e-05;3.5777741769854083e-06;6.3220755321138723e-06;689.98858093099909;307.00933680462987;1.9195403127217547;691.90812124372007;308.92887711735182;998.91745804835091;0.0019274390083825865;0.0041508848023045983;0.0027736710755699731;0.0062120267819207528;0.69073199689640474;0.30734056409521243;21.950433889561118;10.001598567179954;7.0765684872649688;15.363342535412173;3.1213043145706334;25.226335898633817;7.1726853970949518e-06;3.3082444314762824e-05;1.4776068877574987e-05;7.4074985669191513e-05;3.5777741769854083e-06;6.3220755321138723e-06;0.91917833328108789;0.91999488424848619;0.84305171763484832;0.84455185256938581;
694;206;100;794;306;1000;0.10000000000000001;0.20287523483519407;0.12594458438287154;0.32679738562091504;0.69399999999999995;0.20599999999999999;694.01508258728074;206.0603654807974;99.953233254945047;793.96831584222559;306.01359873574194;1000.0286813230222;0.099961560064919658;0.20278273673802036;0.12589394192649264;0.32663553085879637;0.69398855822270444;0.20604988171237565;27.548350471048593;10.931612777211337;8.9674441349277192;19.382997910678267;2.7026156744746501;29.934720636609367;1.0922719901229515e-05;3.6835433551163024e-05;1.4557760873521567e-05;9.6240755241914431e-05;3.957551916628615e-06;7.7903677427366087e-06;694.01508258728074;206.0603654807974;99.953233254945047;793.96831584222559;306.01359873574194;1000.0286813230222;0.099961560064919658;0.20278273673802036;0.12589394192649264;0.32663553085879637;0.69398855822270444;0.20604988171237565;27.548350471048593;10.931612777211337;8.9674441349277192;19.382997910678267;2.7026156744746501;29.934720636609367;1.0922719901229515e-05;3.6835433551163024e-05;1.4557760873521567e-05;9.6240755241914431e-05;3.957551916628615e-06;7.7903677427366087e-06;694.01508258728074;206.0603654807974;99.953233254945047;793.96831584222559;306.01359873574194;1000.0286813230222;0.099961560064919658;0.20278273673802036;0.12589394192649264;0.32663553085879637;0.69398855822270444;0.20604988171237565;27.548350471048593;10.931612777211337;8.9674441349277192;19.382997910678267;2.7026156744746501;29.934720636609367;1.0922719901229515e-05;3.6835433551163024e-05;1.4557760873521567e-05;9.6240755241914431e-05;3.957551916628615e-06;7.7903677427366087e-06;0.92710614737771779;0.92777036460646511;0.68410480310987487;0.68520399251210373;
