name=GeneralizedHyperLogLog;numRegisters=16384;q=65534;base=1.00099999999999989e+00;a=6.10351562500000000e-05;seed=3f0da0e0183cd125;numExamples=1000;
trueDifference1;trueDifference2;trueIntersection;true1;true2;trueUnion;trueJaccard;trueCosine;trueInclusionCoefficient1;trueInclusionCoefficient2;trueAlpha;trueBeta;mlMeanDifference1;mlMeanDifference2;mlMeanIntersection;mlMean1;mlMean2;mlMeanUnion;mlMeanJaccard;mlMeanCosine;mlMeanInclusionCoefficient1;mlMeanInclusionCoefficient2;mlMeanAlpha;mlMeanBeta;mlMSEDifference1;mlMSEDifference2;mlMSEIntersection;mlMSE1;mlMSE2;mlMSEUnion;mlMSEJaccard;mlMSECosine;mlMSEInclusionCoefficient1;mlMSEInclusionCoefficient2;mlMSEAlpha;mlMSEBeta;simpleMeanDifference1;simpleMeanDifference2;simpleMeanIntersection;simpleMean1;simpleMean2;simpleMeanUnion;simpleMeanJaccard;simpleMeanCosine;simpleMeanInclusionCoefficient1;simpleMeanInclusionCoefficient2;simpleMeanAlpha;simpleMeanBeta;simpleMSEDifference1;simpleMSEDifference2;simpleMSEIntersection;simpleMSE1;simpleMSE2;simpleMSEUnion;simpleMSEJaccard;simpleMSECosine;simpleMSEInclusionCoefficient1;simpleMSEInclusionCoefficient2;simpleMSEAlpha;simpleMSEBeta;inclExclMeanDifference1;inclExclMeanDifference2;inclExclMeanIntersection;inclExclMean1;inclExclMean2;inclExclMeanUnion;inclExclMeanJaccard;inclExclMeanCosine;inclExclMeanInclusionCoefficient1;inclExclMeanInclusionCoefficient2;inclExclMeanAlpha;inclExclMeanBeta;inclExclMSEDifference1;inclExclMSEDifference2;inclExclMSEIntersection;inclExclMSE1;inclExclMSE2;inclExclMSEUnion;inclExclMSEJaccard;inclExclMSECosine;inclExclMSEInclusionCoefficient1;inclExclMSEInclusionCoefficient2;inclExclMSEAlpha;inclExclMSEBeta;collLowerBoundMeanJaccard;collUpperBoundMeanJaccard;collLowerBoundMSEJaccard;collUpperBoundMSEJaccard;
450;450;100;550;550;1000;0.10000000000000001;0.18181818181818182;0.18181818181818182;0.18181818181818182;0.45000000000000001;0.45000000000000001;449.93583495105884;450.03953266948281;100.05318072538418;549.98901567644361;550.09271339486668;1000.0285483459255;0.10006502396503621;0.18190469213882279;0.18192375503007663;0.18188832308747135;0.44991546228802093;0.45001951374694271;21.296276933911699;20.593079097530506;12.21391705566551;9.290842618309652;9.2836806275139381;30.374300437070634;1.4861552003157362e-05;4.0542914805140337e-05;4.1245905759204655e-05;4.0825738161584357e-05;8.3817536617869905e-06;7.9989341601824687e-06;449.93583495105884;450.03953266948281;100.05318072538418;549.98901567644361;550.09271339486668;1000.0285483459255;0.10006502396503621;0.18190469213882279;0.18192375503007663;0.18188832308747135;0.44991546228802093;0.45001951374694271;21.296276933911699;20.593079097530506;12.21391705566551;9.290842618309652;9.2836806275139381;30.374300437070634;1.4861552003157362e-05;4.0542914805140337e-05;4.1245905759204655e-05;4.0825738161584357e-05;8.3817536617869905e-06;7.9989341601824687e-06;449.93583495105884;450.03953266948281;100.05318072538418;549.98901567644361;550.09271339486668;1000.0285483459255;0.10006502396503621;0.18190469213882279;0.18192375503007663;0.18188832308747135;0.44991546228802093;0.45001951374694271;21.296276933911699;20.593079097530506;12.21391705566551;9.290842618309652;9.2836806275139381;30.374300437070634;1.4861552003157362e-05;4.0542914805140337e-05;4.1245905759204655e-05;4.0825738161584357e-05;8.3817536617869905e-06;7.9989341601824687e-06;0.94668012666960089;0.9466808367338676;0.71686732532903275;0.71686852771943699;
495;495;10;505;505;1000;0.01;0.019801980198019802;0.019801980198019802;0.019801980198019802;0.495;0.495;495.08540935028219;495.02377333143443;10.015274748890793;505.10068409917369;505.0390480803236;1000.1244574306068;0.010028948384203217;0.019829236446438317;0.019829532678649481;0.019829243557930282;0.49501626163565965;0.49495478998013703;22.516689311490673;21.645612502685438;14.96544622899232;7.2005324975251277;7.7320735328590624;28.908686516916475;1.5297410523088247e-05;5.8633010966453737e-05;5.8686456475552677e-05;5.8595954386498552e-05;7.9844277082383249e-06;7.2842032779975155e-06;495.08540935028219;495.02377333143443;10.015274748890793;505.10068409917369;505.0390480803236;1000.1244574306068;0.010028948384203217;0.019829236446438317;0.019829532678649481;0.019829243557930282;0.49501626163565965;0.49495478998013703;22.516689311490673;21.645612502685438;14.96544622899232;7.2005324975251277;7.7320735328590624;28.908686516916475;1.5297410523088247e-05;5.8633010966453737e-05;5.8686456475552677e-05;5.8595954386498552e-05;7.9844277082383249e-06;7.2842032779975155e-06;495.08540935028219;495.02377333143443;10.015274748890793;505.10068409917369;505.0390480803236;1000.1244574306068;0.010028948384203217;0.019829236446438317;0.019829532678649481;0.019829243557930282;0.49501626163565965;0.49495478998013703;22.516689311490673;21.645612502685438;14.96544622899232;7.2005324975251277;7.7320735328590624;28.908686516916475;1.5297410523088247e-05;5.8633010966453737e-05;5.8686456475552677e-05;5.8595954386498552e-05;7.9844277082383249e-06;7.2842032779975155e-06;0.94134686182335536;0.94134772103565767;0.86740707247777704;0.86740867292229029;
499;500;1;500;501;1000;0.001;0.0019980029950087343;0.002;0.001996007984031936;0.499;0.5;497.98810054100363;498.99152622427715;2.0681873565372824;500.05628789754076;501.05971358081439;999.04781412181933;0.0020773121658257342;0.0041311780464842714;0.0041365229961136431;0.0041259064519029711;0.49845927943780605;0.49946340839636777;15.730725928967654;15.400618770509963;8.5552798068515621;7.0482015709515435;7.9057806361080933;22.050038413012008;8.6709803122799167e-06;3.41168407572436e-05;3.4204610435630293e-05;3.4032072168969872e-05;6.3519078550865527e-06;5.7500331002431241e-06;497.98810054100363;498.99152622427715;2.0681873565372824;500.05628789754076;501.05971358081439;999.04781412181933;0.0020773121658257342;0.0041311780464842714;0.0041365229961136431;0.0041259064519029711;0.49845927943780605;0.49946340839636777;15.730725928967654;15.400618770509963;8.5552798068515621;7.0482015709515435;7.9057806361080933;22.050038413012008;8.6709803122799167e-06;3.41168407572436e-05;3.4204610435630293e-05;3.4032072168969872e-05;6.3519078550865527e-06;5.7500331002431241e-06;497.98810054100363;498.99152622427715;2.0681873565372824;500.05628789754076;501.05971358081439;999.04781412181933;0.0020773121658257342;0.0041311780464842714;0.0041365229961136431;0.0041259064519029711;0.49845927943780605;0.49946340839636777;15.730725928967654;15.400618770509963;8.5552798068515621;7.0482015709515435;7.9057806361080933;22.050038413012008;8.6709803122799167e-06;3.41168407572436e-05;3.4204610435630293e-05;3.4032072168969872e-05;6.3519078550865527e-06;5.7500331002431241e-06;0.94081371320467233;0.94081458810723317;0.88324990888670607;0.88325155337282735;
540;360;100;640;460;1000;0.10000000000000001;0.18430244519362141;0.15625;0.21739130434782608;0.54000000000000004;0.35999999999999999;539.75512843829449;360.05854245484119;100.06343772434224;639.81856616263644;460.12198017918399;999.87710861747814;0.10009080116654374;0.18442471408258171;0.15639740095612761;0.21747778966985887;0.5398135434697533;0.36009565536370208;24.532403981555618;18.41985311249686;12.313786712059462;13.048159177760496;6.14312296389976;31.715232395911507;1.5046305783855594e-05;4.2160813639673583e-05;3.0563550213495525e-05;5.9523296011782474e-05;6.7481856758605913e-06;9.1932486158264053e-06;539.75512843829449;360.05854245484119;100.06343772434224;639.81856616263644;460.12198017918399;999.87710861747814;0.10009080116654374;0.18442471408258171;0.15639740095612761;0.21747778966985887;0.5398135434697533;0.36009565536370208;24.532403981555618;18.41985311249686;12.313786712059462;13.048159177760496;6.14312296389976;31.715232395911507;1.5046305783855594e-05;4.2160813639673583e-05;3.0563550213495525e-05;5.9523296011782474e-05;6.7481856758605913e-06;9.1932486158264053e-06;539.75512843829449;360.05854245484119;100.06343772434224;639.81856616263644;460.12198017918399;999.87710861747814;0.10009080116654374;0.18442471408258171;0.15639740095612761;0.21747778966985887;0.5398135434697533;0.36009565536370208;24.532403981555618;18.41985311249686;12.313786712059462;13.048159177760496;6.14312296389976;31.715232395911507;1.5046305783855594e-05;4.2160813639673583e-05;3.0563550213495525e-05;5.9523296011782474e-05;6.7481856758605913e-06;9.1932486158264053e-06;0.94669148458179586;0.94669219434482543;0.71688656341677681;0.71688776531293907;
594;396;10;604;406;1000;0.01;0.02019382153885356;0.016556291390728478;0.024630541871921183;0.59399999999999997;0.39600000000000002;593.61065971567632;396.01555580668486;10.104847358455881;603.7155070741303;406.12040316514106;999.73106288081635;0.010122941847685973;0.020408218059453628;0.016739452537135272;0.024881439469217125;0.59376211501789899;0.39611494313441581;27.317665441198667;19.230409125551677;14.722597823416038;11.69928604886211;4.7619847795272818;32.025067624120425;1.5089760104104425e-05;6.0106140885164629e-05;4.0469411338493677e-05;8.9296100616549767e-05;6.2221515740303934e-06;8.6117127488811821e-06;593.61065971567632;396.01555580668486;10.104847358455881;603.7155070741303;406.12040316514106;999.73106288081635;0.010122941847685973;0.020408218059453628;0.016739452537135272;0.024881439469217125;0.59376211501789899;0.39611494313441581;27.317665441198667;19.230409125551677;14.722597823416038;11.69928604886211;4.7619847795272818;32.025067624120425;1.5089760104104425e-05;6.0106140885164629e-05;4.0469411338493677e-05;8.9296100616549767e-05;6.2221515740303934e-06;8.6117127488811821e-06;593.61065971567632;396.01555580668486;10.104847358455881;603.7155070741303;406.12040316514106;999.73106288081635;0.010122941847685973;0.020408218059453628;0.016739452537135272;0.024881439469217125;0.59376211501789899;0.39611494313441581;27.317665441198667;19.230409125551677;14.722597823416038;11.69928604886211;4.7619847795272818;32.025067624120425;1.5089760104104425e-05;6.0106140885164629e-05;4.0469411338493677e-05;8.9296100616549767e-05;6.2221515740303934e-06;8.6117127488811821e-06;0.94136817311788912;0.94136903170812924;0.8674467780908679;0.86744837741275194;
599;400;1;600;401;1000;0.001;0.0020386946747183244;0.0016666666666666668;0.0024937655860349127;0.59899999999999998;0.40000000000000002;597.57797795656302;398.99920541169183;2.1112654726106594;599.68924342917353;401.11047088430252;998.6884488408665;0.0021220614004129942;0.0043050015552389704;0.0035217430869235794;0.0052625433792200561;0.5983575843738701;0.39952035422571663;21.887732434644523;13.121591463835296;8.9614545408776891;11.492551485133637;4.7830588383930976;26.12829633465623;9.1155081584570195e-06;3.7282175554162732e-05;2.496340520521468e-05;5.5684374548708093e-05;5.4129252287708787e-06;6.2523527449708913e-06;597.57797795656302;398.99920541169183;2.1112654726106594;599.68924342917353;401.11047088430252;998.6884488408665;0.0021220614004129942;0.0043050015552389704;0.0035217430869235794;0.0052625433792200561;0.5983575843738701;0.39952035422571663;21.887732434644523;13.121591463835296;8.9614545408776891;11.492551485133637;4.7830588383930976;26.12829633465623;9.1155081584570195e-06;3.7282175554162732e-05;2.496340520521468e-05;5.5684374548708093e-05;5.4129252287708787e-06;6.2523527449708913e-06;597.57797795656302;398.99920541169183;2.1112654726106594;599.68924342917353;401.11047088430252;998.6884488408665;0.0021220614004129942;0.0043050015552389704;0.0035217430869235794;0.0052625433792200561;0.5983575843738701;0.39952035422571663;21.887732434644523;13.121591463835296;8.9614545408776891;11.492551485133637;4.7830588383930976;26.12829633465623;9.1155081584570195e-06;3.7282175554162732e-05;2.496340520521468e-05;5.5684374548708093e-05;5.4129252287708787e-06;6.2523527449708913e-06;0.94083960428319624;0.94084047842291219;0.88329858482594126;0.8833002279228922;
623;277;100;723;377;1000;0.10000000000000001;0.19154030571213676;0.13831258644536654;0.26525198938992045;0.623;0.27700000000000002;622.70745498151859;277.04987454195543;100.09185523952422;722.7993102210412;377.14172978147951;999.84918476299833;0.10012204173030871;0.19171029500436343;0.13848316580452683;0.26539925610205778;0.62279304469381691;0.27708491357587473;28.778978305715839;14.719794122308466;11.895755107132377;15.934025985400007;3.9923547898647116;32.890165432360952;1.4632658547001353e-05;4.3915187543391945e-05;2.3623676169368293e-05;8.3468791158680745e-05;5.6322420864609939e-06;8.4859822033838174e-06;622.70745498151859;277.04987454195543;100.09185523952422;722.7993102210412;377.14172978147951;999.84918476299833;0.10012204173030871;0.19171029500436343;0.13848316580452683;0.26539925610205778;0.62279304469381691;0.27708491357587473;28.778978305715839;14.719794122308466;11.895755107132377;15.934025985400007;3.9923547898647116;32.890165432360952;1.4632658547001353e-05;4.3915187543391945e-05;2.3623676169368293e-05;8.3468791158680745e-05;5.6322420864609939e-06;8.4859822033838174e-06;622.70745498151859;277.04987454195543;100.09185523952422;722.7993102210412;377.14172978147951;999.84918476299833;0.10012204173030871;0.19171029500436343;0.13848316580452683;0.26539925610205778;0.62279304469381691;0.27708491357587473;28.778978305715839;14.719794122308466;11.895755107132377;15.934025985400007;3.9923547898647116;32.890165432360952;1.4632658547001353e-05;4.3915187543391945e-05;2.3623676169368293e-05;8.3468791158680745e-05;5.6322420864609939e-06;8.4859822033838174e-06;0.94669343863187105;0.94669414834373911;0.71688987585777064;0.71689107766988514;
685;305;10;695;315;1000;0.01;0.021372352121250049;0.014388489208633094;0.031746031746031744;0.68500000000000005;0.30499999999999999;684.63416532254712;305.04515037688628;10.073013221652404;694.70717854419945;315.11816359853901;999.75232892108454;0.010089573921982033;0.021528818256625989;0.014500127301816133;0.031965009982255883;0.68479640125124353;0.30511402482677452;29.795959105049523;16.362271469094875;13.88877384430628;15.862903148076072;2.8334007938575345;32.874629574160842;1.4207322750073579e-05;6.3442311792113998e-05;2.8786991088759308e-05;0.00013985642292846818;4.2477596881872185e-06;9.2639987471491409e-06;684.63416532254712;305.04515037688628;10.073013221652404;694.70717854419945;315.11816359853901;999.75232892108454;0.010089573921982033;0.021528818256625989;0.014500127301816133;0.031965009982255883;0.68479640125124353;0.30511402482677452;29.795959105049523;16.362271469094875;13.88877384430628;15.862903148076072;2.8334007938575345;32.874629574160842;1.4207322750073579e-05;6.3442311792113998e-05;2.8786991088759308e-05;0.00013985642292846818;4.2477596881872185e-06;9.2639987471491409e-06;684.63416532254712;305.04515037688628;10.073013221652404;694.70717854419945;315.11816359853901;999.75232892108454;0.010089573921982033;0.021528818256625989;0.014500127301816133;0.031965009982255883;0.68479640125124353;0.30511402482677452;29.795959105049523;16.362271469094875;13.88877384430628;15.862903148076072;2.8334007938575345;32.874629574160842;1.4207322750073579e-05;6.3442311792113998e-05;2.8786991088759308e-05;0.00013985642292846818;4.2477596881872185e-06;9.2639987471491409e-06;0.94136731822443187;0.941368176840505;0.86744518884002408;0.8674467882083714;
691;308;1;692;309;1000;0.001;0.0021625577457933874;0.0014450867052023121;0.0032362459546925568;0.69099999999999995;0.308;689.56010311145337;307.05838501868368;2.0738175161603838;691.63392062761409;309.132202534844;998.69230564629811;0.0020836472229795277;0.0044854212010846505;0.0029988241409237646;0.0067090657715487964;0.69045810189243872;0.30745825088458201;24.385459325612437;10.46816762247669;7.9917807525161528;15.327417704783;2.6932920870764541;27.590509931661483;8.1134629619892948e-06;3.7403365796877327e-05;1.6723426498562906e-05;8.3662726023687268e-05;3.5362139723701187e-06;6.1347329169322109e-06;689.56010311145337;307.05838501868368;2.0738175161603838;691.63392062761409;309.132202534844;998.69230564629811;0.0020836472229795277;0.0044854212010846505;0.0029988241409237646;0.0067090657715487964;0.69045810189243872;0.30745825088458201;24.385459325612437;10.46816762247669;7.9917807525161528;15.327417704783;2.6932920870764541;27.590509931661483;8.1134629619892948e-06;3.7403365796877327e-05;1.6723426498562906e-05;8.3662726023687268e-05;3.5362139723701187e-06;6.1347329169322109e-06;689.56010311145337;307.05838501868368;2.0738175161603838;691.63392062761409;309.132202534844;998.69230564629811;0.0020836472229795277;0.0044854212010846505;0.0029988241409237646;0.0067090657715487964;0.69045810189243872;0.30745825088458201;24.385459325612437;10.46816762247669;7.9917807525161528;15.327417704783;2.6932920870764541;27.590509931661483;8.1134629619892948e-06;3.7403365796877327e-05;1.6723426498562906e-05;8.3662726023687268e-05;3.5362139723701187e-06;6.1347329169322109e-06;0.94083917683749818;0.94084005099116319;0.88329778663618663;0.88329942975829723;
694;206;100;794;306;1000;0.10000000000000001;0.20287523483519407;0.12594458438287154;0.32679738562091504;0.69399999999999995;0.20599999999999999;693.80555112644322;206.09906435885361;99.881518908359254;793.68707003480301;305.9805832672136;999.78613439365733;0.099914519067455479;0.20268549772200589;0.12584824899381217;0.32644129131602256;0.69394750090275947;0.20613798002978451;28.03949039365779;11.968363349565278;8.9831940375179951;20.005992565485588;3.0260829273064704;31.164015435258928;1.101028998472528e-05;3.7374742994737226e-05;1.4568618317484646e-05;9.9280896877107071e-05;4.072955378840689e-06;8.54222043650204e-06;693.80555112644322;206.09906435885361;99.881518908359254;793.68707003480301;305.9805832672136;999.78613439365733;0.099914519067455479;0.20268549772200589;0.12584824899381217;0.32644129131602256;0.69394750090275947;0.20613798002978451;28.03949039365779;11.968363349565278;8.9831940375179951;20.005992565485588;3.0260829273064704;31.164015435258928;1.101028998472528e-05;3.7374742994737226e-05;1.4568618317484646e-05;9.9280896877107071e-05;4.072955378840689e-06;8.54222043650204e-06;693.80555112644322;206.09906435885361;99.881518908359254;793.68707003480301;305.9805832672136;999.78613439365733;0.099914519067455479;0.20268549772200589;0.12584824899381217;0.32644129131602256;0.69394750090275947;0.20613798002978451;28.03949039365779;11.968363349565278;8.9831940375179951;20.005992565485588;3.0260829273064704;31.164015435258928;1.101028998472528e-05;3.7374742994737226e-05;1.4568618317484646e-05;9.9280896877107071e-05;4.072955378840689e-06;8.54222043650204e-06;0.94669826268978396;0.94669897227213995;0.7168980405924702;0.71689924219234502;
