name=HyperMinHash;numRegisters=4096;base=1.00067713069306641e+00;bucketBits=12;bucketSize=6;subBucketSize=10;registerStateType=registers;numExamples=1000;
trueDifference1;trueDifference2;trueIntersection;true1;true2;trueUnion;trueJaccard;trueCosine;trueInclusionCoefficient1;trueInclusionCoefficient2;trueAlpha;trueBeta;originalMeanDifference1;originalMeanDifference2;originalMeanIntersection;originalMean1;originalMean2;originalMeanUnion;originalMeanJaccard;originalMeanCosine;originalMeanInclusionCoefficient1;originalMeanInclusionCoefficient2;originalMeanAlpha;originalMeanBeta;originalMSEDifference1;originalMSEDifference2;originalMSEIntersection;originalMSE1;originalMSE2;originalMSEUnion;originalMSEJaccard;originalMSECosine;originalMSEInclusionCoefficient1;originalMSEInclusionCoefficient2;originalMSEAlpha;originalMSEBeta;originalKnownCardMeanDifference1;originalKnownCardMeanDifference2;originalKnownCardMeanIntersection;originalKnownCardMean1;originalKnownCardMean2;originalKnownCardMeanUnion;originalKnownCardMeanJaccard;originalKnownCardMeanCosine;originalKnownCardMeanInclusionCoefficient1;originalKnownCardMeanInclusionCoefficient2;originalKnownCardMeanAlpha;originalKnownCardMeanBeta;originalKnownCardMSEDifference1;originalKnownCardMSEDifference2;originalKnownCardMSEIntersection;originalKnownCardMSE1;originalKnownCardMSE2;originalKnownCardMSEUnion;originalKnownCardMSEJaccard;originalKnownCardMSECosine;originalKnownCardMSEInclusionCoefficient1;originalKnownCardMSEInclusionCoefficient2;originalKnownCardMSEAlpha;originalKnownCardMSEBeta;newMeanDifference1;newMeanDifference2;newMeanIntersection;newMean1;newMean2;newMeanUnion;newMeanJaccard;newMeanCosine;newMeanInclusionCoefficient1;newMeanInclusionCoefficient2;newMeanAlpha;newMeanBeta;newMSEDifference1;newMSEDifference2;newMSEIntersection;newMSE1;newMSE2;newMSEUnion;newMSEJaccard;newMSECosine;newMSEInclusionCoefficient1;newMSEInclusionCoefficient2;newMSEAlpha;newMSEBeta;newKnownCardMeanDifference1;newKnownCardMeanDifference2;newKnownCardMeanIntersection;newKnownCardMean1;newKnownCardMean2;newKnownCardMeanUnion;newKnownCardMeanJaccard;newKnownCardMeanCosine;newKnownCardMeanInclusionCoefficient1;newKnownCardMeanInclusionCoefficient2;newKnownCardMeanAlpha;newKnownCardMeanBeta;newKnownCardMSEDifference1;newKnownCardMSEDifference2;newKnownCardMSEIntersection;newKnownCardMSE1;newKnownCardMSE2;newKnownCardMSEUnion;newKnownCardMSEJaccard;newKnownCardMSECosine;newKnownCardMSEInclusionCoefficient1;newKnownCardMSEInclusionCoefficient2;newKnownCardMSEAlpha;newKnownCardMSEBeta;inclExclMeanDifference1;inclExclMeanDifference2;inclExclMeanIntersection;inclExclMean1;inclExclMean2;inclExclMeanUnion;inclExclMeanJaccard;inclExclMeanCosine;inclExclMeanInclusionCoefficient1;inclExclMeanInclusionCoefficient2;inclExclMeanAlpha;inclExclMeanBeta;inclExclMSEDifference1;inclExclMSEDifference2;inclExclMSEIntersection;inclExclMSE1;inclExclMSE2;inclExclMSEUnion;inclExclMSEJaccard;inclExclMSECosine;inclExclMSEInclusionCoefficient1;inclExclMSEInclusionCoefficient2;inclExclMSEAlpha;inclExclMSEBeta;
250;250;500;750;750;1000;0.5;0.66666666666666663;0.66666666666666663;0.66666666666666663;0.25;0.25;250.00886752505465;250.09028410234745;500.15466529110387;750.16353281615807;750.24494939345095;1000.2538169185024;0.50003336285290545;0.66668896983935699;0.66673700645791822;0.66666406162251224;0.24994232976684791;0.25002430738024656;34.201060601595763;33.744779069747111;46.724785087878892;69.570190805664538;68.949664292832878;81.743063139689568;3.1902237408535153e-05;2.5237514612883755e-05;4.0765387393654943e-05;4.0548895954759709e-05;2.7558305665282723e-05;2.7418841062881166e-05;249.99193689028397;249.99193689028397;500.00806310971592;750;750;999.99193689028323;0.50003337701556905;0.66667741747962017;0.66667741747962017;0.66667741747962017;0.24998331149221548;0.24998331149221548;14.197321166789811;14.197321166789811;14.197321166789804;2.5073912318013652e-27;2.5073912318013652e-27;14.197321166789859;3.190445110887083e-05;2.5239682074293005e-05;2.5239682074293005e-05;2.5239682074293005e-05;7.9761127772176992e-06;7.9761127772176992e-06;43.335202572597666;43.416619149891012;706.82833024356114;750.16353281615818;750.24494939345084;793.58015196604867;0.89068981110386203;0.94220014168732968;0.94226801729379306;0.94216492451844669;0.05460338518886651;0.054706803707271399;42731.027847237587;42697.108041062405;42820.041207273978;69.570190805664524;68.949664292832864;42668.616689582166;0.15264261341928909;0.075919946011846443;0.07598827497212908;0.075931042766323287;0.038211999843067924;0.038171206487410007;42.96192282229088;42.96192282229088;707.0380771777086;750;750;792.96192282229185;0.89164330306691397;0.94271743623694226;0.94271743623694226;0.94271743623694226;0.054178348466541792;0.054178348466541792;42865.231031639545;42865.231031639545;42865.231031639545;5.2991257991678332e-27;5.2991257991678332e-27;42865.231031639501;0.15338712719589351;0.076204855167359142;0.076204855167359142;0.076204855167359142;0.03834678179897337;0.03834678179897337;250.05413097851257;250.13554755580554;500.10940183764609;750.16353281615807;750.24494939345095;1000.2990803719641;0.50000933764447852;0.66664604835668229;0.66669459765986849;0.6666206408009725;0.24995405675046922;0.25003660560505175;57.430610456316828;55.926259790724259;49.793672176872398;69.570190805664652;68.949664292832978;124.08520662639438;6.8391438465995814e-05;5.394681114687205e-05;7.0182340852440158e-05;6.8607586206042193e-05;3.7122562550135294e-05;3.6123449039293602e-05;
272;228;500;772;728;1000;0.5;0.66695366670545919;0.64766839378238339;0.68681318681318682;0.27200000000000002;0.22800000000000001;272.21126288117159;228.05899250112171;500.16309489228996;772.37435777346059;728.22208739340931;1000.4333502745828;0.49995624435525965;0.66691062278793545;0.64758182844053769;0.68684173478496469;0.27208699242931733;0.22795676321542219;40.153487066850651;32.059724041543902;41.525895715029343;70.543324355479612;65.193981560458539;83.188868202727789;3.062189775771969e-05;2.4127293924262981e-05;4.1251865305168856e-05;3.9695905041967075e-05;3.0506459580130207e-05;2.6197395367593895e-05;272.04276934926844;228.04276934926821;499.95723065073213;772;728;1000.0427693492674;0.49995626712171592;0.66689661635682573;0.64761299307089659;0.68675443770704903;0.27202122502359388;0.22802250785469025;13.618309121008251;13.618309121008254;13.618309121008268;2.7788098702953273e-27;2.9468309322201612e-27;13.618309121008279;3.0623409384722602e-05;2.4231176907789503e-05;2.2850125374184938e-05;2.5695698589029584e-05;7.2132964441567971e-06;8.1115831194420155e-06;73.139496645884023;28.987226265833982;699.23486112757621;772.37435777346059;728.22208739340931;801.36158403929551;0.8725898794921032;0.93236552036664033;0.90536217137176589;0.96020975823123822;0.091233061506005464;0.036177059001891075;39603.001865251594;39609.320735211702;39741.573846572297;70.54332435547947;65.193981560458482;39523.250306700262;0.13887301843986885;0.070458407016740818;0.066490682760725395;0.074750363450687293;0.032758721521433776;0.036801296508102287;72.823304015424213;28.823304015424245;699.17669598457564;772;728;800.8233040154247;0.87307355069445625;0.93263692212384131;0.90566929531681062;0.96040754942936435;0.090934970062957615;0.035991479242586881;39671.762166153218;39671.762166153225;39671.762166153225;7.4963243012618128e-27;7.4187761188349664e-27;39671.76216615321;0.13918609525537065;0.070588314507332828;0.066565146322977178;0.074854641208325551;0.032785068225698814;0.036867860353189646;272.22238712746986;228.07011674741975;500.15197064599147;772.37435777346082;728.22208739340931;1000.4444745208816;0.4999858943213864;0.66691186867449925;0.64758302593676165;0.68684304137071495;0.27207260210735745;0.22794150357125662;65.568862756547801;56.439053619826815;48.324577100458519;70.543324355479413;65.193981560458454;126.18489208527839;7.3010049585614552e-05;5.7651527433007141e-05;7.29064766496461e-05;7.5248788848721352e-05;4.0515579508936553e-05;3.7419237822027888e-05;
295;205;500;795;705;1000;0.5;0.66786991641738425;0.62893081761006286;0.70921985815602839;0.29499999999999998;0.20499999999999999;295.10471470014039;205.1204042146035;500.10559282086962;795.21030752100876;705.22599703547337;1000.3307117356134;0.49995178016739117;0.66781850233035767;0.62891404812038176;0.70915598197048735;0.29499832609179133;0.20504989374081814;44.35503735481965;30.38994254197501;42.41091389585894;74.718792826640467;61.29863969601363;84.338506750851153;3.2918550932834536e-05;2.5798094343938846e-05;4.1576848942186944e-05;4.2804366524081192e-05;3.1880182829008409e-05;2.5734796049986608e-05;295.04677155459484;205.04677155459484;499.95322844540544;795;705;1000.0467715545959;0.49995179564927617;0.66780744178886786;0.62887198546591749;0.70915351552539685;0.29502265604483968;0.20502554830588332;14.640088999261051;14.640088999261071;14.640088999261055;2.8692827497933148e-27;2.7012616878684809e-27;14.640088999261033;3.2920065229632151e-05;2.6120859983515831e-05;2.3163781494815894e-05;2.9455437853751969e-05;7.2720424092257385e-06;9.247246323003681e-06;112.67912128780732;22.694810802270602;682.53118623320233;795.21030752100876;705.22599703547337;817.90511832327979;0.83453484215431883;0.91143570716708078;0.85836280830785616;0.96782613776112991;0.13771557001082066;0.027749587834859656;33314.480594239882;33236.039894863796;33368.803868918549;74.718792826640595;61.298639696013588;33233.721060935102;0.11199168200600522;0.059348626838040819;0.05273611302313097;0.066878353915500899;0.024832586731911809;0.031419024168739727;112.64229243493703;22.642292434936994;682.35770756506179;795;705;817.6422924349381;0.83454395885373223;0.91145237023647419;0.85831158184284662;0.96788327314193356;0.13776433933874518;0.02769170180752107;33254.657982058074;33254.657982058074;33254.657982058088;6.9922611154873125e-27;5.9712100468671688e-27;33254.657982058081;0.11192129417544663;0.059332990734748285;0.052616048387418152;0.066907415083865038;0.02472341388335619;0.031438691533883019;295.14429878440046;205.15998829886405;500.06600873660915;795.21030752100876;705.22599703547337;1000.3702958198742;0.49993963891380105;0.66778261039537123;0.62888189073770417;0.70911602215683478;0.29500305127334236;0.20505730981285747;72.51014302843582;52.343952761528392;48.31150459981783;74.718792826640467;61.298639696013673;128.54703194006152;7.5040855972777101e-05;5.8993901501827909e-05;7.3116119806170758e-05;7.7596133038778108e-05;4.2584350816968836e-05;3.6001268983904415e-05;
316;184;500;816;684;1000;0.5;0.66926308979503701;0.61274509803921573;0.73099415204678364;0.316;0.184;316.20146642009399;184.06013463399648;500.1177559833464;816.31922240344022;684.17789061734243;1000.3793570374363;0.4999368325299427;0.66920346505660144;0.61266416661633305;0.73098687843009591;0.31607271925843533;0.18399044821162175;44.389497859761541;26.721966503335072;42.348455592200509;76.622123590251931;55.527379574774791;78.557083838474639;3.1524140991282158e-05;2.4572809874381812e-05;3.8281028474314488e-05;4.280449708328372e-05;3.0977718811709365e-05;2.409157191117477e-05;316.05611735087155;184.05611735087174;499.9438826491276;816;684;1000.0561173508722;0.49993685058111564;0.66918797525176688;0.61267632677589345;0.73091210913615301;0.31602879613501178;0.18403435328387335;14.024497686397183;14.024497686397181;14.024497686397179;2.8951321439355969e-27;2.6754122937261988e-27;14.024497686397197;3.1525951145123451e-05;2.5127024005269538e-05;2.106235835735831e-05;2.9976098813304008e-05;6.5553801773123844e-06;9.3296638780832628e-06;151.27922412643281;19.137892340335348;665.03999827700829;816.31922240344022;684.17789061734243;835.45711474377561;0.79606852985102428;0.88990036263940175;0.81473806171475538;0.97203176198071883;0.18102293283748774;0.022908537311488047;27209.665158129719;27179.938169259407;27287.404922725578;76.622123590251846;55.527379574774741;27151.992479731136;0.087735063555456169;0.048706267380608674;0.040891401676320084;0.058099726393346297;0.018306826771999098;0.025951074966778721;151.11922939255282;19.119229392552718;664.88077060744752;816;684;835.11922939255351;0.79615130145625124;0.88996031776409112;0.81480486594049917;0.97204791024480686;0.18095500653594973;0.022893692007799726;27185.896676253291;27185.896676253291;27185.896676253298;6.9793364184161715e-27;6.4364991414282466e-27;27185.896676253305;0.087706648886479915;0.048707675216885439;0.040828492461212888;0.058107402013126579;0.018237369742859093;0.02595555484486934;316.23599129108658;184.09465950498856;500.08323111235393;816.31922240344022;684.17789061734243;1000.4138819084303;0.49992536807330301;0.66917140416648269;0.61263863393400009;0.73094731308063832;0.31607561678800949;0.18399901513868774;71.898453403262295;42.100970970385532;47.535284152485509;76.622123590251917;55.527379574774649;116.25821528874071;6.7673390712628877e-05;5.2775739125510866e-05;6.6662422925039939e-05;6.9755783789671592e-05;4.1708575039835974e-05;3.0975499287849266e-05;
337;163;500;837;663;1000;0.5;0.67119777961612348;0.59737156511350065;0.75414781297134237;0.33700000000000002;0.16300000000000001;337.05759151682724;162.9799109552836;500.15651631846384;837.21410783529086;663.13642727374838;1000.1940187905745;0.50006852338835883;0.67125469197114951;0.59742111870421577;0.75424046696903146;0.33698173939422554;0.16294973721741582;46.782235840048713;24.980982140286724;41.585001785433946;84.089928805211372;52.98330581338648;83.323940476185811;2.9818660388562162e-05;2.3126044937818246e-05;3.4994765635954603e-05;4.3860108227066784e-05;3.0296066079397799e-05;2.3248692000003965e-05;336.96756572651412;162.96756572651321;500.03243427348519;837;663;999.96756572651327;0.50006853451112498;0.67124131924081898;0.59741031573893288;0.75419673344417326;0.33696970774608304;0.16296175774279209;13.257812793114505;13.257812793114516;13.257812793114503;3.4250447238523804e-27;2.7529604761530452e-27;13.257812793114532;2.9820303882801947e-05;2.3890921201220526e-05;1.892434976870867e-05;3.0160936720092896e-05;5.8258138477597133e-06;9.2849690981647576e-06;190.38533587558339;16.307655314040101;646.82877195970821;837.21410783529063;663.13642727374838;853.52176314933138;0.75788554049796808;0.86811667654272395;0.77265230080080749;0.97541137358800267;0.22300725873514432;0.019107200766887048;21576.155070376852;21518.94668243968;21606.65078242962;84.08992880521123;52.983305813386458;21541.596694668191;0.066579697541766195;0.03880236979683907;0.030806331454646365;0.048958028942287166;0.013075809939010898;0.020705544223556797;190.29753036502836;16.297530365028351;646.70246963497129;837;663;853.29753036502848;0.75788671738496449;0.86813052338251295;0.77264333289721876;0.97541850623675996;0.22301407091584599;0.019099211699190311;21521.806123985232;21521.806123985229;21521.806123985229;6.2297039882899895e-27;5.5188456493772314e-27;21521.806123985214;0.066506372017172008;0.038782850703934876;0.030720465969783405;0.048961155413564696;0.012992950862762776;0.020707690016754786;337.04143816126259;162.96375759971883;500.17266967402878;837.21410783529086;663.13642727374838;1000.1778654350115;0.50013295835818938;0.67129160083340034;0.59745885079970862;0.75427579242465215;0.33695023097946464;0.16291681066234612;75.831672183780512;37.791772243104397;44.784627451223706;84.089928805211343;52.983305813386366;121.98454125694523;6.3581855259000746e-05;4.9287583962408178e-05;6.1593613526318052e-05;6.7617431987651366e-05;4.0933182019404116e-05;2.8695052172964891e-05;
356;144;500;856;644;1000;0.5;0.6734264783084245;0.58411214953271029;0.77639751552795033;0.35599999999999998;0.14399999999999999;356.00937600483547;143.94962942934947;500.10955052182413;856.11892652666074;644.05917995117443;1000.0685559560102;0.50008728324787177;0.67349886720181373;0.58417543051622434;0.77650904836740353;0.35597218716302376;0.14394052958910322;51.652349959738963;24.741488932202287;42.352454339903865;87.872785838075757;51.034855682239026;86.499748694972226;3.2783186443166266e-05;2.5252600953663282e-05;3.6190649908413447e-05;4.7855126627402183e-05;3.1670479923943949e-05;2.3173193006300707e-05;355.95638094597678;143.95638094597692;500.04361905402351;856;644;999.95638094597746;0.50008728620532161;0.67348522676029976;0.58416310637152313;0.77646524697829655;0.35596252512251558;0.14395018867216336;14.573095743910166;14.573095743910157;14.573095743910141;5.3378998903812564e-27;2.4944665347302241e-27;14.573095743910155;3.2784744787407532e-05;2.6435783479258816e-05;1.988860345869472e-05;3.5138246363735383e-05;6.043117295177912e-06;1.0676694558464801e-05;226.09185839052637;14.032111815040144;630.02706813613327;856.11892652666097;644.05917995117431;870.15103834170088;0.72409302221244543;0.84847220026838133;0.73596425019131051;0.97821558999517866;0.25978038067606685;0.01612659711148768;16960.048427555368;16891.896735231952;16953.953554604785;87.872785838075814;51.03485568223897;16950.449972325518;0.050289538946353768;0.03066635334080111;0.023137045700057472;0.040730955569376864;0.0093350987582981829;0.01635191715149999;226.02688647550369;14.02688647550432;629.97311352449447;856;644;870.02688647550599;0.72408504127306728;0.84848115053958906;0.7359498989772143;0.97821912037965275;0.25979282228009581;0.016122136446836292;16893.182035168309;16893.182035168305;16893.182035168302;7.3800020276215432e-27;5.9712100468671688e-27;16893.182035168309;0.050214780506623674;0.030644449909967418;0.023054936614508224;0.040732374414490832;0.0092559454258644928;0.016352967737467288;355.99136869779039;143.93162212230391;500.12755782886978;856.11892652666074;644.05917995117443;1000.0505486489654;0.50015576299649067;0.67353898820967684;0.58421567004037545;0.77654809143293724;0.35593935836738161;0.14390487863612811;82.536524391011525;36.663228114930085;45.112298293188175;87.872785838075927;51.034855682239069;126.54581835568814;6.7058518563559939e-05;5.1628545479494332e-05;6.2429477069015553e-05;7.1703389164768025e-05;4.2428082878830922e-05;2.846579852070155e-05;
374;126;500;874;626;1000;0.5;0.6759695320035104;0.57208237986270027;0.79872204472843455;0.374;0.126;374.089513339711;126.16920275873159;500.13681207713574;874.22632541684561;626.30601483586736;1000.3955281755799;0.49994897830311447;0.67590258126678171;0.57210624709095048;0.79855974110548988;0.37392830989277115;0.12612271180411519;53.113025584703962;21.650217672172555;42.641150934566802;91.30552660021273;47.849217807494362;84.219315156071119;3.1565854462032745e-05;2.3967347678114915e-05;3.449290872381364e-05;4.6382455900457039e-05;3.1468927072029663e-05;2.1129201160916487e-05;374.0480354349869;126.04803543498687;499.95196456501355;874;626;1000.0480354349858;0.4999489994585895;0.67590459102249545;0.57202741941076951;0.79864531080673051;0.37402128422594783;0.12602971631546159;14.040662187275442;14.040662187275448;14.040662187275448;4.1876018510497027e-27;2.3910689581610956e-27;14.040662187275379;3.1567653798654956e-05;2.5662669134008763e-05;1.8380813361429674e-05;3.5829349557705608e-05;5.4980470666674585e-06;1.0717232494711733e-05;259.97009360149326;12.049783020514212;614.25623181535298;874.2263254168455;626.30601483586736;886.27610843736022;0.69312328448412275;0.83014209838523956;0.70267915168929229;0.98076215206979023;0.29328017235554249;0.013596543160334013;13088.227229415741;12984.818710260231;13099.312867925488;91.305526600212744;47.849217807494263;13025.830294584255;0.037363271074595424;0.023793680884288043;0.017126576209130065;0.033138919311673141;0.0065859442373259669;0.012634743180194563;260.04185292179528;12.041852921795607;613.95814707820455;874;626;886.04185292179488;0.69292255745301501;0.83003400270039207;0.70246927583318697;0.98076381322396755;0.29348698602294143;0.013590456524042853;12986.584707153723;12986.584707153723;12986.584707153723;7.0698092979141589e-27;6.4494238384993876e-27;12986.584707153717;0.037219571120214366;0.023736090369191904;0.017000906831938358;0.033139525531427613;0.006482425178802282;0.012636060937344389;374.09622812658102;126.17591754560205;500.13009729026527;874.22632541684573;626.30601483586736;1000.4022429624467;0.49997375541723282;0.67590685140980411;0.57211641824261283;0.79855565246243987;0.37391378290401051;0.12611246167875648;81.973900329685407;28.433104590648291;44.228406689070134;91.305526600212559;47.849217807494377;118.27582106502489;5.9562412244126053e-05;4.490395196015836e-05;5.7031237879923269e-05;6.1017043737725066e-05;4.161276319965865e-05;2.331621386118075e-05;
390;110;500;890;610;1000;0.5;0.67859410645749296;0.5617977528089888;0.81967213114754101;0.39000000000000001;0.11;390.33184729623093;110.26021499378311;500.03996906079431;890.37181635702359;610.30018405457679;1000.6320313508079;0.4997347845705935;0.67834132895020338;0.56162624605725409;0.81934359485624164;0.39006886501271165;0.11019635041669612;59.151046731610968;20.466119041319409;42.402256659153217;99.672395846257473;45.254844110504351;87.088668662718462;3.1554353264382085e-05;2.3592598140471761e-05;3.4503013885333616e-05;4.7670536998403199e-05;3.3042167986546378e-05;2.0654555695543213e-05;390.19082616717162;110.19082616717195;499.80917383282804;890;610;1000.1908261671708;0.49973481082344418;0.67833511943269131;0.56158334138519994;0.81935930136529267;0.3901078435984649;0.11015734557808905;14.042425942702559;14.042425942702545;14.042425942702543;5.3766739815946796e-27;3.360421238496675e-27;14.042425942702549;3.1556113493869041e-05;2.5865584716711268e-05;1.7728097390105475e-05;3.7738312127660662e-05;5.2186799249193993e-06;1.1109154443774911e-05;290.43383088917528;10.362198586727207;599.93798546785013;890.37181635702359;610.30018405457679;900.73401494375162;0.6661064624252534;0.81387602091968059;0.67386036117361581;0.98302259657749658;0.32238900217405347;0.011504535400694425;10007.449981487831;9927.8361254589945;10030.295237954377;99.672395846257402;45.25484411050433;9954.8646285413961;0.027657953386217109;0.018326586108546261;0.012628077736060688;0.026683679013053109;0.0046406477796900871;0.0097015268490469649;290.35566901127942;10.355669011279314;599.64433098872007;890;610;900.35566901128118;0.66600851568488784;0.81383021795918531;0.67375767526822472;0.9830234934241302;0.32248987028814535;0.011501614026965952;9929.107105540812;9929.107105540812;9929.107105540812;5.5576197405906546e-27;4.3168488217611134e-27;9929.107105540812;0.02755921907732178;0.018289016587844559;0.012535168672567624;0.026683975021609282;0.0045576824082984215;0.0097020699693984771;390.35051668736656;110.27888438491843;500.02129966965759;890.37181635702359;610.30018405457679;1000.6507007419427;0.49974218746316218;0.6783300962430957;0.56162386346530668;0.81931997561067249;0.39006139460168626;0.11019641793515109;89.095215475633779;26.219967420429732;42.994482523904153;99.672395846257317;45.254844110504457;122.19445992110084;5.8738390277865634e-05;4.3736727868388252e-05;5.6123424428293053e-05;6.0634416983177441e-05;4.3015172281001105e-05;2.2300706846564526e-05;
405;95;500;905;595;1000;0.5;0.68137662671464483;0.5524861878453039;0.84033613445378152;0.40500000000000003;0.095000000000000001;405.41104082596627;95.151371776481753;500.09095920021093;905.50200002617748;595.24233097669264;1000.653371802659;0.49977543178251049;0.68117453625722324;0.55229708214629947;0.84015656370813585;0.40512984387393369;0.095094724343555592;58.848278011146895;19.986087747838791;41.970595415334429;103.08655749208513;42.551527948915911;89.225665451910288;3.0897029167147341e-05;2.3247695566889852e-05;3.1545978918790765e-05;5.0315220748842574e-05;3.0755609446252497e-05;2.0227701531873996e-05;405.16343126716345;95.163431267164185;499.83656873283627;905;595;1000.1634312671648;0.49977545940047358;0.68115391022360461;0.55230560080976432;0.84006146005518756;0.40508906777114528;0.09513547282838046;13.742883045034921;13.74288304503493;13.742883045034937;4.8984601899624608e-27;2.5073912318013652e-27;13.742883045034958;3.0898682073417008e-05;2.552185903716035e-05;1.6779564781337525e-05;3.8818962064924457e-05;4.8617359649072909e-06;1.1247463593413498e-05;319.07540239906496;8.815733349580313;586.4265976271123;905.5020000261776;595.24233097669264;914.31773337575714;0.64143024556534978;0.7987872901074029;0.6476763057753242;0.98519103083695869;0.34892767129522462;0.0096420831394253281;7475.560738093046;7427.8550961667815;7509.9599440510983;103.08655749208525;42.551527948915954;7445.8177853170037;0.020061935924040129;0.013808709690404368;0.0091231328352522432;0.02098323465424139;0.0032056863813818897;0.0072861188743411041;318.81087631579322;8.8108763157932923;586.18912368420649;905;595;913.81087631579351;0.64147771471329174;0.79883113542551665;0.64772278860133381;0.98519180451127342;0.34888050649706015;0.0096417787896466833;7428.6702107972242;7428.6702107972305;7428.6702107972342;6.9147129330604661e-27;4.3556229129745366e-27;7428.6702107972233;0.020016283179203436;0.013795756926128834;0.009070138531543254;0.020983462215372433;0.0031494509566744482;0.0072861494803764934;405.54377695144223;95.28410790195808;499.95822307473497;905.50200002617748;595.24233097669253;1000.7861079281363;0.49961252267650996;0.68100755387361545;0.55216940644365575;0.8399389024138515;0.4051894454195446;0.09519803190394549;90.78998370435518;24.687428594854929;42.8356121815387;103.08655749208512;42.551527948915954;125.0036952259304;5.8996667478875999e-05;4.3775682303687277e-05;5.3594761986712492e-05;6.1855068126001188e-05;4.1168658456515538e-05;2.1376448270088763e-05;
418;82;500;918;582;1000;0.5;0.68404893552479462;0.54466230936819171;0.85910652920962194;0.41799999999999998;0.082000000000000003;418.2905593353791;82.134954257582848;499.98401270798087;918.2745720433594;582.11896696556266;1000.4095263009418;0.49979151069275596;0.68385644626032793;0.54449966311920861;0.85891243138315509;0.41810112843490121;0.082107360872343133;62.971392213576983;19.127196277327212;42.647664989305326;106.79460294970855;41.280369916358751;90.577768335770173;3.2330257473870109e-05;2.3977609715079455e-05;3.2379462508874003e-05;5.155897373875259e-05;3.1899369173672298e-05;1.9495786708767465e-05;418.15336401946064;82.153364019461065;499.8466359805393;918;582;1000.153364019463;0.49979152267701171;0.6838391185362741;0.54449524616616496;0.85884301714869271;0.41808088920131964;0.082127588121668996;14.389139582889072;14.389139582889095;14.38913958288909;6.4364991414282466e-27;2.8305086585798916e-27;14.389139582889054;3.2331975671738191e-05;2.6932034347208402e-05;1.7074557723393499e-05;4.2480425310545198e-05;4.8673849455261651e-06;1.2109747495995515e-05;343.66573264733125;7.5101275695348262;574.60883939602809;918.2745720433594;582.11896696556266;925.78469961289557;0.6207204718808198;0.7859398919797137;0.62579807258985853;0.98709978475688354;0.3711671699974029;0.0081123581217768526;5622.0046462129185;5548.843700731868;5606.0076253537563;106.79460294970859;41.280369916358794;5615.9675664251899;0.014630962380319797;0.01040517596374786;0.0066425788386683046;0.016382527034346613;0.0022526059362245965;0.0054594981025759765;343.50767393868455;7.5076739386846549;574.49232606131523;918;582;925.50767393868421;0.62073226879831067;0.78596172821881249;0.62580863405372;0.98710021660019831;0.37115587970625552;0.0081118514954343583;5549.1935323719599;5549.193532371959;5549.1935323719599;7.3024538451946968e-27;4.4719451866148055e-27;5549.1935323719536;0.014576547232821658;0.010386379946641719;0.0065848291164983521;0.016382640534393703;0.0021944117266178985;0.0054595583067699504;418.32234791248129;82.166742834684825;499.95222413087748;918.2745720433594;582.11896696556266;1000.4413148780428;0.49977804314469043;0.68382780868855508;0.54448459034126917;0.85886428489982591;0.418101300508324;0.082120656346986121;93.849647509351016;21.427999570606861;40.574390900374439;106.79460294970849;41.280369916358772;125.83010101375487;5.5669223736671034e-05;4.041477714470356e-05;5.1222836705858405e-05;5.6598078962962162e-05;4.1303673111828253e-05;1.8967880801803499e-05;
