name=SetSketch1;numRegisters=16384;q=254;base=1.19999999999999996e+00;a=3.00000000000000000e+01;seed=14662929af74678a;numExamples=1000;
trueDifference1;trueDifference2;trueIntersection;true1;true2;trueUnion;trueJaccard;trueCosine;trueInclusionCoefficient1;trueInclusionCoefficient2;trueAlpha;trueBeta;mlMeanDifference1;mlMeanDifference2;mlMeanIntersection;mlMean1;mlMean2;mlMeanUnion;mlMeanJaccard;mlMeanCosine;mlMeanInclusionCoefficient1;mlMeanInclusionCoefficient2;mlMeanAlpha;mlMeanBeta;mlMSEDifference1;mlMSEDifference2;mlMSEIntersection;mlMSE1;mlMSE2;mlMSEUnion;mlMSEJaccard;mlMSECosine;mlMSEInclusionCoefficient1;mlMSEInclusionCoefficient2;mlMSEAlpha;mlMSEBeta;simpleMeanDifference1;simpleMeanDifference2;simpleMeanIntersection;simpleMean1;simpleMean2;simpleMeanUnion;simpleMeanJaccard;simpleMeanCosine;simpleMeanInclusionCoefficient1;simpleMeanInclusionCoefficient2;simpleMeanAlpha;simpleMeanBeta;simpleMSEDifference1;simpleMSEDifference2;simpleMSEIntersection;simpleMSE1;simpleMSE2;simpleMSEUnion;simpleMSEJaccard;simpleMSECosine;simpleMSEInclusionCoefficient1;simpleMSEInclusionCoefficient2;simpleMSEAlpha;simpleMSEBeta;inclExclMeanDifference1;inclExclMeanDifference2;inclExclMeanIntersection;inclExclMean1;inclExclMean2;inclExclMeanUnion;inclExclMeanJaccard;inclExclMeanCosine;inclExclMeanInclusionCoefficient1;inclExclMeanInclusionCoefficient2;inclExclMeanAlpha;inclExclMeanBeta;inclExclMSEDifference1;inclExclMSEDifference2;inclExclMSEIntersection;inclExclMSE1;inclExclMSE2;inclExclMSEUnion;inclExclMSEJaccard;inclExclMSECosine;inclExclMSEInclusionCoefficient1;inclExclMSEInclusionCoefficient2;inclExclMSEAlpha;inclExclMSEBeta;collLowerBoundMeanJaccard;collUpperBoundMeanJaccard;collLowerBoundMSEJaccard;collUpperBoundMSEJaccard;
450;450;100;550;550;1000;0.10000000000000001;0.18181818181818182;0.18181818181818182;0.18181818181818182;0.45000000000000001;0.45000000000000001;449.92549224944293;450.29390609796559;99.952749114360302;549.87824136380391;550.24665521232532;1000.1721474617689;0.099940655047364726;0.18171220735193122;0.18177740695503031;0.18165381244468887;0.44984498173049703;0.45021436322213765;24.061624574429242;22.668176118800787;6.8722232457564694;22.360302452460328;21.857948866937214;38.720913651571372;7.510776551375064e-06;2.0519668310452285e-05;2.2086579278023036e-05;2.1427196978201169e-05;1.3480428643401699e-05;1.292731117846341e-05;449.94397907562279;450.26845765485371;99.95622992282695;549.90020899844899;550.22468757768013;1000.1686666533034;0.099944345801803197;0.18171856895812855;0.18177570720071207;0.18166941833301445;0.44986572048532697;0.45018993371286958;24.932859420317385;25.541218433678164;7.1151603841444819;24.088954546700048;24.063553381141787;38.287997065504548;7.7301004793590442e-06;2.1121426086042395e-05;2.2425778426823376e-05;2.2722650322141824e-05;1.5063383000687317e-05;1.5388720080264031e-05;449.98600715927074;450.22859111646557;99.9551491501973;549.94115630946874;550.18374026666334;1000.1697474259327;0.099970684751636688;0.18172107515374081;0.18176450754751908;0.1816828774564275;0.44989330605052508;0.45013600919783808;45.67218405072861;45.041325976643421;28.292108972250862;19.288275454270956;19.670496360963849;66.544216763381769;3.4107553141481407e-05;9.3259803369458925e-05;9.4472489424544308e-05;9.3962634993840312e-05;1.7482662956727167e-05;1.6979807855208105e-05;0.099941950561589998;0.13369662636645099;7.7303275237265107e-06;0.0011420740219372529;
495;495;10;505;505;1000;0.01;0.019801980198019802;0.019801980198019802;0.019801980198019802;0.495;0.495;494.85661133920064;495.25289744374754;10.004534393477769;504.86114573267781;505.25743183722403;1000.1140431764247;0.01000667977637755;0.019809154035193427;0.019817945415451406;0.019801269408757833;0.4947977126147457;0.49519560760887577;23.719781877538914;21.884121182549393;3.2224634505982954;20.532754040828475;19.211581345906637;35.683853295501216;3.2851451765700901e-06;1.2623792808360146e-05;1.2678364304129997e-05;1.2607995238028828e-05;1.2567774216297565e-05;1.2285550782253492e-05;494.82008698553045;495.28020732403422;10.009141630168859;504.82922861569932;505.28934895420343;1000.109435939733;0.010011292616917132;0.019818260796075085;0.019828327650941467;0.019809388967524936;0.49476428207948531;0.49522442530359961;26.556018381249277;26.337414042473622;3.2650258784637942;23.439240876004938;23.673504715731255;35.562410026269283;3.3270462566461825e-06;1.2784714784843802e-05;1.2844792663812851e-05;1.2775616385042291e-05;1.6242444252413341e-05;1.6006500470852622e-05;494.94254596341483;495.0802941927243;10.047868706881717;504.99041467029724;505.12816289960608;1000.0707088630214;0.010077370453041764;0.019897623282074454;0.019903432510082093;0.019892431646001588;0.49489167490424646;0.49503095464271252;47.168846851464139;44.206779190871416;28.410457005204734;16.195569617004143;16.093369063219097;63.722979429653904;2.9057621431232339e-05;0.00011151515172947097;0.00011157319267542901;0.00011149513077035673;1.5859559287325357e-05;1.4437178348644927e-05;0.010008514666910408;0.050845450817815864;3.3266622149622758e-06;0.0016711512472477883;
499;500;1;500;501;1000;0.001;0.0019980029950087343;0.002;0.001996007984031936;0.499;0.5;498.57695267806298;499.99077143352855;1.2883132840725884;499.86526596213611;501.27908471760134;999.85603739566534;0.0012904361036141828;0.0025740344922137583;0.0025775902137399396;0.0025705988997908168;0.49864668172498877;0.50006288217139672;21.366955567964762;19.152271327686137;1.8676208676258865;19.397441507605681;17.256890163805839;33.520814036829698;1.8794744513083631e-06;7.4566941810583776e-06;7.4727623115351792e-06;7.4427004692354733e-06;1.0946222550167851e-05;1.0897421035949544e-05;498.5180239553589;500.03801534692178;1.2941556887282775;499.81217964408711;501.33217103564999;999.85019499100963;0.0012962824315544501;0.0025856568713337994;0.0025893826444625093;0.0025820856519347649;0.49859091482749568;0.50011280274095182;23.896103094709908;22.206232612661363;1.8997122858344759;21.964091209537241;20.277235461298662;33.484836430917134;1.9117649971696501e-06;7.5844357926093453e-06;7.6031721734753135e-06;7.5683140553489639e-06;1.3727240700003104e-05;1.3712926914553703e-05;497.2870627939817;498.47003302192218;2.6936274319167715;499.98069022589863;501.16366045383938;998.45072324782063;0.0027110500223362795;0.0053831262311536034;0.0053901598945578283;0.0053762667493247162;0.4980511447395034;0.49923780523816058;32.644250799422061;29.96255116164745;14.980440502393922;16.423359721215938;14.940291206338712;47.786250211337197;1.5289940121076194e-05;5.9886688649202539e-05;6.0032669692180607e-05;5.974940436167438e-05;1.1960488112402486e-05;1.1338946110385816e-05;0.0012942250414398101;0.042599775678039797;1.9088204308982327e-06;0.0017329978866718811;
540;360;100;640;460;1000;0.10000000000000001;0.18430244519362141;0.15625;0.21739130434782608;0.54000000000000004;0.35999999999999999;540.12762476959711;360.11882623279803;100.00328982928794;640.1309145988846;460.12211606208643;1000.2497408316835;0.099982265258002745;0.18426351452466763;0.15622514026948151;0.21734148348507548;0.53998884957929205;0.3600288851627047;26.356866736484832;16.05371313583754;6.8900852208360401;25.975214998341109;15.660192410831709;35.691139374036126;7.313214819814679e-06;2.0424791624346061e-05;1.5873328045201689e-05;2.9342696800122638e-05;1.1705181099910073e-05;1.1388286042583059e-05;540.11377646833751;360.09884017886628;100.0202070068832;640.13398347522059;460.11904718574965;1000.2328236540872;0.10000092246490376;0.18429507827970015;0.1562524691955289;0.21737970921912622;0.53998401366797588;0.36001506386712195;29.26196160272691;17.830224402649879;7.1591504876393497;27.85914570053891;18.333376142883818;35.546565806037229;7.5940160875621555e-06;2.1124280040709121e-05;1.6928860328521214e-05;3.0029528279905169e-05;1.4526788301262259e-05;1.3241781249319656e-05;540.39791363292852;360.35473021287515;99.750193407583325;640.14810704051206;460.10492362045858;1000.5028372533882;0.099731058028791467;0.18380277412363297;0.15583039155933004;0.21680200141514883;0.54011048975423104;0.36015845221697734;50.056884851681382;36.725782684179272;27.910376171617411;23.970703857554309;13.102407456244297;63.605232182167093;3.3416874524096463e-05;9.382001060384905e-05;6.8791267474938912e-05;0.00013035993229969321;1.4265278653916203e-05;1.7454650661198293e-05;0.098539708343870228;0.13239963782023445;9.7824517068979353e-06;0.0010562802911349373;
594;396;10;604;406;1000;0.01;0.02019382153885356;0.016556291390728478;0.024630541871921183;0.59399999999999997;0.39600000000000002;594.04297470642837;395.93763854220174;10.000894486325162;604.04386919275294;405.93853302852591;999.9815077349532;0.010003754464163871;0.020196447998195394;0.016556478116853925;0.024637736822623154;0.59405035239495352;0.39594589314088291;26.64926795348951;15.863543835184613;2.8988241041174381;24.627315065726343;13.194870065316856;33.152538791698497;2.9501773080464695e-06;1.1793824503493649e-05;7.9242297799757972e-06;1.7607917919729944e-05;1.0660405884501501e-05;1.1403943074627284e-05;594.03649982514605;395.9397841013411;10.003059147395634;604.03955897254332;405.94284324873615;999.97934307388391;0.010005948935452962;0.020200783936725766;0.01656071365525839;0.024642361652252368;0.59404522664758919;0.39594882441695733;30.109186724845763;19.164103652791479;2.9234523955457892;27.773509181366837;16.793368841566597;33.143696197343004;2.974827177574709e-06;1.1887856707232422e-05;8.0065749679142756e-06;1.7722650110485635e-05;1.4202889081427502e-05;1.4645579164605232e-05;593.95052787791644;395.93229175882021;10.049791292271168;604.00031917018657;405.98208305109159;999.93261092900752;0.010078794807048487;0.020295918399374894;0.016640613564691695;0.024754906602788587;0.59397647626095862;0.3959447289319924;49.642707532088913;37.592336633827379;27.532832181864517;21.447137648713188;10.348215961702248;59.267594611821451;2.8146337948059112e-05;0.0001122372799463609;7.5406803682301932e-05;0.00016711462966589383;1.2006879902613033e-05;1.7048224883923386e-05;0.0082212048474560213;0.049205711374716882;6.1422522261304928e-06;0.0015395940458516871;
599;400;1;600;401;1000;0.001;0.0020386946747183244;0.0016666666666666668;0.0024937655860349127;0.59899999999999998;0.40000000000000002;598.84089004463851;399.70858922359764;1.2615345769321529;600.10242462157157;400.97012380052945;999.8110138451683;0.0012634490825433561;0.0025721330692908225;0.002102229431714044;0.0031472122601394949;0.59895081511203296;0.39978573580542492;24.818542547676138;13.888896299788575;1.6201768908008241;23.332763069972518;12.008531632902834;31.624268382683418;1.6301811515417582e-06;6.7375836189828853e-06;4.502275302745885e-06;1.0085406309558421e-05;9.5579113095665785e-06;1.0081928834238754e-05;598.82384731148511;399.72228110282276;1.2632100038966119;600.08705731538066;400.98549110671928;999.80933841820331;0.0012651554682570332;0.0025754835661215359;0.0021054068433745163;0.0031507019002340549;0.59893455738316603;0.39980028714857752;27.829966359355581;16.26857053200429;1.6394294203222646;26.092651455621624;14.581543273044604;31.663213871266361;1.6498090518311458e-06;6.8175673544593567e-06;4.5590614066916135e-06;1.0198627395729615e-05;1.2306618884289833e-05;1.2613554077108728e-05;597.32591601234378;398.33710354506712;2.7047644323444957;600.03068044468932;401.04186797741141;998.36778398975594;0.0027214524006155603;0.0055136584502240484;0.0045072429133862979;0.0067449882653128354;0.59829513233305553;0.39898341526632924;35.186409380286307;24.692365925458219;15.187660612096833;20.616878985171432;9.5752041689362102;44.377332668435088;1.5465069895359393e-05;6.3072946816431934e-05;4.213949569062405e-05;9.4417926508202191e-05;9.2481680944479241e-06;1.2518469562424611e-05;0.00032308211682097345;0.040953339138692847;9.1727061090718457e-07;0.0015983722629000533;
623;277;100;723;377;1000;0.10000000000000001;0.19154030571213676;0.13831258644536654;0.26525198938992045;0.623;0.27700000000000002;622.97760735747363;277.03189012056504;100.03865601505348;723.01626337252821;377.07054613561797;1000.0481534930932;0.10003756942412202;0.19159290759564457;0.13836498415216839;0.26530643164700723;0.6229424046909986;0.27702002588487934;31.686277239871281;12.046523636315122;6.1293186760382978;32.370743383740887;11.687886537453137;38.947371500143944;6.4845232343118713e-06;1.9305394397816644e-05;1.1106256236987562e-05;3.8107282903283488e-05;1.0083845955987405e-05;9.8819004755313111e-06;622.98896582848079;277.01829459893537;100.0397745403649;723.02874036884612;377.05806913930076;1000.0470349677802;0.10003884658076306;0.19159629320453911;0.13836552003064725;0.2653173492268609;0.62295474121010597;0.27700641220913075;34.199401344103677;13.728796102342834;6.5620005900939953;33.267788832824785;14.837005553079914;38.663921691637569;6.9296182253672812e-06;2.035342282450632e-05;1.2278954938896421e-05;3.9172206510226214e-05;1.3064593333930143e-05;1.1402830791430742e-05;623.02727135005898;277.09805557788479;99.98074129010088;723.00801264016013;377.07879686798583;1000.1060682180448;0.099997579595969888;0.19148453385965708;0.13829101518004117;0.26514588893986946;0.62294656905279466;0.27705585135123489;53.932302732476387;28.755413685767067;24.366514126098192;31.313704647390793;9.0965741062592134;63.313442759685032;2.9191558538261017e-05;8.7945144871590092e-05;4.7309617822570634e-05;0.00016704600907403047;1.1131575878845159e-05;1.6769218998567295e-05;0.094644653850610758;0.12879779478385281;3.5759328902769374e-05;0.0008353646422936034;
685;305;10;695;315;1000;0.01;0.021372352121250049;0.014388489208633094;0.031746031746031744;0.68500000000000005;0.30499999999999999;685.06033708822986;305.02766479437292;10.035981595583833;695.09631868381382;315.06364638995638;1000.123983478186;0.0100372302960012;0.021445351454939424;0.014438030933571227;0.031854903502329349;0.6849695445202455;0.30499322518375416;34.493967140201462;10.700014840243975;2.8442000722500191;32.833237855606299;8.1686471722395186;39.42955599407906;2.8857997458971229e-06;1.292061479424955e-05;5.8576407306483518e-06;2.8590424454038661e-05;7.9521740162063512e-06;9.0853293247401807e-06;685.05267784012256;305.03227364414937;10.037506794749378;695.09018463487212;315.06978043889859;1000.1224582790204;0.010038756132286575;0.021448272061867061;0.014440896204600791;0.031857974695290794;0.68496269027059642;0.30499855359711875;39.056395610829767;14.353702610228517;2.8771615450997925;36.966807192098223;12.280171133806801;39.367617463782956;2.9191280035625681e-06;1.3053562136861071e-05;5.9404464138815525e-06;2.882433295762153e-05;1.2223399511657846e-05;1.2896750663011221e-05;685.03105660216363;305.01677082960339;10.056068821001739;695.08712542316505;315.07283965060481;1000.1038962527671;0.010080615961207962;0.021490943517344527;0.014470693455051536;0.031917930401233863;0.68494609323117017;0.30497329080762065;57.18912750786216;29.612597537112176;23.87058491200742;31.018377743250532;5.8755837304014209;64.118837773044277;2.4375756350548479e-05;0.0001089429015099354;4.9441379053082559e-05;0.00024014682672856484;8.2096010157510786e-06;1.6437513115069187e-05;0.0034878367328976408;0.044855677671531854;4.5258232722488063e-05;0.0012173820581336933;
691;308;1;692;309;1000;0.001;0.0021625577457933874;0.0014450867052023121;0.0032362459546925568;0.69099999999999995;0.308;690.8927206847103;307.78224394962496;1.2739701340331928;692.16669081874284;309.05621408365823;999.94893476836864;0.001275332907961398;0.0027539894282141691;0.0018401920111347711;0.0041217387028737208;0.69092249192823907;0.30780217516380065;32.902776838478459;9.0907701083829213;1.6293632934990099;31.834863148333532;7.6349805923391383;37.282331360716647;1.6358895179698731e-06;7.6089568584209317e-06;3.3957091394728029e-06;1.7054582918119928e-05;7.4880796882228336e-06;8.1505430869716679e-06;690.87020656557854;307.80222044792669;1.2752389444483665;692.14544551002791;309.07745939237446;999.94766595795431;0.0012766168083476407;0.0027567128602264354;0.001842129063352042;0.004125660094446381;0.69090051898074889;0.30782286421090344;37.022917277299271;12.515495192054615;1.6396053203756675;35.908501975536197;11.079010169747106;37.299286451721969;1.6464262703775679e-06;7.6567093038777695e-06;3.4185420426854574e-06;1.7156707731276571e-05;1.1141755781009815e-05;1.1773938602208407e-05;689.6091258359952;306.51613035806804;2.5488243541693301;692.15795019016457;309.06495471223758;998.67408054823306;0.0025624279534816534;0.0055103752878233924;0.0036823648531743016;0.0082460978461111143;0.69051645298085496;0.30692111906566227;41.712056485346295;18.040923939412185;12.693184519188302;29.806046451599808;5.788767496034569;47.852973405962821;1.2906334194427377e-05;5.93186438422946e-05;2.6497559013657071e-05;0.00013281388147707126;6.7163270808646804e-06;1.1538017140727831e-05;1.3727901899351912e-07;0.036514237420246488;9.9974428749108404e-07;0.0012633119078498145;
694;206;100;794;306;1000;0.10000000000000001;0.20287523483519407;0.12594458438287154;0.32679738562091504;0.69399999999999995;0.20599999999999999;694.21281519310639;206.18719093578198;99.948073046012112;794.16088823912025;306.13526398179414;1000.3480791749007;0.099917510814307733;0.20270321276419592;0.12585551673775214;0.326486617208884;0.6939636169757345;0.20611887220995728;39.948413559462729;9.6566895200644183;6.2939668636240382;41.87284109832509;7.8877330224953486;43.296501360044871;6.7012008133994368e-06;2.2248457016807812e-05;9.3829461693908876e-06;6.0359094285567427e-05;8.5018237648402159e-06;9.2053825307983217e-06;694.0769492981218;206.25260898183819;99.983296970477085;794.06024626859789;306.23590595231491;1000.3128552504351;0.099956376454882701;0.20275391490907591;0.12591800122977673;0.32649423659723298;0.69385164661039223;0.20619197693472555;45.212617240822176;11.655080220018522;6.8090968961114084;44.593463364713266;12.148724630020721;43.062351834957646;7.24484542665606e-06;2.3240265994166466e-05;1.0678154624946912e-05;6.0970569997711981e-05;1.3124564937736953e-05;1.1390192619860686e-05;694.51938588315602;206.38499741187667;99.695884462940242;794.21527034609619;306.08088187481655;1000.6002677579735;0.099659477875747041;0.20220712426372803;0.12553201936196498;0.32572423036535481;0.69408976753132567;0.20625075459292755;56.465613472867965;23.885511916759448;20.596994113051448;40.130604442468332;5.6436101826627416;63.725855916407191;2.4653916979054069e-05;8.35095527310554e-05;3.282246337204045e-05;0.00021809383273997484;7.6531397052948648e-06;1.6795240177780968e-05;0.089237020129079747;0.12379938249461203;0.00012333300511680744;0.00057280807320605684;
