name=SetSketch1;numRegisters=16384;q=62;base=2.00000000000000000e+00;a=3.00000000000000000e+01;seed=d532d9748fd00ce0;numExamples=1000;
trueDifference1;trueDifference2;trueIntersection;true1;true2;trueUnion;trueJaccard;trueCosine;trueInclusionCoefficient1;trueInclusionCoefficient2;trueAlpha;trueBeta;mlMeanDifference1;mlMeanDifference2;mlMeanIntersection;mlMean1;mlMean2;mlMeanUnion;mlMeanJaccard;mlMeanCosine;mlMeanInclusionCoefficient1;mlMeanInclusionCoefficient2;mlMeanAlpha;mlMeanBeta;mlMSEDifference1;mlMSEDifference2;mlMSEIntersection;mlMSE1;mlMSE2;mlMSEUnion;mlMSEJaccard;mlMSECosine;mlMSEInclusionCoefficient1;mlMSEInclusionCoefficient2;mlMSEAlpha;mlMSEBeta;simpleMeanDifference1;simpleMeanDifference2;simpleMeanIntersection;simpleMean1;simpleMean2;simpleMeanUnion;simpleMeanJaccard;simpleMeanCosine;simpleMeanInclusionCoefficient1;simpleMeanInclusionCoefficient2;simpleMeanAlpha;simpleMeanBeta;simpleMSEDifference1;simpleMSEDifference2;simpleMSEIntersection;simpleMSE1;simpleMSE2;simpleMSEUnion;simpleMSEJaccard;simpleMSECosine;simpleMSEInclusionCoefficient1;simpleMSEInclusionCoefficient2;simpleMSEAlpha;simpleMSEBeta;inclExclMeanDifference1;inclExclMeanDifference2;inclExclMeanIntersection;inclExclMean1;inclExclMean2;inclExclMeanUnion;inclExclMeanJaccard;inclExclMeanCosine;inclExclMeanInclusionCoefficient1;inclExclMeanInclusionCoefficient2;inclExclMeanAlpha;inclExclMeanBeta;inclExclMSEDifference1;inclExclMSEDifference2;inclExclMSEIntersection;inclExclMSE1;inclExclMSE2;inclExclMSEUnion;inclExclMSEJaccard;inclExclMSECosine;inclExclMSEInclusionCoefficient1;inclExclMSEInclusionCoefficient2;inclExclMSEAlpha;inclExclMSEBeta;collLowerBoundMeanJaccard;collUpperBoundMeanJaccard;collLowerBoundMSEJaccard;collUpperBoundMSEJaccard;
450;450;100;550;550;1000;0.10000000000000001;0.18181818181818182;0.18181818181818182;0.18181818181818182;0.45000000000000001;0.45000000000000001;450.02458858483715;450.0778969691462;100.01121201012745;550.03580059496414;550.08910897927444;1000.1136975641109;0.1000096096755678;0.18181731326833875;0.18182726145455885;0.18181427129574027;0.44997040499964219;0.45001998532479026;25.47330930591546;30.114470183643085;11.927028750051585;20.815338924792833;23.666101704302786;42.162759789760429;1.3455589191948566e-05;3.6715258659135055e-05;3.7285856992934401e-05;3.8663437382304046e-05;1.4221059633154649e-05;1.548038308099005e-05;450.06952931293245;450.0457922657107;100.0047939977978;550.07432331073016;550.05058626350808;1000.1201155764409;0.10000293477216557;0.18180608253397429;0.18180418945958859;0.18181588329082332;0.45001264119523271;0.44998442403260153;27.349085105875524;32.276137577018673;12.318455480111574;21.878356557611337;25.933719866532275;42.478140457988189;1.3920292961194035e-05;3.7985888875786279e-05;3.894667646595594e-05;3.9908508577938319e-05;1.6195561282946685e-05;1.7071174112659382e-05;449.76593678297809;449.93609712769438;100.2114378317836;549.97737461476117;550.14753495947753;999.91347174245493;0.10025443276933796;0.18218129886274789;0.18221017543242488;0.18215783383419112;0.44978904079914894;0.44995652643151401;45.77538584521416;49.313512198339907;33.807776752526742;18.778353945337575;20.624650709287302;64.861566315751574;4.0062049306532846e-05;0.00010925479487394044;0.0001096603082004917;0.00011085330498613215;1.8420673110001581e-05;1.9535460275096108e-05;0.099994448873718389;0.20124743783782001;1.3919685503350771e-05;0.010259406113774003;
495;495;10;505;505;1000;0.01;0.019801980198019802;0.019801980198019802;0.019801980198019802;0.495;0.495;495.02774221480405;495.21608390679353;9.9060625822673405;504.93380479707167;505.12214648906161;1000.1498887038647;0.009913033101463074;0.019615153913458194;0.019618417712013649;0.019612751969210369;0.49495074216222096;0.49513622473631574;25.914261101154992;29.184647123727579;8.4671680128540157;18.232610381860265;20.715626132455956;39.944448897384405;8.630787425823876e-06;3.3164777354993116e-05;3.3172507390218721e-05;3.3195459209669757e-05;1.3352049403934572e-05;1.3765205982882575e-05;495.02353859835262;495.21007891164516;9.9111668880671271;504.93470548642068;505.1212457997126;1000.1447843980649;0.0099186319646126092;0.019625554121130182;0.019628401701368481;0.01962371502051766;0.49494881568971505;0.49513255234567072;28.140216316876391;31.581588085303466;8.7939924451904439;20.256672990582054;22.438370783227072;40.493713382852356;8.9654178360007704e-06;3.44537854393374e-05;3.4436055017538282e-05;3.4516790144194925e-05;1.5190611546679577e-05;1.5843216958976979e-05;494.75817973215186;494.9987958974653;10.149487828257556;504.90766756040944;505.14828372572288;999.90646345787593;0.010180646440865341;0.020095413604855793;0.020099256061811129;0.020092171551097715;0.49479039110393702;0.4950289624551979;44.092588618727312;46.74019653184709;30.801877553060049;15.105473612483339;16.600086813655313;60.586292371047911;3.1492336192978522e-05;0.00012070483647951584;0.00012071324598612496;0.00012073408802327034;1.5370611766649421e-05;1.5952249555912524e-05;0.0099098105199850444;0.13244518013864404;8.9691984923942791e-06;0.014997905691758654;
499;500;1;500;501;1000;0.001;0.0019980029950087343;0.002;0.001996007984031936;0.499;0.5;498.22572034069759;499.4443812280158;1.7031985663642322;499.92891890706227;501.14757979438025;999.37330013507744;0.0017085229061675469;0.0034027299470861328;0.0034071276370871068;0.0033984911657298162;0.49853728176987472;0.49975419532395748;21.348564203614139;23.516069881240583;4.7694746096964433;16.479536162345887;19.14778587728798;36.110080229703897;4.819245855357666e-06;1.9033098609883722e-05;1.908977119754587e-05;1.8981185677113499e-05;1.1249750338249577e-05;1.0996989557636805e-05;498.18293879612713;499.42743859344228;1.7330606559361268;499.91599945206406;501.16049924937852;999.34343804550417;0.0017386938068768086;0.0034626427475878897;0.0034670870120919683;0.0034583813635766319;0.49850937172644322;0.4997519344666792;22.510728846645115;24.934715223840261;4.9284970333195748;17.403728390386814;20.251731205576966;36.503730235381497;4.9809596023499856e-06;1.9669615591080898e-05;1.972736449367182e-05;1.9617182062018675e-05;1.2289500370397684e-05;1.2074907583887906e-05;496.93861644985088;498.21930448049193;2.9592888855498565;499.89790533540076;501.17859336604181;998.11720981589121;0.0029777939673326401;0.00590971084407752;0.0059165073651069877;0.0059031077379130036;0.49787072019047951;0.49915148584218788;31.198643048108114;32.929618162388081;17.9176024671909;14.704224650566754;16.689943183625392;46.458733703292523;1.8255761450466662e-05;7.143962571917136e-05;7.1606023232071328e-05;7.1284733932289323e-05;1.2452120287054474e-05;1.2309541147529135e-05;0.0017331222769797355;0.12574802873434943;4.9614450195269904e-06;0.015567074508856714;
540;360;100;640;460;1000;0.10000000000000001;0.18430244519362141;0.15625;0.21739130434782608;0.54000000000000004;0.35999999999999999;540.12007356289007;360.08706188962623;99.950435960395424;640.07050952328439;460.03749785002157;1000.1575714129106;0.099944388216814561;0.18419292122831771;0.15615844605330872;0.21726878352912635;0.54002762275804839;0.36002798902513639;34.785209674885223;22.280672716546203;11.68555458445724;29.885906385002244;16.534092528629166;43.867296563236216;1.3184713202247556e-05;3.6934941841828929e-05;2.7720685418085084e-05;5.2799427252440059e-05;1.401894443224303e-05;1.4899368405525579e-05;540.19030386659313;360.05678206156676;99.930460722573599;640.12076458916601;459.98724278414034;1000.1775466507333;0.099922548827657276;0.18415892583084345;0.15611558240355694;0.21724904880189699;0.54008718759481444;0.35999026357752789;35.99523456604016;23.381042137770436;11.989019125162269;30.472937162037852;17.983088699952198;43.838199386551608;1.3514135068985857e-05;3.7827751396847617e-05;2.8610879921278817e-05;5.3918589410312096e-05;1.5368067703816107e-05;1.5828342002381708e-05;539.95595023998146;359.98150971409092;100.08527370961714;640.0412239495995;460.06678342370827;1000.0227336636893;0.10011563613907165;0.18444170322890766;0.15637834827797531;0.21754793081376042;0.53992678942988426;0.35995757443104387;53.513817004223377;40.007249458240722;30.668519052440374;27.072965067237913;14.428735558063206;66.257814454616167;3.6556864790484164e-05;0.00010235582549265168;7.4842658719100858e-05;0.00014287258932115201;1.5953837556779755e-05;2.0092843644395259e-05;0.094678639324087252;0.19713119319199662;4.1981726635497822e-05;0.0094426481150574042;
594;396;10;604;406;1000;0.01;0.02019382153885356;0.016556291390728478;0.024630541871921183;0.59399999999999997;0.39600000000000002;594.25348887423593;396.14344840745383;9.8631641219214661;604.11665299615686;406.00661252937516;1000.2601014036114;0.0098698477013053516;0.019915960857806402;0.016326126963762247;0.024296211850756616;0.59409301386988456;0.39603713842880911;34.629907904563524;24.108644709794365;9.2777477500306471;26.508142319607607;14.489734620612303;43.423566830405242;9.4374280823713762e-06;3.7776765813321529e-05;2.5373056530146205e-05;5.6301409775758141e-05;1.2172939293573003e-05;1.4646292218387456e-05;594.39514810046762;396.06244142441557;9.8328380003244966;604.22798610079235;405.89527942474035;1000.2904275252081;0.0098396198693400348;0.019855809549447743;0.01627335981493926;0.024228187385773585;0.59421607561365353;0.39594430451700746;37.713586961879507;26.122656121511081;9.5932877008176316;28.990478465386492;16.304364284073337;43.908751539411021;9.7568114244103691e-06;3.9062573790506523e-05;2.6246167316790786e-05;5.8207061643710054e-05;1.4384306896838785e-05;1.6732473605633113e-05;593.83330756004011;395.81818320123119;10.235887382130462;604.06919494217016;406.05407058336186;999.88737814340266;0.01026782415378609;0.020666419468644233;0.016943494230372173;0.025208140255846216;0.59388544959410083;0.39584672625211209;52.539720628741421;41.789163945201864;31.314966335141893;23.043523544372512;11.080750233919959;63.850283366807055;3.2049921278870701e-05;0.00012754418023704081;8.5816011150572808e-05;0.00018962248786120821;1.253956447549096e-05;1.9122001351754233e-05;0.0035264916761825289;0.12747252129012479;4.9342403215707516e-05;0.013805256426223747;
599;400;1;600;401;1000;0.001;0.0020386946747183244;0.0016666666666666668;0.0024937655860349127;0.59899999999999998;0.40000000000000002;598.46375966222865;399.29002322722079;1.6843834766473831;600.14814313887666;400.97440670386851;999.43816636609836;0.0016896479711518289;0.0034337583960245858;0.002805798645561193;0.0042024363840473342;0.5987960006228854;0.39951435140596242;28.789206712028143;17.903197598210681;4.847854999001771;24.869674939797285;12.578813171202397;38.619127008726934;4.8987357896132683e-06;2.0151241354934174e-05;1.3449441600805166e-05;3.0199040632813415e-05;9.8180530559338595e-06;1.1442985326676263e-05;598.54310522801768;399.20653009607258;1.6864572593273637;600.22956248734477;400.89298735539961;999.43609258341871;0.0016917382310042647;0.0034380409895733502;0.0028089319446591167;0.0042082583593799567;0.59887608535540615;0.39943217641358969;30.489100419418708;18.671918641399021;4.8871088427348077;26.614437213306495;13.272283646765876;38.610255166500046;4.9378421547531925e-06;2.0313234487650214e-05;1.3553742404319566e-05;3.0451777883462803e-05;1.0921702996544677e-05;1.2607483903302641e-05;597.05619348061225;398.04326599462649;3.0115451837528995;600.06773866436561;401.05481117837911;998.11100465899381;0.0030320092069355473;0.0061376733758712974;0.0050186065769736339;0.0075065012802983848;0.59817740708196687;0.39879058371109777;41.600343575147335;28.942111195600781;19.157006017717961;22.985413862621858;10.99612743296777;51.626973265930118;1.955054437054641e-05;7.9555858687672867e-05;5.3214390320697566e-05;0.00011895314421453883;1.095742262557341e-05;1.4303176875560056e-05;3.3219051136014424e-05;0.12066570545581577;9.9403757550873833e-07;0.014325139665010702;
623;277;100;723;377;1000;0.10000000000000001;0.19154030571213676;0.13831258644536654;0.26525198938992045;0.623;0.27700000000000002;623.1353970601433;276.93237487809097;100.00807788501562;723.14347494516039;376.94045276310658;1000.0758498232518;0.10001001815128173;0.19155218167607221;0.13829900186082844;0.26532117733750549;0.62308020538903264;0.27690977645968556;38.849068454483813;18.025061997725359;10.776226756458495;34.934474582143004;11.895145124623781;45.003341206486034;1.2221643607150527e-05;3.6864602481045608e-05;2.0082980243347188e-05;7.2977176903684358e-05;1.1485910698303784e-05;1.3684930263443037e-05;623.25957878574957;276.89233597425442;99.966006474131802;723.22558525988063;376.85834244838605;1000.1179212341341;0.099963933649886497;0.19148129828536498;0.13822643207995064;0.26526591511323916;0.62317785586989605;0.27685821048021725;41.547958425838509;19.007617448922169;11.190177688266754;36.162668556167731;13.949452037287994;44.988334810540138;1.2670114056387733e-05;3.7977888638575857e-05;2.1186016412039049e-05;7.4167642179869187e-05;1.3781549085362497e-05;1.4740356445290696e-05;622.67909185508699;276.54921573372832;100.42781005972618;723.10690191481285;376.97702579345435;999.65611764854032;0.10049400551411378;0.1923543313418086;0.1388903600299792;0.26640652255487496;0.62287678645795119;0.27662920802793567;59.166985945218016;33.690347750472277;28.242116935339716;33.387131818409785;9.5051461946269953;67.457995964815694;3.4023540177186912e-05;0.00010232309999625303;5.4589201579501811e-05;0.00019596760530733503;1.2389978424623237e-05;2.0155084130269773e-05;0.080550976890006537;0.18622593630458611;0.00039143371864906436;0.0074427222762415745;
685;305;10;695;315;1000;0.01;0.021372352121250049;0.014388489208633094;0.031746031746031744;0.68500000000000005;0.30499999999999999;685.21017927294997;305.10248632407064;9.836643488795028;695.04682276174606;314.93912981286508;1000.1493090858168;0.0098432841523849388;0.021025750586063111;0.014152824076976239;0.031237734712921565;0.68510087395120145;0.30505584189641433;39.602536988474299;17.42006727462384;7.8677138876123154;32.311750972147536;9.2957081798546977;43.868410006371981;8.0129086162936484e-06;3.593365273702848e-05;1.6273719394809516e-05;7.9441657453722188e-05;9.3645977358721483e-06;1.2647746636594356e-05;685.32125343404437;305.02716993962161;9.818764600472667;695.14001803451686;314.84593454009445;1000.1671879741374;0.0098254503695291377;0.020988738171448511;0.014126045217174799;0.031187253735468875;0.68519906754657245;0.30497548208389991;43.168230309179862;19.079257978911251;8.0837920864646389;34.886224522238422;11.498579236483979;44.099871225792498;8.2308437349607459e-06;3.68973973303273e-05;1.6738113405738357e-05;8.1462833327316806e-05;1.1946116006774477e-05;1.4541958850594937e-05;684.88163157264705;304.92897050505655;10.087675248454223;694.96930682110144;315.0166457535106;999.89827732615629;0.010116733059410287;0.021559191280797925;0.014515813780480292;0.032021177647173535;0.68493726707961133;0.30494599986097859;57.851971958926029;33.606352449989132;27.929222051170505;30.284314912357736;6.3845589007470345;63.181207327528391;2.851084216414605e-05;0.00012747605265590271;5.7799763175845084e-05;0.00028124445782799317;8.9626053833830513e-06;1.9209490116791497e-05;0;0.11430534647633613;0.00010000000000000183;0.01088427555160883;
691;308;1;692;309;1000;0.001;0.0021625577457933874;0.0014450867052023121;0.0032362459546925568;0.69099999999999995;0.308;690.51472158867261;307.34510079369431;1.6218478441405424;692.13656943281126;308.96694863783534;999.48167022650705;0.0016263848200884941;0.003507466132631466;0.0023431846558767283;0.0052504836028759924;0.69086696605057152;0.30750664912934;34.564132627356493;12.01762961444588;4.0399731133711736;30.901053641119859;7.7891028795246564;39.107703009821115;4.0764395857192415e-06;1.8883625126236557e-05;8.4309390611172194e-06;4.2305331287220546e-05;7.7226739006766899e-06;9.5072170251607775e-06;690.49255095472631;307.36311052258935;1.6239282966659512;692.11647925139187;308.98703881925519;999.4795897739815;0.0016285200492209538;0.0035118829067339818;0.0023463346068864654;0.0052567104282527808;0.69084601965113768;0.30752546029964134;36.37221436116954;13.343799310664412;4.0883991426297293;32.571631411841821;9.1466789053695567;39.165374614027407;4.1254909212904875e-06;1.910623976936168e-05;8.5340983520699218e-06;4.2787549265133168e-05;9.2130413287688185e-06;1.093371380378926e-05;689.2243359031271;306.27994099918868;2.7996205841665076;692.02395648729259;309.07956158335475;998.30389748648179;0.0028163195357404475;0.0060519992684667781;0.0040450337932144169;0.0090550247889107458;0.69038635013945648;0.306797330324804;44.745914729560312;20.835312556114378;15.664968628987751;29.910252095512163;6.1234915559057947;49.138585407303488;1.593659405355502e-05;7.3179893872898509e-05;3.2699703204075603e-05;0.00016379802523042375;7.6182070240767846e-06;1.3257029340060392e-05;0;0.10729359922458956;1.0000000000000152e-06;0.011302829614081142;
694;206;100;794;306;1000;0.10000000000000001;0.20287523483519407;0.12594458438287154;0.32679738562091504;0.69399999999999995;0.20599999999999999;694.23680818940215;206.15692076634781;99.861243579486342;794.09805176888881;306.01816434583441;1000.2549725352349;0.099845259749012399;0.20257682716135164;0.12575762526350617;0.32633306183178079;0.69405112268192037;0.20610361756906731;44.726035270534091;13.729919800333764;9.4167358137057668;41.527134344330136;7.8442058589833277;49.940929452135606;1.0802367965807317e-05;3.6340312146588065e-05;1.4731280011610693e-05;9.7248953461720778e-05;8.5117780722816398e-06;1.1269912008707349e-05;694.2945041551942;206.13477605743003;99.843467951049135;794.13797210624432;305.97824400847958;1000.2727481636739;0.099825993856491879;0.20254807087661048;0.12573066874097649;0.32631431250632881;0.6940959558368972;0.20607805030661006;48.524370314923509;14.606765381890366;9.9617652123264104;42.901602478026192;10.575074163200298;49.96574424154786;1.140746469526001e-05;3.7618911900270672e-05;1.6010604681739766e-05;9.7854820292119171e-05;1.156536037549203e-05;1.2244022805479708e-05;694.20254414037606;206.23249120962009;99.840590382363644;794.04313452273959;306.07308159198374;1000.2756257323596;0.099838735804604145;0.20252355427062738;0.12574029891849736;0.32620390161950169;0.69399744711816869;0.20616381707722714;58.73160879435563;26.830147409700377;23.745852917044143;41.207374484899717;5.8924629146547058;64.989116285744373;2.8198060747083162e-05;9.5633240965108297e-05;3.7454569491249213e-05;0.00025035771247179504;8.2635210929231876e-06;1.91146642107931e-05;0.061163589133838243;0.17134186028446441;0.0015206296459199032;0.0050969014178546997;
