name=SetSketch2;numRegisters=16384;q=62;base=2.00000000000000000e+00;a=3.00000000000000000e+01;seed=ee135ccdbaf83684;numExamples=1000;
trueDifference1;trueDifference2;trueIntersection;true1;true2;trueUnion;trueJaccard;trueCosine;trueInclusionCoefficient1;trueInclusionCoefficient2;trueAlpha;trueBeta;mlMeanDifference1;mlMeanDifference2;mlMeanIntersection;mlMean1;mlMean2;mlMeanUnion;mlMeanJaccard;mlMeanCosine;mlMeanInclusionCoefficient1;mlMeanInclusionCoefficient2;mlMeanAlpha;mlMeanBeta;mlMSEDifference1;mlMSEDifference2;mlMSEIntersection;mlMSE1;mlMSE2;mlMSEUnion;mlMSEJaccard;mlMSECosine;mlMSEInclusionCoefficient1;mlMSEInclusionCoefficient2;mlMSEAlpha;mlMSEBeta;simpleMeanDifference1;simpleMeanDifference2;simpleMeanIntersection;simpleMean1;simpleMean2;simpleMeanUnion;simpleMeanJaccard;simpleMeanCosine;simpleMeanInclusionCoefficient1;simpleMeanInclusionCoefficient2;simpleMeanAlpha;simpleMeanBeta;simpleMSEDifference1;simpleMSEDifference2;simpleMSEIntersection;simpleMSE1;simpleMSE2;simpleMSEUnion;simpleMSEJaccard;simpleMSECosine;simpleMSEInclusionCoefficient1;simpleMSEInclusionCoefficient2;simpleMSEAlpha;simpleMSEBeta;inclExclMeanDifference1;inclExclMeanDifference2;inclExclMeanIntersection;inclExclMean1;inclExclMean2;inclExclMeanUnion;inclExclMeanJaccard;inclExclMeanCosine;inclExclMeanInclusionCoefficient1;inclExclMeanInclusionCoefficient2;inclExclMeanAlpha;inclExclMeanBeta;inclExclMSEDifference1;inclExclMSEDifference2;inclExclMSEIntersection;inclExclMSE1;inclExclMSE2;inclExclMSEUnion;inclExclMSEJaccard;inclExclMSECosine;inclExclMSEInclusionCoefficient1;inclExclMSEInclusionCoefficient2;inclExclMSEAlpha;inclExclMSEBeta;collLowerBoundMeanJaccard;collUpperBoundMeanJaccard;collLowerBoundMSEJaccard;collUpperBoundMSEJaccard;
450;450;100;550;550;1000;0.10000000000000001;0.18181818181818182;0.18181818181818182;0.18181818181818182;0.45000000000000001;0.45000000000000001;450.07998358045757;449.97570683926557;100.01102969799646;550.09101327845349;549.98673653726178;1000.0667201177182;0.10001141032659458;0.18182319666778002;0.18180620096384123;0.18184204496099798;0.45004667181806635;0.44994191785533871;12.830992585026888;13.706186493818651;8.6526276343380744;8.4222354493714118;8.491653363081106;22.476587936202137;9.8286211022071562e-06;2.6863305908123875e-05;2.6953974730318765e-05;2.7448468013263539e-05;5.3123922731175152e-06;5.7621970134494845e-06;450.1177138298184;449.93759460859297;100.01122068865185;550.12893451846969;549.94881529724444;1000.0665291270639;0.10001289167074555;0.18182461574404879;0.18179576428321798;0.18185655836672746;0.45008403947393727;0.44990306885531711;15.904753403296809;17.025108313757542;9.5101895746989253;10.236232120360386;10.805955385903028;23.88340994023913;1.0926206773949203e-05;2.9859876043730511e-05;3.0224461576557246e-05;3.0620899237473026e-05;7.6959271743814299e-06;8.054253980810578e-06;450.09575523227943;450.06199719956345;99.959998691935482;550.05575392421679;550.02199589149893;1000.1177511237788;0.099972187464172607;0.18172525598064965;0.18171986351716524;0.18173366118285605;0.45003109939436869;0.44999671314145789;30.160104772413089;31.612186000083554;27.826724853700064;10.487790325455911;10.267047824851437;34.696653072636394;3.2245990626734818e-05;8.8133465583096332e-05;8.8159462906642645e-05;8.9215299513699031e-05;1.2605752251522171e-05;1.3518772981891043e-05;0.10000957325696289;0.20125878505123221;1.0926216690445847e-05;0.010259903778861297;
495;495;10;505;505;1000;0.01;0.019801980198019802;0.019801980198019802;0.019801980198019802;0.495;0.495;495.09776423756773;494.98725872213345;10.013753849672694;505.1115180872406;505.00101257180586;1000.098776809373;0.010019668904448352;0.019824149952081205;0.019820878719904549;0.01982764278171539;0.4950458268843268;0.49493450421122498;13.063825956808326;14.495676089083339;8.3709617965177294;6.990852624092871;7.1845580138056295;21.900947311918479;8.5031671036364207e-06;3.2677027209425196e-05;3.2623294738014942e-05;3.2740877766327683e-05;4.6771136083587675e-06;5.3040163732963543e-06;495.135319197309;494.91930685277788;10.028952304479859;505.16427150178873;504.94825915725772;1000.0835783545679;0.010036079028659448;0.019855192868884545;0.019849048318534127;0.019861769314978375;0.49509076502401045;0.49487315594733;16.257390048883881;18.920292048604352;8.9871452216915699;9.5966530490462834;10.105299170375378;23.376402356818048;9.1401669690175616e-06;3.5123068313821352e-05;3.50201741749733e-05;3.5245527377256705e-05;7.3652651710146964e-06;8.4622751542108254e-06;495.116802470062;495.12549087935696;9.935118654813369;505.05192112487532;505.06060953417131;1000.177412004233;0.0099560945914369745;0.01965915559077935;0.019658104982845065;0.019660546724743627;0.49501781807838041;0.49502608733018161;30.492707150976372;31.639713350575416;28.872286944440237;8.7897907467794969;8.4828593079998083;32.875301202775283;2.9333579909049314e-05;0.00011265714965303918;0.00011257345971274652;0.00011276125548266226;1.1381054584249489e-05;1.2110954393210787e-05;0.010032338878770598;0.13253797762572708;9.1409556180547759e-06;0.015020731781009074;
499;500;1;500;501;1000;0.001;0.0019980029950087343;0.002;0.001996007984031936;0.499;0.5;498.33544696300692;499.2584602669092;1.7543983812459836;500.08984534425349;501.01285864815463;999.34830561116269;0.0017588356945711845;0.0035035284599469274;0.0035057233534167742;0.0035013730230866597;0.49865891255533079;0.49958225175009757;10.720107813226338;11.647842745988026;4.5603770478661998;7.5661142116650959;7.319018228471811;19.345469216079199;4.59925240590604e-06;1.8175960161400919e-05;1.8193473365818159e-05;1.8159485081188068e-05;4.1958013116664675e-06;4.7824416178241256e-06;498.33017238053674;499.18654189680808;1.79299485753183;500.12316723806862;500.97953675433973;999.30970913487602;0.0017980975477095964;0.0035812107647577459;0.0035826898139328794;0.003579804637841594;0.49867276279559553;0.49952913965669404;12.610098484173879;14.226783837637511;4.9064659111766709;9.1733374946693083;8.9388119676224314;20.241295093210898;4.9535949104383182e-06;1.9567011009988417e-05;1.9569811629070594e-05;1.9566195550263565e-05;5.7316357462878271e-06;6.6613507200793198e-06;497.3689937890187;498.29041828694784;2.7216459582207322;500.09063974723892;501.01206424516863;998.38105803418716;0.0027348855240883936;0.0054308501689186795;0.0054343498895976523;0.0054274430063661399;0.49817125628076336;0.49909385819514818;19.051039767457663;20.431333312141859;14.972176525127912;8.4718779575149643;8.0186524580069456;24.442694283817637;1.5187044486395882e-05;5.9540001307041216e-05;5.9587961653200333e-05;5.9496859525227184e-05;7.4933061876586092e-06;8.4057750243085564e-06;0.0017957166449544589;0.12581047862851105;4.9461018847429034e-06;0.015582575041139106;
540;360;100;640;460;1000;0.10000000000000001;0.18430244519362141;0.15625;0.21739130434782608;0.54000000000000004;0.35999999999999999;540.14181890390694;360.06127896408071;99.958311123581495;640.10013002748792;460.01959008766164;1000.1614089915672;0.09994863038248214;0.18420547651318703;0.1561599590454871;0.21729018008042417;0.54005066150269676;0.36000070811482093;15.365820925567515;10.477398886004668;7.8010857085947345;11.551169597140905;5.6538372283396905;21.445878900024585;8.8767024823300722e-06;2.4901794303933683e-05;1.8205775922502108e-05;3.5078504895507915e-05;4.7935483073865722e-06;5.9205092132817424e-06;540.17719194886934;360.03443428846168;99.9540469389094;640.13123888777841;459.98848122737087;1000.1656731762401;0.099945202984389997;0.18420039145065048;0.1561482670068913;0.21729632859656534;0.54008251875534308;0.35997227826026651;20.192711075405295;12.918161018645362;8.6461551352525472;14.28444192137488;7.9419803997588518;22.847046260192062;9.9598579434942672e-06;2.7853936483057556e-05;2.090626794063746e-05;3.8884311836790055e-05;7.8989826604280662e-06;8.1437017093346727e-06;540.17959011757853;360.14730921320114;99.896410392185075;640.07600050976475;460.04371960538566;1000.2233097229636;0.09989562881221889;0.18408528233402094;0.15606606752135233;0.21713866005897772;0.5400478179263043;0.36005655326147734;31.857128912121109;25.94958268355829;24.921946890505733;14.268061570153023;6.879546500016211;32.34590825753218;2.8903738068882921e-05;8.108580109160798e-05;5.8863872336268564e-05;0.00011332011581893058;1.0326303397413906e-05;1.4290555231267286e-05;0.094704892449752373;0.19715105078401668;3.8073083672729484e-05;0.009444333497065199;
594;396;10;604;406;1000;0.01;0.02019382153885356;0.016556291390728478;0.024630541871921183;0.59399999999999997;0.39600000000000002;593.94741778871696;395.94544828520884;9.9931889317317957;603.9406067204485;405.93863721694055;999.886055005657;0.010000856389205871;0.020179727701229631;0.016544677044479948;0.024613718968299798;0.5940113116401361;0.39598783197065807;16.679763203294918;11.20979477592561;7.9349655888000674;10.530301815769176;4.7523528238025321;23.094075968783912;8.0572386730359512e-06;3.2202242782495321e-05;2.1654032156402049e-05;4.7904757032002265e-05;4.0250014381268838e-06;5.4159787113542841e-06;593.97484865458716;395.89116953059261;10.006612876104436;603.98146153069206;405.89778240669773;999.87263106128444;0.010015502338661417;0.020207635146866135;0.016568020516907936;0.024647332794815183;0.59404529184852006;0.39593920581281872;21.938424993305656;13.283981016051799;8.6139692040396287;13.581260010445991;6.8873994098573847;24.561915602949504;8.7571978558248086e-06;3.4984984440857922e-05;2.3584161916010805e-05;5.192811087187087e-05;7.0758923505084161e-06;7.5259188335358274e-06;593.95743669379362;396.01575065447241;9.9530282945618023;603.9104649883551;405.96877894903372;999.92621564282661;0.0099751782458989049;0.020090028621153819;0.016471457050961497;0.024503972599921934;0.59399093844734774;0.39603388330675293;32.479880746780459;28.0337113030265;26.991013870666265;12.857079881704909;5.5219222837764237;33.565714231594526;2.74395521666163e-05;0.00010960652703403545;7.3649951657228768e-05;0.00016314841059676246;8.374266822711266e-06;1.4009061256391638e-05;0.003661868054374671;0.12761670062915162;4.7304609840817357e-05;0.013838667130766345;
599;400;1;600;401;1000;0.001;0.0020386946747183244;0.0016666666666666668;0.0024937655860349127;0.59899999999999998;0.40000000000000002;598.23408185409482;399.24861100673115;1.6990491390487497;599.93313099314298;400.94766014578005;999.18174199987379;0.0017031674718913407;0.0034614441520130338;0.0028296936986572313;0.0042342864903996994;0.59872153172795095;0.39957530080015674;13.938130361011945;8.3023966271870009;4.6080241868796072;11.001458289634771;4.7202549386964749;19.511034802971938;4.6430785823323978e-06;1.9100369318691023e-05;1.2761807779559447e-05;2.8588940815951371e-05;3.7388023484255529e-06;4.7130264849856926e-06;598.11942665443348;399.25370870525677;1.7538278896160797;599.8732545440489;401.00753659487276;999.12696324930675;0.0017585835486594807;0.0035733274743117941;0.0029221205573268425;0.0043697568852206908;0.598638833732273;0.39960258271906779;17.101810781703552;9.7185121832172463;4.9813221994576047;13.120493955588646;6.0268685958600265;20.291883443998415;5.0240369230783284e-06;2.0653870123685259e-05;1.3815237743858299e-05;3.0881318977822025e-05;5.6117771712326551e-06;6.2255030826115856e-06;597.33705798352332;398.35884828625848;2.592442434570394;599.92950041809377;400.95129072082869;998.28834870435207;0.0026047030967558038;0.0052777472882700512;0.0043146805112317631;0.0064558893074864992;0.59835632600786792;0.39903897089537599;22.073440485046902;16.538885793293602;14.28073412491459;12.399168141811129;5.339094235021685;24.193575006576964;1.4479417987826458e-05;5.9095605063030077e-05;3.94902305611231e-05;8.8441920249794216e-05;6.2829071869263627e-06;9.1496539750021898e-06;4.4063011155268449e-05;0.12080059646172568;9.8515389608448111e-07;0.014357225425443895;
623;277;100;723;377;1000;0.10000000000000001;0.19154030571213676;0.13831258644536654;0.26525198938992045;0.623;0.27700000000000002;623.21790214149871;277.05078135693054;99.936362327242065;723.15426446873983;376.98714368417302;1000.2050458256695;0.09992163026117068;0.19139935194015098;0.13819511964641143;0.26508946547562606;0.62308619491668527;0.27699217482214394;17.904208437392533;8.025706263272868;6.9003206574861018;15.115498767074827;4.0600030506917255;24.024817037267646;7.8100164024639205e-06;2.3545444194027374e-05;1.266798302333898e-05;4.5100160079167754e-05;3.6356985604326831e-06;5.1721214481059764e-06;623.20201255912195;277.04097493002803;99.949210331882128;723.15122289100452;376.99018526190952;1000.1921978210322;0.099937107037764664;0.19142415055669568;0.13821648701638731;0.26511978799025621;0.62307631361623261;0.27698657934600185;24.251142324994902;9.3082406402440139;7.7191520253637114;18.399759560838678;6.0288519784598442;25.582344212431501;8.8832414367997548e-06;2.6394396897947805e-05;1.4951602120638571e-05;4.9022464704321098e-05;6.8897689914395359e-06;6.6957314915473503e-06;623.30575367282893;277.1023387274949;99.866657876294994;723.17241154912369;376.96899660378944;1000.2747502766204;0.099859191948999199;0.19126343238040552;0.13809381746717361;0.26490918953730724;0.6231241566388096;0.27701665141219095;34.520866076950973;22.009233909931073;22.704191521460121;18.265700303081463;5.1143195768814298;34.616613397313913;2.6338907957686203e-05;7.9508467594576921e-05;4.2353655564892484e-05;0.00015157447355200086;8.0538426616531246e-06;1.4041323690462378e-05;0.080554057203484103;0.18622782037513119;0.00038740833944605682;0.0074407312523750635;
685;305;10;695;315;1000;0.01;0.021372352121250049;0.014388489208633094;0.031746031746031744;0.68500000000000005;0.30499999999999999;685.06538470947476;305.0488965104243;9.9665931606915201;695.03197787016609;315.01548967111489;1000.0808743805907;0.0099704811492132301;0.021296155601591631;0.014337351339906667;0.031632831939422658;0.68500677159790024;0.30502274725288558;17.799982220343875;8.0745279286158294;6.4789952368029011;14.056218871618483;2.8860545387419148;22.939527618099572;6.56932843223821e-06;2.9423387675749172e-05;1.3341049106750829e-05;6.4916355165290718e-05;2.6336900115795215e-06;5.0326881959648008e-06;685.12606304600058;304.96785067235203;9.9767769114644231;695.10283995746454;314.94462758381638;1000.070690629818;0.0099816288695801277;0.021318864391548228;0.014352461423220088;0.031667457147614278;0.68507233013887536;0.30494604099154504;24.700336452920972;9.7811758317371069;7.0179956476949839;18.68958908978508;5.1583288845859832;24.1018847788953;7.1251580480890649e-06;3.1867021424229922e-05;1.4505966840675135e-05;7.0064807757208044e-05;6.1111081179858815e-06;7.3875840188272383e-06;685.16236756455044;305.17605559951517;9.8545221886082501;695.01688975315733;315.03057778812371;1000.1929453526728;0.0098704913319115385;0.021048685774700683;0.014172613322933587;0.031261352777687254;0.68502156519409185;0.30510794347399578;33.035569828955452;22.389191401312182;22.882263640996726;16.62545420329873;3.6564894750701757;32.746840027205295;2.3238443111750861e-05;0.00010402144588427628;4.7212007910406245e-05;0.00022923943044743099;5.8482770649046577e-06;1.3681361052044389e-05;0;0.11443508487184016;0.00010000000000000183;0.01091071787451431;
691;308;1;692;309;1000;0.001;0.0021625577457933874;0.0014450867052023121;0.0032362459546925568;0.69099999999999995;0.308;690.42901582855575;307.35821118985456;1.615911793149126;692.04492762170605;308.97412298300338;999.40313881156146;0.0016192935860876215;0.0034925267797298095;0.0023335832246499069;0.0052270952925429614;0.69083886287436813;0.30754184353954328;16.340164400053641;6.203694636787449;3.7408532965347026;14.055510628706106;2.9986009996494789;21.43561176086801;3.7668459655903763e-06;1.7458503273405038e-05;7.7939054176272267e-06;3.910943753433188e-05;2.5476672621774346e-06;4.0615533456896058e-06;690.32158951372708;307.36757846082935;1.6649413150766736;691.98653082880423;309.03251977590622;999.3541092896329;0.0016688889496964295;0.0035985100027929756;0.0024053138234887621;0.0053837409434748266;0.69076405735008084;0.30756705370022158;20.354682384934634;7.4477965907597721;4.0480164746692129;17.05938341722516;4.2272749426402685;22.154521790076981;4.0792925517577148e-06;1.8892912811239432e-05;8.4445615531137093e-06;4.227433935262173e-05;4.4913877964865299e-06;5.6963835168134126e-06;689.62058592527831;306.58375122485313;2.4073567272889078;692.02794265256796;308.99110795214239;998.61169387742109;0.0024183838340761138;0.0052002841514360437;0.0034757069740878927;0.0077806996619651713;0.69057419866289016;0.30700741750303406;24.953391962583822;13.472930789904993;12.057760122248272;15.95223920750789;3.4171053761115391;26.685935695538333;1.2223074312604384e-05;5.6182280487772553e-05;2.5116443001516291e-05;0.00012568330017755626;4.4044014940918186e-06;8.6098991738195508e-06;0;0.10740565665322754;1.0000000000000152e-06;0.011326243454317776;
694;206;100;794;306;1000;0.10000000000000001;0.20287523483519407;0.12594458438287154;0.32679738562091504;0.69399999999999995;0.20599999999999999;694.09844986843757;206.09784849824013;99.957705595932794;794.05615546437036;306.05555409417263;1000.1540039626096;0.099947767458332018;0.20276326890103952;0.12588293306116505;0.32659987569014415;0.69398778938392391;0.20606444315774383;20.084645427594605;6.6928851471166508;5.7617821177302702;18.249722158320317;2.6729958624243517;25.360870151834551;6.6033846815360126e-06;2.2314695001540022e-05;8.8179076476722437e-06;5.8552672256604629e-05;2.6131802035572233e-06;4.9289186676057001e-06;694.12304833393421;206.0930901051928;99.947785559707256;794.07083389364266;306.04087566490023;1000.1639239988344;0.09993814687080603;0.20274611427672318;0.12587098088003607;0.3265796413487918;0.69400324418982873;0.20605860893936229;27.135012682086408;7.4538352971236623;6.5032638985125617;21.847863723779149;4.6106311049197348;26.894928967596989;7.5885021114404071e-06;2.4820195135049422e-05;1.0628285272399431e-05;6.1999561214175854e-05;5.7896376358246491e-06;6.0213519289088847e-06;694.06252821846238;206.03995491959228;100.00461321024416;794.06714142870601;306.04456812983625;1000.1070963482996;0.10000997158203669;0.20285698997522431;0.12593949886467248;0.32675737842662805;0.6939795757921462;0.20601045262581791;33.405954428054443;17.089167968291736;17.380559244034213;21.828565337825442;3.2238302910554397;33.330007239029463;2.0282073799697774e-05;6.8407658835036139e-05;2.6981218476973893e-05;0.00017701216907282637;5.3861221305885647e-06;1.2623626982196148e-05;0.061292209420729431;0.17143976270245412;0.0015064032111104569;0.0051083902000793689;
