name=SetSketch2;numRegisters=4096;q=254;base=1.19999999999999996e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numExamples=1000;
trueDifference1;trueDifference2;trueIntersection;true1;true2;trueUnion;trueJaccard;trueCosine;trueInclusionCoefficient1;trueInclusionCoefficient2;trueAlpha;trueBeta;newMeanDifference1;newMeanDifference2;newMeanIntersection;newMean1;newMean2;newMeanUnion;newMeanJaccard;newMeanCosine;newMeanInclusionCoefficient1;newMeanInclusionCoefficient2;newMeanAlpha;newMeanBeta;newMSEDifference1;newMSEDifference2;newMSEIntersection;newMSE1;newMSE2;newMSEUnion;newMSEJaccard;newMSECosine;newMSEInclusionCoefficient1;newMSEInclusionCoefficient2;newMSEAlpha;newMSEBeta;newKnownCardMeanDifference1;newKnownCardMeanDifference2;newKnownCardMeanIntersection;newKnownCardMean1;newKnownCardMean2;newKnownCardMeanUnion;newKnownCardMeanJaccard;newKnownCardMeanCosine;newKnownCardMeanInclusionCoefficient1;newKnownCardMeanInclusionCoefficient2;newKnownCardMeanAlpha;newKnownCardMeanBeta;newKnownCardMSEDifference1;newKnownCardMSEDifference2;newKnownCardMSEIntersection;newKnownCardMSE1;newKnownCardMSE2;newKnownCardMSEUnion;newKnownCardMSEJaccard;newKnownCardMSECosine;newKnownCardMSEInclusionCoefficient1;newKnownCardMSEInclusionCoefficient2;newKnownCardMSEAlpha;newKnownCardMSEBeta;inclExclMeanDifference1;inclExclMeanDifference2;inclExclMeanIntersection;inclExclMean1;inclExclMean2;inclExclMeanUnion;inclExclMeanJaccard;inclExclMeanCosine;inclExclMeanInclusionCoefficient1;inclExclMeanInclusionCoefficient2;inclExclMeanAlpha;inclExclMeanBeta;inclExclMSEDifference1;inclExclMSEDifference2;inclExclMSEIntersection;inclExclMSE1;inclExclMSE2;inclExclMSEUnion;inclExclMSEJaccard;inclExclMSECosine;inclExclMSEInclusionCoefficient1;inclExclMSEInclusionCoefficient2;inclExclMSEAlpha;inclExclMSEBeta;inclExclKnownCardMeanDifference1;inclExclKnownCardMeanDifference2;inclExclKnownCardMeanIntersection;inclExclKnownCardMean1;inclExclKnownCardMean2;inclExclKnownCardMeanUnion;inclExclKnownCardMeanJaccard;inclExclKnownCardMeanCosine;inclExclKnownCardMeanInclusionCoefficient1;inclExclKnownCardMeanInclusionCoefficient2;inclExclKnownCardMeanAlpha;inclExclKnownCardMeanBeta;inclExclKnownCardMSEDifference1;inclExclKnownCardMSEDifference2;inclExclKnownCardMSEIntersection;inclExclKnownCardMSE1;inclExclKnownCardMSE2;inclExclKnownCardMSEUnion;inclExclKnownCardMSEJaccard;inclExclKnownCardMSECosine;inclExclKnownCardMSEInclusionCoefficient1;inclExclKnownCardMSEInclusionCoefficient2;inclExclKnownCardMSEAlpha;inclExclKnownCardMSEBeta;collLowerBoundMeanJaccard;collUpperBoundMeanJaccard;collLowerBoundMSEJaccard;collUpperBoundMSEJaccard;
250;250;500;750;750;1000;0.5;0.66666666666666663;0.66666666666666663;0.66666666666666663;0.25;0.25;250.1241858255533;249.86497953062812;500.0532157497733;750.17740157532671;749.91819528040116;1000.042381105955;0.50004453005898253;0.66669985958045452;0.66660001062527185;0.66682816944596246;0.25010594333937275;0.24984952660164497;41.758917063110722;40.640455490455089;43.512959782209094;73.2997043298503;68.86268278783831;84.839544285631348;3.4799478190724543e-05;2.7477444386319018e-05;4.6184706128167206e-05;4.6676385394470682e-05;3.2579182173154662e-05;3.284291839450077e-05;249.93719067523102;249.93719067523102;500.06280932476915;750;750;999.93719067523023;0.500117387977978;0.66675041243302569;0.66675041243302569;0.66675041243302569;0.24994130601101103;0.24994130601101103;15.445446540178477;15.445446540178477;15.445446540178487;2.5849394142282116e-27;2.5849394142282116e-27;15.445446540178475;3.4771338818826995e-05;2.7458571626983985e-05;2.7458571626983985e-05;2.7458571626983985e-05;8.6928347047067487e-06;8.6928347047067487e-06;250.33981002523632;250.08060373031205;499.83759155008943;750.17740157532671;749.91819528040116;1000.2580053056384;0.49977622899336832;0.66641655793214183;0.66631805788070941;0.66654350992054867;0.25023933980249197;0.24998443120414013;78.478836812128847;74.382143869255657;73.969883218616417;73.299704329850343;68.862682787838324;124.84422897704293;0.00011024751917029863;8.7359149986254619e-05;0.00010782316070513842;0.00010477681677055428;5.2556809873095978e-05;5.0579537598859883e-05;250.25800530563853;250.25800530563853;499.74199469436149;750;750;1000.2580053056384;0.49980000346247944;0.66632265959248294;0.66632265959248294;0.66632265959248294;0.25009999826876028;0.25009999826876028;124.84422897704289;124.84422897704289;124.84422897704287;2.7658851732241862e-27;2.7658851732241862e-27;124.84422897704292;0.00028023623826247475;0.00022194529595918739;0.00022194529595918739;0.00022194529595918739;7.0059059565618715e-05;7.0059059565618715e-05;0.50011738903636282;0.51053061329979454;3.4771358748820767e-05;0.00014281638581764791;
272;228;500;772;728;1000;0.5;0.66695366670545919;0.64766839378238339;0.68681318681318682;0.27200000000000002;0.22800000000000001;272.27609328888968;228.26591508383092;499.8577460742294;772.13383936311811;728.12366115806083;1000.3997544469511;0.499670920315406;0.66665526523467333;0.64739464876570396;0.68651682622659349;0.2721560812201359;0.22817299846445693;45.33369025033214;34.572816254026804;41.396522249002061;78.99343139145698;62.911117536707827;88.133499107152474;3.2385444272166482e-05;2.5531576768580067e-05;4.33681409159822e-05;4.3674952076562461e-05;3.2573967336321221e-05;2.9160145306508415e-05;272.18929321805876;228.18929321805885;499.81070678194129;772;728;1000.1892932180573;0.49973747614055702;0.66670116709372607;0.64742319531339532;0.68655316865651139;0.27212741157978276;0.22813511227966007;14.281540906426107;14.281540906426118;14.281540906426127;2.1325750167382746e-27;2.7658851732241862e-27;14.281540906426125;3.2115747284618456e-05;2.5411271042863746e-05;2.3962960258037286e-05;2.6947117094905005e-05;7.5648143150627833e-06;8.50687623541157e-06;272.18134673041044;228.17116852535221;499.95249263270807;772.13383936311811;728.12366115806083;1000.305007888472;0.49987110034022691;0.66678812806940402;0.64752714261866995;0.68664996596593819;0.27205691105601942;0.22807198860375341;85.876927380538632;66.573465812410817;70.257094928055395;78.99343139145688;62.911117536707764;131.81681311668936;0.00010833016538712296;8.5529613241685202e-05;0.00010448863115913062;0.00010221566814919733;5.3415796846608997e-05;4.6155306563644188e-05;272.30500788847121;228.30500788847115;499.69499211153021;772;728;1000.3050078884718;0.49973988077196208;0.6665468144462795;0.64727330584395004;0.6863942199334192;0.27212624453200762;0.22813387469602997;131.81681311668942;131.81681311668947;131.81681311668942;3.3345718443543929e-27;3.3733459355678161e-27;131.8168131166895;0.00029570380418902258;0.00023454281215604122;0.00022117508711087829;0.00024871847662701074;6.9652571093028868e-05;7.8326549349240246e-05;0.49965733790630978;0.51008961708178391;3.2038117722198011e-05;0.00013111571239300863;
295;205;500;795;705;1000;0.5;0.66786991641738425;0.62893081761006286;0.70921985815602839;0.29499999999999998;0.20499999999999999;295.17735296071345;205.10451702793745;500.00335067076242;795.18070363147626;705.10786769869947;1000.2852206594137;0.49987571230903161;0.66775378651674633;0.62881511632582909;0.70913285745129107;0.29508046125821374;0.20504382643275648;49.724425133229509;32.74782190805432;41.405085096580983;80.547517610002899;60.485408448379751;88.458477588008336;3.4220798245380231e-05;2.6801833272170695e-05;4.4028212472294823e-05;4.5826961284494061e-05;3.4467809587230107e-05;2.8138522666379107e-05;295.04753147455199;205.04753147455278;499.95246852544807;795;705;1000.0475314745515;0.49995102831272881;0.66780642673351132;0.62887102959175745;0.70915243762474733;0.29502301669301784;0.20502595499425416;14.881196506322375;14.881196506322357;14.881196506322336;2.6624875966550577e-27;2.8305086585798916e-27;14.881196506322381;3.3495307916977713e-05;2.6551044214857667e-05;2.3545265624496423e-05;2.9940539221009811e-05;7.399113518860384e-06;9.4088319938790448e-06;295.06137895358705;204.9885430208104;500.11932467788853;795.18070363147626;705.10786769869947;1000.169246652286;0.50010649967337084;0.66791422330552452;0.62896984817363855;0.70929910615157998;0.29496981639652436;0.20492368393010588;90.245756871446076;63.826470948028344;70.723694782766387;80.547517610003155;60.485408448379786;130.73984868001361;0.00010971277443184169;8.6431882330478225e-05;0.00010151802348696452;0.00010719251760662253;5.4217600588000752e-05;4.5873449636307346e-05;295.16924665228572;205.16924665228572;499.83075334771371;795;705;1000.1692466522859;0.49994196713704953;0.66764384692235179;0.62871792873926313;0.70897979198257377;0.29502727544558655;0.20503075741736385;130.73984868001349;130.73984868001349;130.73984868001344;3.3733459355678161e-27;3.2311742677852644e-27;130.73984868001352;0.00029345900189794294;0.0002332661558142887;0.00020685866647682203;0.00026304481400334692;6.482509351925563e-05;8.2432633633132088e-05;0.49963412142874197;0.51006743932169452;3.375085961476001e-05;0.00013222631280505775;
316;184;500;816;684;1000;0.5;0.66926308979503701;0.61274509803921573;0.73099415204678364;0.316;0.184;316.19470340593591;184.04930204102885;500.01362971759619;816.20833312353182;684.06293175862481;1000.257635164561;0.49989926555167402;0.66917134217610386;0.6126299494695665;0.73096231763641428;0.3160978417501476;0.18400289269817857;54.676890707355795;30.202956099518673;41.892116565712584;88.788759459333022;56.685685254520791;89.516669863545161;3.3908010257737105e-05;2.6346696700593489e-05;4.2920390799605434e-05;4.7382618011066091e-05;3.5880013486269727e-05;2.7492966348981135e-05;316.02339791142538;184.02339791142478;499.97660208857474;816;684;1000.0233979114248;0.49998677859031271;0.66923177107804699;0.61271642412815608;0.73095994457394109;0.3160060289628181;0.18400719244687;14.583651937805525;14.583651937805506;14.583651937805479;2.8951321439355969e-27;3.0631532058604305e-27;14.583651937805547;3.2814511432159062e-05;2.6128834024562606e-05;2.19021108735304e-05;3.1171240590706229e-05;6.8233182491574372e-06;9.7109952551874324e-06;316.31867141349346;184.17327004858569;499.88966171003938;816.20833312353193;684.06293175862481;1000.3816031721173;0.49976800072557537;0.66900976538988011;0.61248547395818354;0.73078166884854445;0.31615558120354453;0.18407641807088021;94.096489322824368;60.232510423263506;71.33960898934852;88.788759459332994;56.685685254520827;129.5183303791226;0.00010797342834085189;8.493000694641568e-05;9.6270618006493038e-05;0.00011104677212625064;5.4162073357876198e-05;4.5905159456671319e-05;316.38160317211839;184.38160317211853;499.61839682788207;816;684;1000.3816031721171;0.49962174715922208;0.66875230395894214;0.61227744709299259;0.73043625267234269;0.31617248329539416;0.1842057695453829;129.51833037912272;129.5183303791226;129.51833037912266;3.0114544175758665e-27;2.7012616878684809e-27;129.51833037912263;0.00029114877954512905;0.00023205181884804424;0.00019451402462262522;0.00027683374880117562;6.0540312623495897e-05;8.6161405223467185e-05;0.4992248861346904;0.50967527458462059;3.4208933018922798e-05;0.00012447201959935825;
337;163;500;837;663;1000;0.5;0.67119777961612348;0.59737156511350065;0.75414781297134237;0.33700000000000002;0.16300000000000001;337.29521130119963;163.21462851746566;500.043935223473;837.33914652467342;663.25856374093928;1000.5537750421381;0.49978209810140745;0.67099646908243227;0.59721081098194351;0.75393084548875944;0.33708828313940148;0.16312961875919038;62.49994269205181;24.130203622461025;40.849445168031224;96.539075246642696;51.719567656433732;91.791246833918294;3.2915238593399506e-05;2.4856783934953431e-05;4.3491267048106346e-05;4.2369702687219393e-05;3.8252734416656069e-05;2.3397587789491996e-05;337.11496038600023;163.11496038600055;499.88503961399982;837;663;1000.1149603859998;0.49984704959003129;0.67104345730446857;0.59723421698207768;0.75397441872398163;0.33706760408120601;0.16308534632876193;12.990624926298114;12.990624926298116;12.990624926298119;3.4767435121369447e-27;2.5720147171570706e-27;12.990624926298111;2.9242683730483616e-05;2.3409441761765178e-05;1.8542962829211853e-05;2.9553096160780473e-05;5.712967664322206e-06;9.1051189770582996e-06;337.45872562121991;163.37814283748597;499.88042090345203;837.33914652467342;663.25856374093917;1000.7172893621587;0.49959770352302318;0.67078596555903591;0.59702928870492256;0.75368695519909312;0.33716615278191325;0.16323614369506473;107.96087543499587;52.584961720992254;66.868616163717107;96.53907524664271;51.719567656433796;139.68776667970803;0.00010780927304050822;8.3901445561470459e-05;9.7299288785619094e-05;0.00010564099703951418;5.7724442361055208e-05;4.0588868459045812e-05;337.71728936215862;163.7172893621582;499.28271063784098;837;663;1000.7172893621585;0.49913324043401841;0.6702348935616772;0.59651458857567752;0.75306592856386301;0.33738310772816332;0.16348365183781791;139.68776667970806;139.68776667970792;139.68776667970792;3.7740115447731885e-27;2.7012616878684809e-27;139.68776667970809;0.00031335425118957815;0.00025172096473202564;0.00019939187528952599;0.00031778348036305519;6.121813992940065e-05;9.7567233067391676e-05;0.49852383676102624;0.5090034190198035;3.3810971681032487e-05;0.00011010632503185053;
356;144;500;856;644;1000;0.5;0.6734264783084245;0.58411214953271029;0.77639751552795033;0.35599999999999998;0.14399999999999999;356.52380496650358;144.12438840589891;499.90661337785116;856.43041834435508;644.03100178375098;1000.5548067502532;0.49964634136954095;0.67312296431352892;0.58373805825520586;0.77622780513517231;0.35630499002633242;0.14404866860412593;65.164646339708113;22.550563315007775;39.48940504961503;98.286586898144265;49.698376941384765;94.614359006249785;3.2945566998753142e-05;2.4540330835208125e-05;4.1631258335121498e-05;4.2656235180692933e-05;3.7857646115577247e-05;2.1775730746599029e-05;356.14677904557374;144.14677904557416;499.85322095442581;856;644;1000.1467790455736;0.49979880753657591;0.67322878851692414;0.58394067868507693;0.77616959775532002;0.35608637863096348;0.14411481383246047;12.652273516595246;12.652273516595262;12.65227351659526;4.4977945807570877e-27;2.5461653230147884e-27;12.652273516595255;2.8461746376121383e-05;2.295138720575856e-05;1.7267165140780942e-05;3.0506812807654132e-05;5.2462714866875987e-06;9.2688649745127578e-06;356.49091334217002;144.0914967815657;499.9395050021846;856.43041834435508;644.03100178375098;1000.5219151259217;0.4997498759323265;0.67317555716807198;0.58378844167359534;0.77628210052485447;0.35625752885000517;0.14399259521766797;105.42564528633507;47.927586865353568;62.18000749623998;98.286586898144122;49.698376941384666;137.56177905659706;9.8984780510556658e-05;7.6904212656546744e-05;8.6635087112371447e-05;0.00010234291978851929;5.392402988478053e-05;3.810631386976742e-05;356.5219151259214;144.52191512592103;499.478084874079;856;644;1000.5219151259217;0.49942304967688744;0.6727235353779748;0.58350243560055859;0.7755870883137872;0.35624770400538969;0.14432924631772301;137.56177905659717;137.56177905659717;137.56177905659726;4.2780747305476902e-27;2.6107888083704938e-27;137.56177905659717;0.00030838036073535383;0.00024953883993258702;0.00018773716462217987;0.00033168516612157463;5.6842861017750149e-05;0.00010042728533501346;0.49789104076616775;0.50839713777901563;3.7369074515175173e-05;0.00010073619911655951;
374;126;500;874;626;1000;0.5;0.6759695320035104;0.57208237986270027;0.79872204472843455;0.374;0.126;374.51457276768383;125.99765661553137;499.84515906885628;874.35973183653914;625.84281568438735;1000.3573884520712;0.49968780342676988;0.67571576677341516;0.57170315631890756;0.79868789981173216;0.37435542085975965;0.12595677571346964;76.172865296712104;19.557876529614809;40.152129840409046;105.06117759993666;51.144510630978161;103.16660552512606;3.5703351068492413e-05;2.5504272731653147e-05;4.580958454605435e-05;3.9474834618253668e-05;4.2589942477032488e-05;1.8917144009005142e-05;374.07460271211556;126.07460271211558;499.92539728788387;874;626;1000.0746027121148;0.49990586600940623;0.6758686736827203;0.57199702206851843;0.79860287106690842;0.37403928525207464;0.12605484873851924;11.854613633252251;11.854613633252244;11.854613633252232;4.7821379163221912e-27;2.908056841006738e-27;11.85461363325226;2.6638423979694565e-05;2.1667142427040777e-05;1.5519028786415917e-05;3.0250930481203958e-05;4.6395373490963501e-06;9.0437567804058517e-06;374.28717869938384;125.7702625472315;500.07255313715621;874.35973183653914;625.84281568438746;1000.1299943837713;0.50007900251073101;0.6760278907984949;0.5719718088620126;0.79905044066530895;0.37418929591737582;0.1257317015718934;114.2675948226715;44.191617281707892;65.380236456389952;105.06117759993661;51.144510630978132;140.66696918719802;0.00010154224695950392;7.7906138817266244e-05;8.8489467505742722e-05;0.00010269600311118739;5.7656236492994443e-05;3.6276314308702596e-05;374.12999438377136;126.12999438377152;499.87000561622847;874;626;1000.1299943837714;0.50001597666748254;0.67579378751798835;0.57193364486982678;0.79851438596841706;0.37399333240410371;0.12599069092841336;140.66696918719794;140.66696918719808;140.66696918719805;4.8984601899624608e-27;2.9339062351490201e-27;140.66696918719791;0.00031652752038212784;0.0002571025383408477;0.00018414895766747229;0.00035895785704456962;5.5128683812118445e-05;0.00010746123384863019;0.49709473726825515;0.50763420115927826;4.1870652813142516e-05;8.8967159494402607e-05;
390;110;500;890;610;1000;0.5;0.67859410645749296;0.5617977528089888;0.81967213114754101;0.39000000000000001;0.11;390.33225864047847;109.98071660888796;500.00196447098529;890.33422311146353;609.98268107987292;1000.3149397203517;0.49986768248784408;0.67848788372241886;0.56162185795694008;0.81970732825817905;0.39018255483525172;0.10994976267690468;79.380224484878084;15.625293326794356;39.843297527672391;102.80272467920979;48.031998009635579;102.28355950009227;3.7439473437467085e-05;2.587556202725879e-05;4.6234582160796042e-05;3.4653308736553862e-05;4.2687860889917316e-05;1.5177208795628103e-05;389.99623006026439;109.99623006026397;500.00376993973595;890;610;999.99623006026366;0.50002179819332082;0.67859922297526609;0.56180198869633247;0.81967831137661673;0.38999113540138264;0.10998706640529607;10.761802006029241;10.761802006029249;10.761802006029253;4.3297735188322545e-27;2.6754122937261988e-27;10.761802006029239;2.421656987189353e-05;1.9822807157909844e-05;1.3586418389129203e-05;2.892180060744226e-05;4.0048825108140409e-06;8.5253088869008396e-06;390.37588168602588;110.02433965443545;499.95834142543788;890.33422311146319;609.98268107987292;1000.3585627658999;0.49984903207386611;0.67843523525073168;0.56158278794894823;0.81963710945802326;0.39018724641129926;0.10996372151483422;115.25221229941459;36.678711877382206;59.910756293784623;102.80272467920958;48.031998009635601;139.14150709910416;9.4926830839073002e-05;7.1733371757873359e-05;8.2657443114486149e-05;9.0777789663520881e-05;5.5683654174526068e-05;3.0277356292300711e-05;390.35856276589834;110.35856276589884;499.64143723410189;890;610;1000.3585627658999;0.49967062116830674;0.67810746929802446;0.56139487329674254;0.81908432333459269;0.39013394739155499;0.11019543144013833;139.14150709910442;139.14150709910442;139.1415070991045;4.8338367046067555e-27;2.908056841006738e-27;139.1415070991043;0.0003124478599172967;0.00025629306888764829;0.00017566154159715251;0.00037393578903279862;5.1671932744544871e-05;0.00010999553326244042;0.49660399703845881;0.50716406303807171;4.5581029164971581e-05;8.2576075728529069e-05;
405;95;500;905;595;1000;0.5;0.68137662671464483;0.5524861878453039;0.84033613445378152;0.40500000000000003;0.095000000000000001;405.5554344143664;95.015996618189618;499.79926368080277;905.35469809517076;594.81526029899226;1000.3706947133583;0.49963830007140814;0.68108490305818314;0.55208142912028457;0.84026791627115671;0.4053765275218717;0.094985172406720164;82.353933262440307;13.958499837658412;38.38395488497995;107.4548659691513;44.512231257410384;104.56223982369229;3.6640679108788282e-05;2.4791688953145171e-05;4.393922893943766e-05;3.3598988246223576e-05;4.1693679484458867e-05;1.3832756465461236e-05;405.08370187367939;95.083701873679303;499.91629812632056;905;595;1000.0837018736805;0.49988934859467965;0.6812625617139707;0.55239369958709417;0.84019545903583404;0.40504389172411004;0.095066759681209936;9.9369932836803372;9.9369932836803248;9.936993283680339;5.118180040171859e-27;2.8434333556510326e-27;9.9369932836802892;2.234663899789203e-05;1.8453954749394691e-05;1.2132710581093779e-05;2.8068620249079368e-05;3.5161194983238778e-06;8.1344248912215654e-06;405.47490236434754;94.935464568170246;499.87979573082276;905.35469809517065;594.81526029899226;1000.2901626633392;0.49980353594278315;0.68119932911161341;0.55217974720897522;0.84040057897306508;0.40530740984055807;0.09488905421665926;118.41118203173814;32.843493166779382;59.128613877669025;107.45486596915144;44.512231257410328;138.75982292942223;9.3107672599749688e-05;6.966299887415659e-05;7.9457632703598018e-05;8.7762855004501231e-05;5.4785098846637687e-05;2.7940829485241551e-05;405.29016266333952;95.290162663339927;499.70983733666083;905;595;1000.2901626633392;0.49977251407931678;0.68098120660115302;0.55216556611785628;0.83984846611203401;0.40509023608187089;0.095137249838811833;138.759822929422;138.759822929422;138.75982292942197;5.4671468610926671e-27;2.8951321439355969e-27;138.75982292942211;0.00031118242153352485;0.00025769037175248994;0.00016942074164942713;0.0003919492209008459;4.8962825237069329e-05;0.00011327385902066458;0.49571284019247247;0.50631032308102419;5.242951770306169e-05;7.1069214222836376e-05;
418;82;500;918;582;1000;0.5;0.68404893552479462;0.54466230936819171;0.85910652920962194;0.41799999999999998;0.082000000000000003;418.40986611686867;82.019943572557523;499.77982598058276;918.18969209745023;581.79976955313975;1000.2096356700083;0.49970366135599276;0.68380688763476116;0.54434723617111258;0.8590316902997952;0.41828945109002014;0.082006887553988286;88.684171706184529;11.513569572311441;35.529486051919903;111.61675593719433;40.946818590251119;109.81838718271392;3.67342574229278e-05;2.3982671305241323e-05;4.3524334607863117e-05;2.9341128506579227e-05;4.1875046356151375e-05;1.1432383143605977e-05;418.06661253459447;82.066612534594114;499.93338746540547;918;582;1000.0666125345939;0.49991292141054333;0.68395780305803144;0.54458974669434213;0.85899207468282857;0.41803378649270945;0.082053292096747069;8.5629919596785715;8.5629919596785626;8.5629919596785289;5.6739420142309242e-27;2.7012616878684809e-27;8.5629919596786035;1.9254415301644903e-05;1.6027281703985464e-05;1.016108709337642e-05;2.5280145368142008e-05;2.8986366971708246e-06;7.2116257247392771e-06;418.33466560141386;81.944743057102542;499.85502649603762;918.18969209745035;581.79976955313975;1000.1344351545538;0.49985703070416299;0.68391513225419986;0.54443787883336092;0.85916057816094804;0.41822704810773131;0.081915921188105756;120.84320521841117;28.73397756341036;52.946791625804913;111.6167559371944;40.946818590251098;141.78052311215458;8.6598865604688052e-05;6.3901190639258689e-05;7.3611134121401306e-05;8.0269175027875182e-05;5.2717416892425072e-05;2.480662765927125e-05;418.13443515455384;82.134435154553515;499.86556484544604;918;582;1000.1344351545538;0.50001075657716532;0.68386501507605557;0.54451586584471257;0.85887554097155738;0.41799582644806088;0.08199341697477501;141.78052311215481;141.78052311215478;141.78052311215478;6.9793364184161715e-27;3.0760779029315715e-27;141.78052311215464;0.00031835251115208815;0.0002653694403494726;0.00016824075629999247;0.00041857241622133325;4.7926060438879997e-05;0.00011923702293694778;0.49509008103144647;0.50571371313874558;5.7251606594100102e-05;6.3060164926434756e-05;
