dummy;numCycles=1000;
cardinality; avg time in seconds;avg estimated cardinality;
1;2.4e-09;8.42524e+18
2;4.3e-09;1.65087e+19
5;8.5e-09;3.8904e+18
10;1.65e-08;1.56731e+19
20;3.17e-08;1.26981e+18
50;7.83e-08;1.03932e+19
100;1.601e-07;7.77643e+18
200;3.143e-07;5.73107e+18
500;7.425e-07;1.32322e+19
1000;1.4381e-06;1.78459e+19
2000;2.8959e-06;1.15753e+19
5000;7.4453e-06;3.36848e+18
10000;1.65707e-05;1.76055e+19
20000;3.44352e-05;4.95951e+18
50000;8.75438e-05;1.02313e+19
100000;0.000174623;1.81606e+19
200000;0.000345115;1.72175e+19
500000;0.000839568;2.3016e+18
1000000;0.00170197;1.60878e+19
2000000;0.00342689;1.11261e+19
5000000;0.00846753;1.79554e+19
10000000;0.0168369;2.80159e+18
