dummy;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;4.38e-08;1.93e-08;13525830474815116104;
2;4.39e-08;1.98e-08;16941935837870132568;
5;4.73e-08;2.44e-08;7140597285592906888;
10;5.28e-08;2.81e-08;2539110482786384872;
20;6.49e-08;4.06e-08;10197969815985096688;
50;1.057e-07;8.07e-08;14534870693249668536;
100;1.655e-07;1.411e-07;6653593683536980920;
200;2.936e-07;2.697e-07;7212153304664052952;
500;6.108e-07;5.88e-07;17825376318094132968;
1000;1.4867e-06;1.4633e-06;9944345576146078552;
2000;2.3598e-06;2.3369e-06;14180487075919384872;
5000;5.8018e-06;5.7757e-06;1399995838801224848;
10000;1.18552e-05;1.18314e-05;10788186507051927112;
20000;2.33183e-05;2.32916e-05;10467997739657970360;
50000;5.9139e-05;5.91108e-05;11673132340249723456;
100000;0.000117228;0.000117201;13850077909550193896;
200000;0.000234261;0.000234232;17484704052031082672;
500000;0.000585744;0.000585707;3277461857438369856;
1000000;0.00117715;0.00117711;240036117452693608;
2000000;0.00236673;0.00236668;8186547111788048400;
5000000;0.00586047;0.00586041;16097469112899779384;
10000000;0.0117334;0.0117334;14299825720139771184;
