name=GeneralizedHyperLogLog;numRegisters=256;q=62;base=1.00099999999999989e+00;a=3.90625000000000000e-03;registerStateType=registers with lower bound;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;1.4910000000000001e-07;3.0999999999999914e-08;63000;
2;1.314e-07;3.8400000000000092e-08;126000;
5;1.5090000000000001e-07;5.7500000000000555e-08;315000;
10;1.8300000000000001e-07;8.860000000000131e-08;630000;
20;2.473e-07;1.5390000000000232e-07;1260000;
50;5.2590000000000002e-07;4.341000000000072e-07;2805000;
100;1.0269000000000001e-06;9.2599999999999916e-07;5250000;
200;2.3816000000000002e-06;2.2383999999999835e-06;8419000;
500;5.2917999999999999e-06;5.1483999999999963e-06;13437000;
1000;9.8457999999999998e-06;9.6937999999999596e-06;15772000;
2000;1.8203199999999999e-05;1.803950000000004e-05;16128000;
5000;4.5651999999999996e-05;4.5483100000000032e-05;16128000;
10000;8.9733900000000012e-05;8.9558099999999477e-05;16128000;
20000;0.0001788255;0.00017864079999999996;16128000;
50000;0.00044589879999999997;0.00044569199999999927;16128000;
100000;0.00089643189999999992;0.00089615690000000036;16128000;
200000;0.0017200249;0.0017197136999999997;16128000;
500000;0.0041821659000000006;0.0041817718000000011;16128000;
1000000;0.0083245302999999989;0.0083240913999999971;16128000;
2000000;0.016552872;0.016552364800000021;16128000;
5000000;0.0416784948;0.041677852599999982;16128000;
10000000;0.082664388300000002;0.082663728100000097;16128000;
