name=GeneralizedHyperLogLog;numRegisters=4096;q=62;base=2.00000000000000000e+00;a=2.44140625000000000e-04;registerStateType=registers;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;1.0374e-06;2.7799999999999931e-08;1000;
2;1.0249000000000001e-06;3.2199999999999944e-08;2000;
5;1.0410000000000001e-06;4.8900000000000345e-08;6000;
10;1.0868999999999999e-06;7.9500000000001089e-08;13000;
20;1.1291000000000001e-06;1.34800000000002e-07;31000;
50;1.7099000000000001e-06;6.6700000000000056e-07;101000;
100;1.7196e-06;6.5080000000000379e-07;218000;
200;4.0453e-06;2.9710999999999566e-06;418000;
500;5.8389999999999995e-06;4.7708999999999665e-06;1011000;
1000;1.60654e-05;1.4970100000000008e-05;1860000;
2000;3.5163000000000002e-05;3.4053200000000028e-05;3371000;
5000;9.5502399999999996e-05;9.4382600000000169e-05;6904000;
10000;0.00018956380000000002;0.00018843209999999989;10663000;
20000;0.00036654679999999999;0.00036538069999999948;14859000;
50000;0.00090575979999999996;0.000904415899999999;20324000;
100000;0.001727262;0.0017257814000000006;24344000;
200000;0.0032373718;0.0032359067000000065;28399000;
500000;0.0078088648999999994;0.0078073048999999983;34010000;
1000000;0.015493394399999999;0.015491747399999999;38067000;
2000000;0.030722477999999998;0.030720822100000027;42178000;
5000000;0.076571618799999991;0.076569871800000106;47666000;
10000000;0.15297745530000001;0.15297553939999992;51684000;
