name=HyperLogLog;numRegisters=256;q=56;base=2.00000000000000000e+00;a=3.90625000000000000e-03;registerStateType=registers;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;1.118e-07;2.2199999999999984e-08;2000;
2;1.152e-07;2.5499999999999954e-08;6000;
5;1.237e-07;3.4099999999999988e-08;12000;
10;4.6209999999999999e-07;4.4400000000000239e-08;20000;
20;1.5379999999999999e-07;6.5600000000000759e-08;35000;
50;2.6820000000000003e-07;1.786000000000027e-07;75000;
100;4.8149999999999996e-07;3.9190000000000604e-07;149000;
200;9.414e-07;8.5060000000000281e-07;277000;
500;4.0492999999999995e-06;3.9113999999999639e-06;556000;
1000;7.5832999999999999e-06;7.4318000000000217e-06;809000;
2000;1.5472500000000001e-05;1.5295600000000013e-05;1092000;
5000;4.6567799999999998e-05;4.6395000000000026e-05;1481000;
10000;9.3022800000000007e-05;9.2848199999999868e-05;1729000;
20000;0.00018930250000000001;0.00018911760000000008;1963000;
50000;0.00046679540000000002;0.00046657880000000053;2342000;
100000;0.00091824819999999994;0.00091798339999999866;2567000;
200000;0.001785645;0.0017853420000000007;2811000;
500000;0.0043922616999999995;0.004391865;3165000;
1000000;0.008669221500000001;0.0086687711000000001;3402000;
2000000;0.0172602021;0.017259717400000013;3652000;
5000000;0.042986901399999999;0.042986393099999992;3964000;
10000000;0.085895605299999997;0.085895046399999925;4179000;
