name=HyperLogLog;numRegisters=4096;q=52;base=2.00000000000000000e+00;a=2.44140625000000000e-04;registerStateType=registers with lower bound;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;1.0360000000000001e-06;2.5999999999999948e-08;3000;
2;1.3515000000000001e-06;2.989999999999991e-08;4000;
5;1.0329000000000001e-06;4.1100000000000156e-08;11000;
10;1.0509e-06;5.5800000000000513e-08;23000;
20;1.1092000000000001e-06;9.050000000000136e-08;37000;
50;1.2416000000000001e-06;2.3030000000000219e-07;93000;
100;1.522e-06;4.5130000000000357e-07;174000;
200;2.1461000000000001e-06;1.1034000000000007e-06;368000;
500;2.8132e-06;1.7319000000000251e-06;947000;
1000;4.7124e-06;3.6207000000000274e-06;1862000;
2000;1.17425e-05;1.0626099999999998e-05;3383000;
5000;6.1614900000000005e-05;6.0467099999999982e-05;6988000;
10000;0.00012791420000000001;0.00012677890000000001;10690000;
20000;0.000245775;0.00024460329999999948;14794000;
50000;0.00057167679999999997;0.0005704612000000008;20170000;
100000;0.0011033055000000001;0.0011019908999999992;24182000;
200000;0.0017166600000000001;0.0017153003;28273000;
500000;0.0032400439;0.0032385934999999977;33783000;
1000000;0.0047029458999999999;0.0047014175999999953;37949000;
2000000;0.0073621473;0.0073606186999999922;41989000;
5000000;0.013702257899999999;0.013700658400000005;47452000;
10000000;0.023557584999999999;0.023555920299999998;51522000;
