name=MinHash;base=1.00000000000000000e+00;numRegisters=256;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;4.3379999999999998e-07;3.0740000000000372e-07;2619191192481729328;
2;6.7420000000000004e-07;5.3300000000000436e-07;16573817246678011184;
5;1.4767e-06;1.3032000000000077e-06;258769489379418736;
10;5.1136000000000005e-06;4.9314000000000804e-06;4070995164901018296;
20;8.8543000000000009e-06;8.6510999999999891e-06;770745140210861608;
50;1.80274e-05;1.7819899999999934e-05;17002241282197659888;
100;3.1751799999999996e-05;3.1547599999999874e-05;9105336433580120296;
200;5.5785599999999997e-05;5.5559200000000157e-05;13834974907095452080;
500;0.00012571660000000002;0.00012548849999999959;5007600989403032376;
1000;0.000242711;0.00024245530000000049;2946783713027837448;
2000;0.00048945249999999998;0.00048916699999999966;15997805007526827920;
5000;0.0015134842999999999;0.0015130128000000007;14063308316500104968;
10000;0.0028085006;0.0028079216999999991;16475317113114963984;
20000;0.0053528211000000003;0.0053521494000000024;8093772215231401992;
50000;0.0133035768;0.013302829400000011;14829669669535213920;
100000;0.026189064099999999;0.026188286800000019;9963473187299252768;
