name=SetSketch1;numRegisters=4096;q=62;base=1.00099999999999989e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numCycles=1000;aggregationMode=bulk;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;9.4059200000000002e-05;9.2908100000000114e-05;258048000;
2;0.00018346039999999998;0.00018228990000000007;258048000;
5;0.0003353233;0.00033413959999999962;258048000;
10;0.00057273130000000004;0.00057150079999999991;258048000;
20;0.00054153730000000002;0.00054032239999999979;258048000;
50;0.00057002080000000002;0.0005687750999999997;258048000;
100;0.00059018470000000002;0.00058896749999999814;258048000;
200;0.00065570379999999994;0.00065415959999999941;258048000;
500;0.00057645199999999998;0.00057523449999999983;258048000;
1000;0.00065979160000000005;0.00065845480000000021;258048000;
2000;0.00058512820000000004;0.00058387459999999886;258048000;
5000;0.00071188519999999995;0.0007103072999999991;258048000;
10000;0.00097359539999999998;0.00097223730000000111;258048000;
20000;0.0010897331999999999;0.0010880926000000003;258048000;
50000;0.0016516259;0.0016502156000000013;258048000;
100000;0.0023331972;0.0023317857999999984;258048000;
200000;0.0034667407000000001;0.0034652149000000002;258048000;
500000;0.0068211182000000002;0.006819524999999999;258048000;
1000000;0.0123431124;0.012341440999999991;258048000;
2000000;0.0234985274;0.023496836300000021;258048000;
5000000;0.055805692499999997;0.055803970399999979;258048000;
10000000;0.1112181468;0.11121632550000009;258048000;
