name=SetSketch1;numRegisters=4096;q=62;base=1.00099999999999989e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numCycles=1000;aggregationMode=stream;
cardinality; avg time in seconds (incl. allocation); avg time in seconds (excl. allocation);sum of consumed states;
1;9.4724999999999999e-05;9.3280100000000157e-05;258048000;
2;9.5063499999999989e-05;9.3917200000000016e-05;258048000;
5;9.5595700000000004e-05;9.445630000000008e-05;258048000;
10;9.5578100000000006e-05;9.4444000000000101e-05;258048000;
20;9.5974900000000008e-05;9.483379999999979e-05;258048000;
50;9.5746499999999995e-05;9.4599499999999798e-05;258048000;
100;9.6327899999999996e-05;9.5158700000000008e-05;258048000;
200;9.5455899999999995e-05;9.4305000000000067e-05;258048000;
500;0.00010150259999999999;0.00010035809999999959;258048000;
1000;0.000107221;0.00010608559999999988;258048000;
2000;0.0001179162;0.00011676230000000049;258048000;
5000;0.00015226229999999998;0.00015109690000000015;258048000;
10000;0.00020985480000000002;0.00020869020000000046;258048000;
20000;0.00032557499999999999;0.0003243935999999999;258048000;
50000;0.00066910739999999998;0.00066786809999999836;258048000;
100000;0.001252246;0.0012508693999999994;258048000;
200000;0.0023173308000000001;0.0023158678000000043;258048000;
500000;0.0055391554000000006;0.0055372231000000048;258048000;
1000000;0.010881898899999999;0.010880211899999994;258048000;
2000000;0.021514605700000002;0.021512797700000013;258048000;
5000000;0.0538206512;0.053818748600000008;258048000;
10000000;0.10753241300000001;0.10753032899999999;258048000;
